date,person,count,rn
2020-03-10,James Fricke,2,1
2020-03-13,Brian Johnson,1,1
2020-03-13,Bryan Hendin,1,2
2020-03-13,Mike Parson,1,3
2020-03-13,Quinton Lucas,1,4
2020-03-13,Theresa Cass Galvin,1,5
2020-03-13,Viracor Eurofin,1,6
2020-03-16,Jim Bothwell,2,1
2020-03-17,Laura Kelly,1,6
2020-03-17,Todd Thompson,1,7
2020-03-17,David Breuer,4,1
2020-03-17,Mark Loughry,4,2
2020-03-17,Melissa Bower,4,3
2020-03-17,Paul Kramer,4,4
2020-03-17,Tim Vandall,4,5
2020-03-18,Caryn Tyson,1,2
2020-03-18,Dan Hawkins,1,3
2020-03-18,David Gilbert,1,4
2020-03-18,Dennis Pyle,1,5
2020-03-18,Laura Kelly,1,6
2020-03-18,Lee Norman,1,7
2020-03-18,Mike Thompson,1,8
2020-03-18,Pat Pettey,1,9
2020-03-18,Rebecca Witte,1,10
2020-03-18,Stephanie Clayton,1,11
2020-03-18,Tyrone Baker,1,12
2020-03-18,Vic Miller,1,13
2020-03-18,Yvonne Stevenson-Powell,1,14
2020-03-18,Jamie Miller,2,1
2020-03-19,Aaron Greer,1,1
2020-03-19,David Gilbert,1,2
2020-03-19,Keely Schneider,1,3
2020-03-19,Rebecca Witte,1,4
2020-03-19,Tyrone Baker,1,5
2020-03-19,Yvonne Stevenson-Powell,1,6
2020-03-20,Dan Wessel,1,2
2020-03-20,Eric Dostie,1,3
2020-03-20,James Rainey,1,4
2020-03-20,Julie Hundertmark,1,5
2020-03-20,Julie Loevenstein,1,6
2020-03-20,Justice Marla Luckert,1,7
2020-03-20,Keith Mispagel,1,8
2020-03-20,Mike Roth,1,9
2020-03-20,Thomas Bolen,1,10
2020-03-20,Todd Thompson,1,11
2020-03-20,Laura Kelly,2,1
2020-03-21,Cindy Schulenberg,1,2
2020-03-21,Jamie Miller,1,3
2020-03-21,Laura Kelly,1,4
2020-03-21,Steve Jack,1,5
2020-03-21,Wendy Scheidt,1,6
2020-03-21,Sam Allred,2,1
2020-03-22,Beth Oller,1,1
2020-03-22,David Alvey,1,2
2020-03-22,Ed Eilert,1,3
2020-03-22,Frank White,1,4
2020-03-22,Glenn Braun,1,5
2020-03-22,Jamie Miller,1,6
2020-03-22,Jeff Davis,1,7
2020-03-22,Larry Martin,1,8
2020-03-22,Laura Kelly,1,9
2020-03-22,Mireya Stiles,1,10
2020-03-22,Nan,1,11
2020-03-22,Quinton Lucas,1,12
2020-03-23,Beth Oller,1,2
2020-03-23,Dale Seuferling,1,3
