date,person,count,rn
2020-03-18,Andrew White,1,1
2020-03-18,Donovan Mitchell,1,2
2020-03-18,Gary Herbert Govherbert,1,3
2020-03-18,Michael Mccarlie,1,4
2020-03-20,Clark Ivory,1,1
2020-03-20,Derek Miller,1,2
2020-03-20,Gary Herbert,1,3
2020-03-20,Graham Dudley,1,4
2020-03-20,Greg Fredde,1,5
2020-03-20,Greg Hoogeveen,1,6
2020-03-20,Harris Simmons,1,7
2020-03-20,Kenny Kimball,1,8
2020-03-20,Simon Shaner,1,9
2020-04-30,Curtis Martin,1,1
2020-04-30,Donald Trump,1,2
2020-04-30,Frederick Phillips,1,3
2020-04-30,Ralph Morgan,1,4
2020-04-30,Ron Currin,1,5
2020-04-30,Ron Rowan,1,6
2020-04-30,Sonny Perdue,1,7
2020-04-30,Suzan Ellis Jones,1,8
2020-06-17,Baptist Pres,1,1
2020-06-17,Diana Chandler,1,2
2020-06-17,El Cajon,1,3
2020-06-17,Fred Luter,1,4
2020-06-17,Jared Wellman,1,5
2020-06-17,Jim Gregory,1,6
2020-06-17,Joe Knott,1,7
2020-06-17,Marshal Ausberry,1,8
2020-06-17,Mike Lawson,1,9
2020-06-17,Mike Stone,1,10
2020-06-17,Robyn Hari,1,11
2020-06-17,Rod Martin,1,12
2020-06-17,Rolland Slade,1,13
2020-06-17,Ronnie Floyd,1,14
2020-06-17,Stacy Bramlett,1,15
2020-06-17,Tom Tucker,1,16
