date,person,count,rn
2020-03-07,Karen Landers,1,5
2020-03-07,Marcus Helstowski,3,3
2020-03-07,Robert Tuten,3,4
2020-03-07,Maria Acelajado Onoya,5,2
2020-03-07,Mike Blakely,6,1
2020-03-08,Ashley Remkus Al,2,1
2020-03-08,Marcus Helstowski,2,2
2020-03-08,Maria Acelajado Onoya,2,3
2020-03-08,Mike Blakely,2,4
2020-03-08,Robert Tuten,2,5
2020-03-09,Karen Landers,1,1
2020-03-09,Mike Blakely,1,2
2020-03-10,Mike Blakely,1,1
2020-03-10,Robert Tuten,1,2
2020-03-13,Donald Trump,1,5
2020-03-13,Jarad Johnson,1,6
2020-03-13,Jeff Bertholdi,1,7
2020-03-13,Kate Klise,1,8
2020-03-13,Leslie Forrester,1,9
2020-03-13,Mike Parson,1,10
2020-03-13,Molly Healey,1,11
2020-03-13,Nan,1,12
2020-03-13,Chris Latham,2,1
2020-03-13,Mike Owens,2,2
2020-03-13,Randall Adams,2,3
2020-03-13,Trey Holladay,2,4
2020-03-20,Brian Fogle,1,1
2020-03-20,Mark Forrester,1,2
2020-03-21,Brandon Lindell,1,1
2020-03-21,Cindy Bilyeu,1,2
2020-03-21,Greg Mundis,1,3
2020-03-21,Greg Mundis Jr,1,4
2020-03-21,Mark Forrester,1,5
2020-03-21,Ron Maddux,1,6
2020-03-24,Ashley Ravenscraft,1,1
2020-03-24,Brent Patterson,1,2
2020-03-24,Kay Ivey,1,3
2020-03-24,Stephen Young,1,4
2020-03-27,Kay Ivey,1,1
2020-03-27,Nauman Qureshi,1,2
2020-03-30,Angela Crouch,1,1
2020-03-30,Brent Hinckley,1,2
2020-03-30,Darla Hinton,1,3
2020-03-30,Greg Abbott,1,4
2020-03-30,Jancie Miller,1,5
2020-03-30,Jerry Bearden,1,6
2020-03-30,John Palacio,1,7
2020-03-30,Sharron Robison,1,8
2020-04-01,Wilbert Woodruff,1,1
2020-04-02,George Kazanas,1,1
2020-04-02,Matt Groveton,1,2
2020-04-02,Tami Smith,1,3
2020-04-02,Traci Marlin,1,4
2020-04-07,Baylor Scott White,1,1
2020-04-07,Eric Johnson,1,2
2020-04-07,Kendricuz Hodges,1,3
2020-04-07,Kyle Deaver,1,4
2020-04-07,Ladarius Fowler,1,5
2020-04-07,Samantha Menefee,1,6
2020-04-07,Stephen Young,1,7
2020-04-08,Baylor Scott White,1,1
2020-04-08,Brad Holland,1,2
2020-04-08,Tim Martindale,1,3
2020-04-08,William Mccunniff,1,4
2020-04-09,Adam Smith,1,1
2020-04-09,Gayle Caldwell,1,2
2020-04-09,Holly Hollman,1,3
2020-04-09,James Moffatt,1,4
2020-04-09,Jerry Barksdale,1,5
2020-04-09,Jerry Barksdales,1,6
2020-04-09,Jerry Crabtree,1,7
2020-04-09,Karen Middleton,1,8
2020-04-09,Kelly Caldwell Kazek Elrick,1,9
2020-04-09,Rebecca Davis,1,10
2020-04-09,Sandy Thompson,1,11
2020-04-09,Sonny Turner,1,12
2020-04-10,Greg Abbott,1,9
2020-04-10,Michael Carvajal,1,10
2020-04-10,Richard Duncan,1,11
2020-04-10,Spencer Platt Getty,1,12
2020-04-10,Fred Keller,2,1
2020-04-10,Jeffery Epstein,2,2
2020-04-10,Joseph Mayle,2,3
2020-04-10,Mike Dewine,2,4
2020-04-10,Pamela Millwood,2,5
2020-04-10,Ronald Morris,2,6
2020-04-10,Sylvie Cohen,2,7
2020-04-10,William Barr,2,8
2020-04-11,Michael Carvajal,1,9
2020-04-11,Spencer Platt Getty,1,10
2020-04-11,Fred Keller,2,1
2020-04-11,Jeffery Epstein,2,2
2020-04-11,Joseph Mayle,2,3
2020-04-11,Mike Dewine,2,4
2020-04-11,Pamela Millwood,2,5
2020-04-11,Ronald Morris,2,6
2020-04-11,Sylvie Cohen,2,7
2020-04-11,William Barr,2,8
2020-04-14,Kay Ivey,1,1
2020-04-14,Lance Fulks,1,2
2020-04-14,States Ivey,1,3
2020-04-14,Tommy Battle,1,4
2020-04-15,Hank Sanders,1,1
2020-04-15,Kay Ivey,1,2
2020-04-15,Scott Harris,1,3
2020-04-16,Eric Garretty,1,1
2020-04-16,Richard Duncan,1,2
2020-04-18,Brad Curnutt,1,1
2020-04-18,John Merrill,1,2
2020-04-21,Daryl Sammet,1,1
2020-04-21,Emily Ezzell,1,2
2020-04-21,Johnny Morris,1,3
2020-04-21,Kay Ivey,1,4
2020-04-21,Marc Massey,1,5
2020-04-21,Mcelroy Hill,1,6
2020-04-21,Patterson Hill,1,7
2020-04-21,Steve Turner,1,8
2020-04-24,Jeff Birdwell,1,1
2020-04-24,Karen Landers,1,2
2020-04-24,Ron Puckett,1,3
2020-04-24,Wanda Tyler,1,4
2020-04-28,Brenda Elmore,1,1
2020-04-28,Donna Abernathy,1,2
2020-04-28,Renee Mcgill,1,3
2020-04-28,Ted Mcgill,1,4
2020-04-30,Bill Perkins,1,1
2020-04-30,Clint Coffey,1,2
2020-04-30,Daisy Mccormack,1,3
2020-04-30,Daniel Boone,1,4
2020-04-30,Davy Crockett,1,5
2020-04-30,Doug Logan,1,6
2020-04-30,Eric Pugh,1,7
2020-04-30,George Rogers Clark,1,8
2020-04-30,Ida Terry,1,9
2020-04-30,Jason Parnell,1,10
2020-04-30,Jay Eben,1,11
2020-04-30,John Detrick,1,12
2020-04-30,John Gibbs,1,13
2020-04-30,Kathy Eben,1,14
2020-04-30,Mel Gibson,1,15
2020-04-30,Sandy Manderino,1,16
2020-04-30,Simon Kenton,1,17
2020-04-30,Tere Richardson,1,18
2020-05-01,Colin Leyden,1,1
2020-05-01,Jeff Kardesch,1,2
2020-05-01,Julia Simon-Mishel,1,3
2020-05-01,Nan,1,4
2020-05-01,Sasha Mcveigh,1,5
2020-05-01,Scott Sheffield,1,6
2020-05-05,Kay Ivey,1,1
2020-05-05,Vernon Barnett,1,2
2020-05-06,Bobby Singleton,1,1
2020-05-06,Brian Jones,1,2
2020-05-06,Clyde Chambliss,1,3
2020-05-06,Garlan Gudger,1,4
2020-05-06,Greg Albritton,1,5
2020-05-06,Kay Ivey,1,6
2020-05-06,Scott Fiedler,1,7
2020-05-06,Tom Butler,1,8
2020-05-08,Deborah Kenyon,1,1
2020-05-08,Hudson Alpha,1,2
2020-05-08,Jason Greene,1,3
2020-05-08,Paula Johnson,1,4
2020-05-08,Steve Clouse,1,5
2020-05-11,Doug Patterson,1,1
2020-05-13,Ahmaud Arbery,1,1
2020-05-13,Ben Crump,1,2
2020-05-13,Breonna Taylor,1,3
2020-05-13,Brian Jones,1,4
2020-05-13,Deputy Stephen Young,1,5
2020-05-13,Greg Fischer,1,6
2020-05-13,Jamarcus Glover,1,7
2020-05-13,Joey Sutton,1,8
2020-05-13,Josh Judah,1,9
2020-05-13,Kenneth Walker,1,10
2020-05-13,Matthew Huggins,1,11
2020-05-13,Pamela Turner,1,12
2020-05-13,Tamika Palmer,1,13
2020-05-13,Travis Lee Stanley,1,14
2020-05-13,Trayvon Martin,1,15
2020-05-14,Nan,1,1
2020-05-19,Bob Audette,1,1
2020-05-19,Careyana Brenham,1,2
2020-05-19,Jessica Demarco,1,3
2020-05-19,Jonathan Sobel,1,4
2020-05-19,Joselline Garcia,1,5
2020-05-19,Kristopher Radder,1,6
2020-05-19,Seth Wenig,1,7
2020-05-19,Ted Schurter,1,8
2020-05-19,Tim Mccall,1,9
2020-05-21,Ben Harrison,1,1
2020-05-21,Collin Daly,1,2
2020-05-21,Kay Ivey,1,3
2020-05-22,Jamie Hall,1,1
2020-05-22,Mark Brazeal,1,2
2020-05-22,Ray Long,1,3
2020-05-22,Tommy Battle,1,4
2020-05-24,Al Bello Getty,1,1
2020-05-24,Anne Marie Stahurski,1,2
2020-05-24,Les Melnyk,1,3
2020-05-24,Vincent Panettieri,1,4
2020-05-26,Nan,1,1
2020-05-27,Rebekah Davis,1,1
2020-05-27,Robert Henry Walker,1,2
2020-06-02,Derek Chauvin,1,1
2020-06-02,Floyd Johnson,1,2
2020-06-02,George Floyd,1,3
2020-06-02,Holly Kirby,1,4
2020-06-02,Wilbert Woodruff,1,5
2020-06-14,Ahmaud Arbery,1,1
2020-06-14,Alexis Dawkins Mahaffey,1,2
2020-06-14,Breonna Taylor,1,3
2020-06-14,Fredrick Richardson,1,4
2020-06-14,George Floyd,1,5
2020-06-14,Ryanne Spivey,1,6
2020-06-18,Addie Jo,1,1
2020-06-18,Brandon Hampton,1,2
2020-06-18,Jessica Hampton,1,3
2020-06-19,James Horton,1,1
2020-06-19,Lee Sentell,1,2
2020-06-19,Teresa Todd,1,3
2020-06-21,Maria Godoyjun,2,5
2020-06-21,Linsey Marr,4,4
2020-06-21,Gavin Newsom,6,1
2020-06-21,Greg Abbott,6,2
2020-06-21,Raina Macintyre,6,3
2020-06-22,Linsey Marr,2,4
2020-06-22,Gavin Newsom,3,1
2020-06-22,Greg Abbott,3,2
2020-06-22,Raina Macintyre,3,3
2020-06-23,Gavin Newsom,1,1
2020-06-23,Greg Abbott,1,2
2020-06-23,Linsey Marr,1,3
2020-06-23,Raina Macintyre,1,4
2020-06-27,Randy Shearouse,1,1
2020-06-30,Charles Woodroof,1,1
2020-07-02,Bill Mckibben,1,1
2020-07-02,Marty Nathan,1,2
2020-07-05,Jamie Adams,1,1
2020-07-05,Joshua Dempsey,1,2
2020-07-05,Sandy Thompson,1,3
2020-07-05,Tere Richardson,1,4
2020-07-05,Yvonne Dempsey,1,5
2020-07-08,Aaron Burr,1,3
2020-07-08,Alex Guill,1,4
2020-07-08,Alexander Hamilton,1,5
2020-07-08,Andy Whitt,1,6
2020-07-08,Annie Snider,1,7
2020-07-08,Anthony Foxx,1,8
2020-07-08,Carol Browner,1,9
2020-07-08,Charles Hardy,1,10
2020-07-08,Chris Fallon,1,11
2020-07-08,Christine Todd Whitman,1,12
2020-07-08,Chuck Warren,1,13
2020-07-08,Dan Brouillette,1,14
2020-07-08,Dave Joyce R-Ohio,1,15
2020-07-08,Donald Trump,1,16
2020-07-08,Doug Patterson,1,17
2020-07-08,Eric Wolff,1,18
2020-07-08,James Boasberg,1,19
2020-07-08,Jeanne Anderson,1,20
2020-07-08,Joe Biden,1,21
2020-07-08,Kelsey Tamborrino,1,22
2020-07-08,Lisa Jackson,1,23
2020-07-08,Mark Menezes,1,24
2020-07-08,Mike Sewell,1,25
2020-07-08,Nicole Cantello,1,26
2020-07-08,Norman Mineta,1,27
2020-07-08,Ray Lahood,1,28
2020-07-08,Robert Bentley,1,29
2020-07-08,Rodney Slater,1,30
2020-07-08,Rudolph Allen,1,31
2020-07-08,Sergio Espinosa,1,32
2020-07-08,Tom Steyer,1,33
2020-07-08,Tracy Warren,1,34
2020-07-08,William Reilly,1,35
2020-07-08,Douglas Patterson,2,1
2020-07-08,Robert Baker,2,2
2020-07-09,Doug Patterson,1,1
2020-07-10,Chris Seibert,1,1
2020-07-10,Floyd Johnson,1,2
2020-07-10,Frank Travis,1,3
2020-07-10,Harold Wales,1,4
2020-07-10,Paul Fry,1,5
2020-07-10,Wayne Harper,1,6
