date,person,count,rn
2020-02-02,Nan,1,1
2020-03-12,Andrew Gould,1,1
2020-03-12,Cara Lombardo,1,2
2020-03-12,Carl Icahn,1,3
2020-03-12,Corrie Driebusch,1,4
2020-03-12,Vicki Hollub,1,5
2020-03-12,Warren Buffett,1,6
2020-03-17,Ashley Dohmann,1,1
2020-03-17,Dan Domenech,1,2
2020-03-17,Greg Abbott,1,3
2020-03-17,Jack Franklin,1,4
2020-03-17,Jules Madrigal,1,5
2020-03-17,Keith Krueger,1,6
2020-03-17,Michelle Reid,1,7
2020-03-17,Mindy Rose,1,8
2020-03-18,Bari Golin-Blaugrund,1,1
2020-03-18,Curtis Tate,1,2
2020-03-18,David Oliver,1,3
2020-03-18,Ellis Barker,1,4
2020-03-18,Jonathon Fishman,1,5
2020-03-18,Nan,1,6
2020-03-18,Vance Gulliksen,1,7
2020-03-19,Nan,1,1
2020-03-24,Donna Carson,1,1
2020-03-24,Goldman Sach,1,2
2020-03-24,Michael Hsueh,1,3
2020-03-24,Shneur Gershuni,1,4
2020-03-25,John Danna,1,11
2020-03-25,Alan Morgan,2,1
2020-03-25,Bridget Brennan,2,2
2020-03-25,Don Daniel,2,3
2020-03-25,Jayne Pope,2,4
2020-03-25,Jim Foster,2,5
2020-03-25,Joyce Foster,2,6
2020-03-25,Kevin Brown,2,7
2020-03-25,Luisa Franzini,2,8
2020-03-25,Lyndon Johnson,2,9
2020-03-25,Toniann Richard,2,10
2020-03-29,Alan Morgan,1,1
2020-03-29,Andrew Cuomo,1,2
2020-03-29,Bridget Brennan,1,3
2020-03-29,Cedric Dixon,1,4
2020-03-29,Dennis Dickson,1,5
2020-03-29,Dermot Shea,1,6
2020-03-29,Don Daniel,1,7
2020-03-29,Donald Trump,1,8
2020-03-29,Giacomina Barr-Brown,1,9
2020-03-29,Giuseppe Conte,1,10
2020-03-29,Jayne Pope,1,11
2020-03-29,Jim Foster,1,12
2020-03-29,John Danna,1,13
2020-03-29,John Frels,1,14
2020-03-29,Joseph Spector,1,15
2020-03-29,Joyce Foster,1,16
2020-03-29,Kevin Brown,1,17
2020-03-29,Luisa Franzini,1,18
2020-03-29,Lyndon Johnson,1,19
2020-03-29,Michael Collins,1,20
2020-03-29,Robert Redfield,1,21
2020-03-29,Thomas Dart,1,22
2020-03-29,Toniann Richard,1,23
2020-04-11,Adrianna Rodriguez,1,1
2020-04-11,Andy Beshear,1,2
2020-04-11,Anthony Fauci,1,3
2020-04-11,Deborah Birx,1,4
2020-04-11,Donald Trump,1,5
2020-04-11,Dwight Henninger,1,6
2020-04-11,John Fritze,1,7
2020-04-11,Kelly Tyko,1,8
2020-04-11,Kristine Phillips,1,9
2020-04-11,Rebecca Morin,1,10
2020-04-11,Suzanne Hirt,1,11
2020-04-11,Troy Wellman,1,12
2020-04-12,Jamie Mayo,1,1
2020-04-12,Tate Reeves,1,2
2020-04-13,Jamie Mayo,1,1
2020-04-13,Morris Pearl,1,2
2020-04-13,Tate Reeves,1,3
2020-04-13,William Lazonick,1,4
2020-04-16,Carolyn Wilkins,1,1
2020-04-16,Craig Erlam,1,2
2020-04-16,David Madden,1,3
2020-04-16,Donald Trump,1,4
2020-04-16,Ipek Ozkardeskaya,1,5
2020-04-16,Stephen Poloz,1,6
2020-04-16,Sundar Pichai,1,7
2020-04-17,Adam Orr,1,1
2020-04-17,Ayden Hannon,1,2
2020-04-17,Deborah Sea,1,3
2020-04-17,Jack Brown,1,4
2020-04-17,Rodney Freeman,1,5
2020-04-27,Amy Walters,1,1
2020-04-27,Arjanae Avula,1,2
2020-04-27,Jennifer Jones,1,3
2020-04-27,Los Angeles,1,4
2020-04-27,Marissa Boyce,1,5
2020-04-27,Marsha Levick,1,6
2020-04-27,Renee Slajda,1,7
2020-04-27,Steven Halpert,1,8
2020-04-27,Valerie Boykin,1,9
2020-04-30,Greg Abbott,1,1
2020-04-30,Ron Cunningham,1,2
2020-05-03,Pat Muller,1,1
2020-05-03,Ron Cunningham,1,2
2020-05-18,Ben Platt,1,1
2020-05-18,Patton Oswalt,1,2
2020-05-26,Nan,1,1
