date,person,count,rn
2020-03-11,Adam Caudle,2,3
2020-03-11,Adam Shutt,2,4
2020-03-11,Brad Quigley,2,5
2020-03-11,Katie Hammond,2,6
2020-03-11,Larry Roehl,2,7
2020-03-11,Randy Griffin,3,1
2020-03-11,Roxanne Smith,3,2
2020-03-13,Bob Babyok,1,1
2020-03-13,Doug Straley,1,2
2020-03-13,Lillian Peake,1,3
2020-03-18,Nan,1,1
2020-03-19,Aubrey Layne,1,1
2020-03-19,Brian Moran,1,2
2020-03-19,Lillian Peake,1,3
2020-03-19,Ralph Northam,1,4
2020-03-22,Betsy Devos,1,1
2020-03-22,Christian Goodwin,1,2
2020-03-22,Donald Trump,1,3
2020-03-22,Jane Foy,1,4
2020-03-22,Jeffrey Crossman,1,5
2020-03-22,John Patterson,1,6
2020-03-22,Kathryn Goodman,1,7
2020-03-22,Kevin Miller,1,8
2020-03-22,Lilian Peake,1,9
2020-03-22,Lisa Sobecki,1,10
2020-03-22,Mike Dewine,1,11
2020-03-22,Norman Oliver,1,12
2020-03-22,Paige Perriello,1,13
2020-03-22,Ralph Northam,1,14
2020-03-22,Robert Babyok,1,15
2020-03-22,Scott Dimauro,1,16
2020-03-22,Talisa Dixon,1,17
2020-03-24,Nan,1,1
2020-03-25,Donnie Lowe,1,1
2020-03-26,Heather Beaufore,1,1
2020-03-26,Terry Angelotti,1,2
2020-03-28,Kimberly Dillon,1,1
2020-03-28,Lee Downing,1,2
2020-03-28,Sal Speziale,1,3
2020-03-29,Donald Lowe,1,1
2020-03-29,Mark Herring,1,2
2020-03-29,Michelle Dmytryszyn,1,3
2020-03-29,Ralph Northam,1,4
2020-04-03,Andrew Sorrell,1,1
2020-04-03,Brian Joens,1,2
2020-04-03,Cameron Diehl,1,3
2020-04-03,Chris Mayes,1,4
2020-04-03,Ellis Marsalis,1,5
2020-04-03,Gail Terry,1,6
2020-04-03,Gary Herbert,1,7
2020-04-03,Meg Matthews,1,8
2020-04-03,Tessa Moberg,1,9
2020-04-06,Gary Mickelson,1,4
2020-04-06,Noel White,2,1
2020-04-06,Pete Ricketts,2,2
2020-04-06,Tyson White,2,3
2020-04-07,Charlie Neibergall,1,2
2020-04-07,Christine Mccracken,1,3
2020-04-07,Nan,1,4
2020-04-07,Noel White,1,5
2020-04-07,Gary Mickelson,3,1
2020-04-08,Abraham White,1,1
2020-04-08,Cameron Bruett,1,2
2020-04-08,Christine Mccracken,1,3
2020-04-08,Domingo Garcia,1,4
2020-04-08,Donnelle Eller,1,5
2020-04-08,Gary Mickelson,1,6
2020-04-08,Joe Henry,1,7
2020-04-08,Jon Nash,1,8
2020-04-08,Loren Sweatt,1,9
2020-04-08,Marty Smith,1,10
2020-04-09,Andre Nogueira,1,2
2020-04-09,John Morrell,1,3
2020-04-09,Jon Nash,1,4
2020-04-09,Kenneth Sullivan,1,5
2020-04-09,Kraft Heinz,1,6
2020-04-09,Krist Noem,1,7
2020-04-09,Mark Huston,1,8
2020-04-09,Marty Smith,1,9
2020-04-09,Michael Mccain,1,10
2020-04-09,Quintin Whittaker,1,11
2020-04-09,Saul Sanchez,1,12
2020-04-09,Christine Mccracken,2,1
2020-04-10,Noel White,1,1
2020-04-11,Beatrice Rangel,1,9
2020-04-11,Camilla Tyson,1,10
2020-04-11,Craig Fugate,1,11
2020-04-11,Joyce Flinn,1,12
2020-04-11,Mike Pence,1,13
2020-04-11,Nancy Reynosa,1,14
2020-04-11,Noel White,1,15
2020-04-11,Paul Tenhaken,1,16
2020-04-11,Saul Sanchez,1,17
2020-04-11,Shannon Jones,1,18
2020-04-11,Sharon Weston Broome,1,19
2020-04-11,Trevor Riggen,1,20
2020-04-11,Charlie Neibergall,2,6
2020-04-11,Diana Gingrow,2,7
2020-04-11,Mark Zaleski,2,8
2020-04-11,Alisha Weber,3,4
2020-04-11,Kim Reynolds,3,5
2020-04-11,Anthony Holt,4,1
2020-04-11,Brian Todd,4,2
2020-04-11,Goodlettsville Tyson,4,3
2020-04-12,Anthony Holt,1,2
2020-04-12,Brian Todd,1,3
2020-04-12,Charlie Neibergall,1,4
2020-04-12,Diana Gingrow,1,5
2020-04-12,Don Beyer,1,6
2020-04-12,Erin Bormett,1,7
2020-04-12,Goodlettsville Tyson,1,8
2020-04-12,Kenneth Sullivan,1,9
2020-04-12,Kristi Noem,1,10
2020-04-12,Mark Zaleski,1,11
2020-04-12,Nancy Reynoza,1,12
2020-04-12,Paul Tenhaken,1,13
2020-04-12,Toora Arsala,1,14
2020-04-12,Alisha Weber,2,1
2020-04-13,Brad Lyle,1,7
2020-04-13,Edward Tobin,1,8
2020-04-13,Jennifer Knox,1,9
2020-04-13,Kim Reynolds,1,10
2020-04-13,Maggie Seidel,1,11
2020-04-13,Paul Simao,1,12
2020-04-13,Tom Polansek,1,13
2020-04-13,Lee Schulz,2,5
2020-04-13,Nan,2,6
2020-04-13,Kenneth Sullivan,3,2
2020-04-13,Noel White,3,3
2020-04-13,Paul Tenhaken,3,4
2020-04-13,Kristi Noem,5,1
2020-04-14,Amy Mccoy,1,3
2020-04-14,Andre Nogueira,1,4
2020-04-14,Ashe Simpson,1,5
2020-04-14,Charlie Neibergall,1,6
2020-04-14,Colin Woodall,1,7
2020-04-14,Dave Wilson,1,8
2020-04-14,Donald Trump,1,9
2020-04-14,Joe Biden,1,10
2020-04-14,Justin Mattingly,1,11
2020-04-14,Kristi Noem,1,12
2020-04-14,Maggie Seidel,1,13
2020-04-14,Mark Warner,1,14
2020-04-14,Neil White,1,15
2020-04-14,Pat Rynard,1,16
2020-04-14,Paul Tenhaken,1,17
2020-04-14,Ralph Northam,1,18
2020-04-14,Sam Jarvis,1,19
2020-04-14,Suresh Gunasekaran,1,20
2020-04-14,Theresa Brennan,1,21
2020-04-14,Tim Kaine,1,22
2020-04-14,Trinity Muscatine,1,23
2020-04-14,Kenneth Sullivan,2,1
2020-04-14,Kim Reynolds,2,2
2020-04-15,Abby Finkenhauer,1,16
2020-04-15,Amy Mccoy,1,17
2020-04-15,Andrew Cuomo,1,18
2020-04-15,Anne Schuchat,1,19
2020-04-15,Asa Hutchinson,1,20
2020-04-15,Ashe Simpson,1,21
2020-04-15,Ben Kieffer,1,22
2020-04-15,Betty Andrews,1,23
2020-04-15,Bob Waters,1,24
2020-04-15,Bryce Smith,1,25
2020-04-15,Cindy Axne,1,26
2020-04-15,Colin Woodall,1,27
2020-04-15,Collin Peterson,1,28
