date,person,count,rn
2020-03-26,James Ooker Eskridge,1,1
2020-03-26,John Carney,1,2
2020-03-26,Paul Kuhns,1,3
2020-03-26,Rick Meehan,1,4
2020-03-27,James Ooker Eskridge,1,1
2020-03-27,John Carney,1,2
2020-03-27,Paul Kuhns,1,3
2020-03-27,Rick Meehan,1,4
2020-04-15,John Carney,1,1
2020-04-16,Dave Roberts,1,1
2020-04-16,John Carney,1,2
2020-04-16,Karen Mcwilliams,1,3
2020-04-16,Nicole Young,1,4
2020-04-16,Richard Feifer,1,5
2020-05-01,Frank Dyer,1,1
2020-05-01,James Willett,1,2
2020-05-01,Jim Davis,1,3
2020-05-01,Viola Spratley,1,4
