date,person,count,rn
2020-02-27,Jessica Rapp,1,1
2020-02-27,Richard Johnson,1,2
2020-02-29,Bernie Sanders,1,1
2020-02-29,Donald Trump,1,2
2020-02-29,Elizabeth Warren,1,3
2020-02-29,Hillary Clinton,1,4
2020-02-29,Joe Biden,1,5
2020-02-29,Marybeth Berry,1,6
2020-02-29,Mike Bloomberg,1,7
2020-02-29,Mike Pence,1,8
2020-02-29,Tim Kaine,1,9
2020-03-10,Jill Hemenway,1,10
2020-03-10,Nan,1,11
2020-03-10,Blaine Finch,2,8
2020-03-10,Tom Sawyer,2,9
2020-03-10,Dan Hawkins,4,1
2020-03-10,Jeff Longbine,4,2
2020-03-10,John Hanna,4,3
2020-03-10,Kyle Hoffman,4,4
2020-03-10,Laura Kelly,4,5
2020-03-10,Michael Murray,4,6
2020-03-10,Tim Graham,4,7
2020-03-11,Blaine Finch,1,1
2020-03-11,Dan Hawkins,1,2
2020-03-11,Jeff Longbine,1,3
2020-03-11,John Hanna,1,4
2020-03-11,Kyle Hoffman,1,5
2020-03-11,Laura Kelly,1,6
2020-03-11,Michael Murray,1,7
2020-03-11,Tim Graham,1,8
2020-03-11,Tom Sawyer,1,9
2020-03-12,Nan,2,3
2020-03-12,Richard Myers,7,2
2020-03-12,Mary Beverly,9,1
2020-03-14,Jennifer Millbern,1,1
2020-03-14,Laura Kelly,1,2
2020-03-16,Nan,1,1
2020-03-17,Brandi Harless,1,2
2020-03-17,Craig Clymer,1,3
2020-03-17,Kenny Sumner,1,4
2020-03-17,Randy Watson,1,5
2020-03-17,Wade White,1,6
2020-03-17,Andy Beshear,2,1
2020-03-18,Bob Byrnes,1,2
2020-03-18,Brad Cox,1,3
2020-03-18,Charles Byers,1,4
2020-03-18,Chris Espedal,1,5
2020-03-18,Dallas Stewart,1,6
2020-03-18,Florent Geroux,1,7
2020-03-18,Joe Bravo,1,8
2020-03-18,John Arbaugh,1,9
2020-03-18,Julian Leparoux,1,10
2020-03-18,Katie Kohler,1,11
2020-03-18,Mitch Murrill,1,12
2020-03-18,Philip Bauer,1,13
2020-03-18,Rachel Alexandra,1,14
2020-03-18,Sam Corey,1,15
2020-03-18,Steven Meister,1,16
2020-03-18,Tom Bolin,1,17
2020-03-18,Torie Gibson,1,18
2020-03-18,Wade White,1,19
2020-03-18,Andy Beshear,2,1
2020-03-19,Aman Singh,1,4
2020-03-19,Andy Beshear,1,5
2020-03-19,Chaz Jewell,1,6
2020-03-19,Dan Mccassie,1,7
2020-03-19,George Dini,1,8
2020-03-19,Jeff Stewart,1,9
2020-03-19,John Mayer,1,10
2020-03-19,Josh Foli,1,11
2020-03-19,Kerry Hinkle Jr,1,12
2020-03-19,Lauren Skala,1,13
2020-03-19,Patrick Hayden,1,14
2020-03-19,Shea Grimsley,1,15
2020-03-19,Suzette Cole,1,16
2020-03-19,Tony Wheatley,1,17
2020-03-19,Wade White,1,18
2020-03-19,William Kassebaum,2,3
2020-03-19,Laura Kelly,3,1
2020-03-19,Randy Watson,3,2
2020-03-20,Chaz Jewell,1,1
2020-03-20,Jeff Stewart,1,2
2020-03-20,John Mayer,1,3
2020-03-20,Kerry Hinkle Jr,1,4
2020-03-20,Lauren Skala,1,5
2020-03-20,Patrick Hayden,1,6
2020-03-20,Shea Grimsley,1,7
2020-03-20,Tony Wheatley,1,8
2020-03-21,Andy Beshear,1,1
2020-03-21,Jennifer Duff,1,2
2020-03-21,John Choat,1,3
2020-03-21,Wade White,1,4
2020-03-22,Andy Beshear,1,1
2020-03-22,James Tolley,1,2
2020-03-23,Bill Lewis,1,1
2020-03-23,Carl Zeilman,1,2
2020-03-23,Melissa Derosa,1,3
2020-03-23,Mike Zurlo,1,4
2020-03-24,Anthony Tinnin,1,3
2020-03-24,Danny Giefer,3,1
2020-03-24,William Lindsay White,3,2
2020-03-25,Nan,1,1
2020-03-27,Axel Tangen,1,2
2020-03-27,Dan Slater,1,3
2020-03-27,Dan Williams,1,4
2020-03-27,Eric Wallen,1,5
2020-03-27,Jennie Edmundson,1,6
2020-03-27,Jennifer Milbern,1,7
2020-03-27,Jim Marshall,1,8
2020-03-27,Renee Hively,1,9
2020-03-27,Rollie Martin,1,10
2020-03-27,Sam Irwin,1,11
2020-03-27,Scott Briggs,1,12
2020-03-27,Stacey Louise,1,13
2020-03-27,Tamara Brunow,1,14
2020-03-27,Tesla Gigafactory,1,15
2020-03-27,Austin Osborne,3,1
2020-03-28,Austin Osborne,1,1
