date,person,count,rn
2020-03-12,Bill Ritter,1,1
2020-03-12,Glen Mays,1,2
2020-03-12,Jay Inslee,1,3
2020-03-12,John Hickenlooper,1,4
2020-03-12,Ron Desantis,1,5
2020-03-12,Stephanie Donner,1,6
2020-03-14,Aaron Glassman,1,1
2020-03-14,James Blake,1,2
2020-03-14,Justin Martin,1,3
2020-03-18,Chip Rogers,1,1
2020-03-18,Hugo Martin Los Angeles,1,2
2020-03-18,Jon Bortz,1,3
2020-03-18,Las Vegas,1,4
2020-03-18,Mike Pence,1,5
2020-03-18,Roger Dow,1,6
2020-03-21,George Rose Getty,2,3
2020-03-21,El Capitan,4,2
2020-03-21,Gavin Newsom,6,1
2020-03-22,Gavin Newsom,1,1
2020-03-22,Los Angeles,1,2
2020-03-22,Nancy Williams,1,3
2020-03-22,Peter Beilenson,1,4
2020-03-22,Teresa Frankovich,1,5
2020-03-26,Barney Mann,1,1
2020-03-26,Barney Scout Mann,1,2
2020-03-26,Cheryl Strayed,1,3
2020-03-26,Joanna Vossahlik,1,4
2020-03-26,Lauren Roerick,1,5
2020-03-26,Liz Bergeron,1,6
2020-03-26,Micah Romano,1,7
2020-03-26,Sandra Marra,1,8
2020-03-26,Sandy Frodo Mann,1,9
2020-03-26,Scott Wilkinson,1,10
2020-03-26,Zach Davis,1,11
2020-03-27,David Freireich,1,1
2020-03-27,Gavin Newsom,1,2
2020-03-27,Glen White,1,3
2020-03-27,Leah Hennessy,1,4
2020-03-27,Sintia Kawasaki-Yee,1,5
2020-03-30,Nan,1,1
2020-03-31,Alexander Bolton,1,1
2020-03-31,Barbara Goldberg,1,2
2020-03-31,Brandon Brown,1,3
2020-03-31,Brian Labus,1,4
2020-03-31,Cassandra Fairbanks,1,5
2020-03-31,Chris Cuomo,1,6
2020-03-31,Craig Hatkoff,1,7
2020-03-31,Daniel Pastula,1,8
2020-03-31,Daren Butler,1,9
2020-03-31,Deborah Rutter,1,10
2020-03-31,Donald Trump,1,11
2020-03-31,Ed Koch,1,12
2020-03-31,Irwin Kula,1,13
2020-03-31,Jack Posobiec,1,14
2020-03-31,Joe Biden,1,15
2020-03-31,John Ioannidis,1,16
2020-03-31,Las Vegas,1,17
2020-03-31,Lisa Boothe,1,18
2020-03-31,Los Angeles,1,19
2020-03-31,Mark Terry,1,20
2020-03-31,Michael Horowitz,1,21
2020-03-31,Roberto Viau Colindres,1,22
2020-03-31,Ron Desantis,1,23
2020-03-31,Sandra Filippi,1,24
2020-03-31,Shirin Peters,1,25
2020-03-31,Sylvester Turner,1,26
2020-03-31,Tayyip Erdogan,1,27
2020-03-31,Todd Semonite,1,28
2020-03-31,Viau Colindres,1,29
2020-04-01,Barack Obama,1,1
2020-04-01,Mike Tollefson,1,2
2020-04-02,Donald Trump,1,2
2020-04-02,Gavin Newsom,1,3
2020-04-02,Gigi Hadid,1,4
2020-04-02,Jennifer Lopez,1,5
2020-04-02,Jon Coupal,1,6
2020-04-02,Katy Keene,1,7
2020-04-02,Keith Williams,1,8
2020-04-02,Lucy Hale,1,9
2020-04-02,Lucy Haleref,1,10
2020-04-02,Pictureslos Angeles,1,11
2020-04-02,Los Angeles,2,1
2020-04-03,Gavin Newsom,1,1
2020-04-03,Jon Coupal,1,2
2020-04-03,Keith Williams,1,3
2020-04-03,Los Angeles,1,4
2020-04-04,Ben Christopher,1,1
2020-04-04,Gavin Newsom,1,2
2020-04-04,Jon Coupal,1,3
2020-04-04,Keith Williams,1,4
2020-04-04,Los Angeles,1,5
2020-04-07,Christopher Dolan,1,1
2020-04-07,Claudia Sevilla,1,2
2020-04-07,Desiree Mccabe,1,3
2020-04-07,Erin Yeager,1,4
2020-04-07,Stephanie Chung,1,5
2020-04-08,Ed Nepia,1,1
2020-04-08,Matheson Brown,1,2
2020-04-08,Paynes Ford,1,3
2020-04-08,Takaka Hill,1,4
2020-04-08,Troy Stevenson,1,5
2020-04-10,Nan,1,1
2020-04-11,Tahir Mehood,2,5
2020-04-11,Troy Kidd,2,6
2020-04-11,Dan Minkoff,4,1
2020-04-11,Gavin Newsom,4,2
2020-04-11,Keith Cox,4,3
2020-04-11,Keith Williams,4,4
2020-04-12,Troy Kidd,1,5
2020-04-12,Dan Minkoff,2,1
2020-04-12,Gavin Newsom,2,2
2020-04-12,Keith Cox,2,3
2020-04-12,Keith Williams,2,4
2020-04-13,Billy Sanchez,3,1
2020-04-13,Carolyn Cole,3,2
2020-04-13,Carolyn Cole Los Angeles,3,3
2020-04-13,El Capitan,3,4
2020-04-13,Warren Mcclain,3,5
2020-04-14,Anthony Fauci,1,2
2020-04-14,David Harlow,1,3
2020-04-14,Donald Trump,1,4
2020-04-14,Jason Wang,1,5
2020-04-14,Johns Hopkins,1,6
2020-04-14,Lady Gaga,1,7
2020-04-14,Steve Davis,1,8
2020-04-14,Warren Mcclain,1,9
2020-04-14,Ranger Katie,2,1
2020-04-15,Dane Peterson,1,8
2020-04-15,Nan,1,9
2020-04-15,Alan Weisman,4,3
2020-04-15,Billy Sanchez,4,4
2020-04-15,Carolyn Cole,4,5
2020-04-15,Los Angeles,4,6
2020-04-15,Warren Mcclain,4,7
2020-04-15,Carolyn Cole Los Angeles,8,1
2020-04-15,El Capitan,8,2
2020-04-16,Andrew Cuomo,1,1
2020-04-16,Bishop Gerald Glenn,1,2
2020-04-16,Cate Blanchett,1,3
2020-04-16,Charlie Kirk,1,4
2020-04-16,Chris Cuomo,1,5
2020-04-16,David Blackmon,1,6
2020-04-16,Don Lemon,1,7
2020-04-16,Donald Trump,1,8
2020-04-16,Jay Greenberg,1,9
2020-04-16,Jim Robinson,1,10
2020-04-16,Joe Biden,1,11
2020-04-16,John Brennan,1,12
2020-04-16,Joseph Digenova,1,13
2020-04-16,Kristi Noem,1,14
2020-04-16,Larry Arne,1,15
2020-04-16,Larry Elder,1,16
2020-04-16,Mar-Gerie Crawley,1,17
2020-04-16,Michelle Malkin,1,18
2020-04-16,Nicholas Fondacaro,1,19
2020-04-16,Nick Givas,1,20
2020-04-16,Oscar Munoz,1,21
2020-04-16,Peter Nickeas,1,22
2020-04-16,Phil Murphy,1,23
2020-04-16,Phyllis Schlafly,1,24
2020-04-16,Ranger Katie Patrick,1,25
2020-04-16,Scott Kirby,1,26
2020-04-16,Tara Reade,1,27
2020-04-16,Tobias Hoonhout,1,28
2020-04-16,Tom Lewis,1,29
2020-04-17,Tamara Aparton,2,1
2020-04-18,Ansel Adams,1,1
2020-04-18,David Higgins,1,2
2020-04-18,John Muir,1,3
2020-04-18,Lincoln Gable Riley,1,4
2020-04-18,Los Angeles,1,5
2020-04-18,Mike Post,1,6
2020-04-18,Tamara Aparton,1,7
2020-04-23,Jamie Richards,1,1
2020-04-23,John Bartell,1,2
2020-04-28,Chris Caretto,1,1
2020-05-03,Doug Michael,4,9
2020-05-03,Matthew Matthiessen,4,10
2020-05-03,Bill Evans,9,5
2020-05-03,Calvin Kimbro,9,6
2020-05-03,Genaro Molina Los Angeles,9,7
2020-05-03,Hailey Boland,9,8
2020-05-03,Anthony Fauci,12,1
2020-05-03,Eric Sergienko,12,2
2020-05-03,Gavin Newsom,12,3
2020-05-03,Travis Medlock,12,4
2020-05-04,Donald Trump,1,5
2020-05-04,Johns Hopkins,1,6
2020-05-04,Lisa Miller,1,7
2020-05-04,Anthony Fauci,2,1
2020-05-04,Eric Sergienko,2,2
2020-05-04,Gavin Newsom,2,3
2020-05-04,Travis Medlock,2,4
2020-05-05,Anza Borrego,1,1
2020-05-05,Kevin Clark,1,2
2020-05-05,Mary Duffy,1,3
2020-05-05,Patricia Simpson,1,4
2020-05-05,Paul Lehman,1,5
2020-05-05,Paula Kirpalani,1,6
2020-05-05,Rebecca Handelsman,1,7
2020-05-05,Sue Smith,1,8
2020-05-06,Doug Binnewies,1,1
2020-05-06,Eric Sergienko,1,2
2020-05-06,Jerry Rankin,1,3
2020-05-07,Daniel Covid,1,1
2020-05-07,Daniel Zane,1,2
2020-05-07,Mount Rushmore,1,3
2020-05-07,Nancie Zane,1,4
2020-05-07,Robin Zane,1,5
2020-05-07,Valerie Zane,1,6
2020-05-08,Daniel Covid,1,1
2020-05-08,Daniel Zane,1,2
2020-05-08,Mount Rushmore,1,3
2020-05-08,Nancie Zane,1,4
2020-05-08,Robin Zane,1,5
2020-05-08,Valerie Zane,1,6
2020-05-10,Gavin Newsom,1,1
2020-05-10,Genaro Molina Los Angeles,1,2
2020-05-10,Jan Emerson-Shea,1,3
2020-05-10,Jeff Griffiths,1,4
2020-05-10,Los Angeles,1,5
2020-05-10,Richard Johnson,1,6
2020-05-10,Rick Stephens,1,7
2020-05-10,Stacy Corless,1,8
2020-05-10,Thomas Wilkinson,1,9
2020-05-11,Michael Raffety,1,1
2020-05-12,Donald Trump,1,1
2020-05-12,Johns Hopkins,1,2
2020-05-12,Lisa Miller,1,3
2020-05-14,Donald Trump,1,1
2020-05-14,Fresno Beereported,1,2
2020-05-14,Lily Daniels,1,3
2020-05-14,Mike Pence,1,4
2020-05-14,Theresa Pierno,1,5
2020-05-17,Beth Binger,1,1
2020-05-17,Bridgette Browning,1,2
2020-05-17,El Cajon,1,3
2020-05-17,Gavin Newsom,1,4
2020-05-17,Rob Cinelli,1,5
2020-05-17,Rosalina Kovach,1,6
2020-05-21,Cynthia Hernandez,1,1
2020-05-21,Dane Peterson,1,2
2020-05-21,Gavin Newsom,1,3
2020-05-21,Karen Bleier,1,4
2020-05-21,Kati Schmidt,1,5
2020-05-21,Lindsay Rosa,1,6
