date,person,count,rn
2020-02-01,Abby Finkenauer D-Iowa,1,24
2020-02-01,Acaza L Audiorealm,1,25
2020-02-01,Andrew Abrahczyk,1,26
2020-02-01,Anthony Leonardi,1,27
2020-02-01,Bernie Sanders,1,28
2020-02-01,Eric Ciaramella,1,29
2020-02-01,George Washington,1,30
2020-02-01,Hillary Clinton,1,31
2020-02-01,Jeffrey Epstein,1,32
2020-02-01,Jessica Bennett,1,33
2020-02-01,John Cornyn,1,34
2020-02-01,Jonathan Oatis Shri Navaratnam,1,35
2020-02-01,Justice Cuck,1,36
2020-02-01,Justice John Roberts,1,37
2020-02-01,Lamar Alexander,1,38
2020-02-01,Lamar Alexander R-Tenn,1,39
2020-02-01,Lord Byron,1,40
2020-02-01,Michael Cutler,1,41
2020-02-01,Michael Parsons,1,42
2020-02-01,Mike Rounds,1,43
2020-02-01,Mitt Romney,1,44
2020-02-01,Patrick Leahy,1,45
2020-02-01,Rick Cottrill,1,46
2020-02-01,Rick Wilson,1,47
2020-02-01,Robert Charles,1,48
2020-02-01,Romney R-Utah,1,49
2020-02-01,Scot Shepard,1,50
2020-02-01,Curtis Tate,2,10
2020-02-01,Haley Bruce,2,11
2020-02-01,Jarad Bernstein,2,12
2020-02-01,Jen Hartmann,2,13
2020-02-01,John Bolton,2,14
2020-02-01,Jonathan Oatis,2,15
2020-02-01,Kayla Kovarna,2,16
2020-02-01,Lori Bassani,2,17
2020-02-01,Mark Hurst,2,18
2020-02-01,Nora Colburn,2,19
2020-02-01,Pacific Ocean,2,20
2020-02-01,Steve Schmadeke,2,21
2020-02-01,Travis Westbrook,2,22
2020-02-01,Tyler Jett,2,23
2020-02-01,Trevor Hunnicutt,3,9
2020-02-01,Caitlin Pedati,4,2
2020-02-01,Elizabeth Sporrer,4,3
2020-02-01,Joe Biden,4,4
2020-02-01,Li Zhao,4,5
2020-02-01,Nola Aigner Davis,4,6
2020-02-01,Shaun Jamieson,4,7
2020-02-01,Wendy Wintersteen,4,8
2020-02-01,Donald Trump,8,1
2020-02-02,Carol Hunter,1,43
2020-02-02,Kevin Macdonald,1,44
2020-02-02,Mark Hurst,1,45
2020-02-02,Michael Moore,1,46
2020-02-02,Nora Colburn,1,47
2020-02-02,Raul Ortiz,1,48
2020-02-02,Royce Freeman,1,49
2020-02-02,Sean Hannity,1,50
2020-02-02,Ginsberg Ben,2,39
2020-02-02,Hua Chunying,2,40
2020-02-02,Peter Buttigieg,2,41
2020-02-02,Tom Vilsack,2,42
2020-02-02,Adel Abdul-Mahdi,3,6
2020-02-02,Ali Larijani,3,7
2020-02-02,Amir Ohana,3,8
2020-02-02,Amr Adeeb,3,9
2020-02-02,Avichai Mandelblit,3,10
2020-02-02,Ayman Safadi,3,11
2020-02-02,Benjamin Netanyahu,3,12
2020-02-02,Biden Marshalltown,3,13
2020-02-02,Boniface Mwamposa,3,14
2020-02-02,Boris Johnson,3,15
2020-02-02,Boris Johnson Borisjohnson,3,16
2020-02-02,Chris Hayes,3,17
2020-02-02,Dai Yuming,3,18
2020-02-02,Dan Eldad,3,19
2020-02-02,Dmitry Peskov,3,20
2020-02-02,Geulat Zion,3,21
2020-02-02,Hassan Rouhani,3,22
2020-02-02,Jacob Magid,3,23
2020-02-02,Jared Kushner,3,24
2020-02-02,Javad Zarif,3,25
2020-02-02,Jens Spahn,3,26
2020-02-02,Jim Williams,3,27
2020-02-02,Kippi Warioba,3,28
2020-02-02,Kriengsak Attipornwanich,3,29
2020-02-02,Mike Bloomberg,3,30
2020-02-02,Mohammed Allawi,3,31
2020-02-02,Pete Buttigieg,3,32
2020-02-02,Qasem Soleimani,3,33
2020-02-02,Qassim Al-Rimi,3,34
2020-02-02,Ruhollah Khomeini,3,35
2020-02-02,Shai Nitzan,3,36
2020-02-02,Usman Khan,3,37
2020-02-02,Ziad Abid,3,38
2020-02-02,Amy Klobuchar,4,5
2020-02-02,Joe Biden,6,4
2020-02-02,Bernie Sanders,7,2
2020-02-02,Elizabeth Warren,7,3
2020-02-02,Donald Trump,9,1
2020-02-03,Adam Schiff,1,29
2020-02-03,Alex Rogers,1,30
2020-02-03,Amy Klobuchar,1,31
2020-02-03,Bianca Nobilo,1,32
2020-02-03,Bill Cassidy,1,33
2020-02-03,Chris Coons,1,34
2020-02-03,Dan Crenshaw R-Texas,1,35
2020-02-03,David Rardin,1,36
2020-02-03,Dianne Feinstein,1,37
2020-02-03,Donald Trumpexpanded,1,38
2020-02-03,Ed Razek,1,39
2020-02-03,Elijah Cummings,1,40
2020-02-03,Frank Larose,1,41
2020-02-03,Hakeem Jeffries,1,42
2020-02-03,Isabel Gottlieb,1,43
2020-02-03,James Lankford,1,44
2020-02-03,Jay Sekulow,1,45
2020-02-03,Jeremy Herb,1,46
2020-02-03,Jerry Moran,1,47
2020-02-03,Jim Risch,1,48
2020-02-03,Joe Ianniello,1,49
2020-02-03,Joe Lawrence,1,50
2020-02-03,Ben Smith,2,14
2020-02-03,David Weigel,2,15
2020-02-03,Dean Baquet,2,16
2020-02-03,George Stephanopoulos,2,17
2020-02-03,Hanna Ziady,2,18
2020-02-03,John Kerry,2,19
2020-02-03,Larry Page,2,20
2020-02-03,Mark Zuckerberg,2,21
2020-02-03,Michael Barbaro,2,22
2020-02-03,Nate Silver,2,23
2020-02-03,Rashida Tlaib,2,24
2020-02-03,Sergey Brin,2,25
2020-02-03,Sundar Pichai,2,26
2020-02-03,Tai Hui,2,27
2020-02-03,Todd Gitlin,2,28
2020-02-03,Ann Selzer,3,8
2020-02-03,Boris Johnson,3,9
2020-02-03,Chris Hayes,3,10
2020-02-03,Hillary Clinton,3,11
2020-02-03,Mike Bloomberg,3,12
2020-02-03,Nancy Pelosi,3,13
2020-02-03,Sean Hannity,4,7
2020-02-03,Elizabeth Warren,5,5
2020-02-03,Michael Bloomberg,5,6
2020-02-03,Pete Buttigieg,6,4
2020-02-03,Bernie Sanders,8,3
2020-02-03,Joe Biden,9,2
2020-02-03,Donald Trump,14,1
2020-02-04,Antonio Olivo,2,31
2020-02-04,Bell Ribeiro-Addy,2,32
2020-02-04,Brad Parscale,2,33
2020-02-04,Dan Petrella,2,34
2020-02-04,Dana Remus,2,35
2020-02-04,Deb Riechmann,2,36
2020-02-04,Emily Duff,2,37
2020-02-04,Emily Glazer,2,38
