date,person,count,rn
2020-02-01,Jennifer Corder,1,12
2020-02-01,Kizzmekia Corbett,1,13
2020-02-01,Nan,1,14
2020-02-01,Liz Bowie,5,10
2020-02-01,Meredith Cohn,5,11
2020-02-01,Alex Azar,11,2
2020-02-01,Brian Garibaldi,11,3
2020-02-01,Cheryl Knauer,11,4
2020-02-01,Chris Van Hollen,11,5
2020-02-01,Jay Perman,11,6
2020-02-01,Lisa Maragakis,11,7
2020-02-01,Lorraine Mirabella,11,8
2020-02-01,Michael Bruckler,11,9
2020-02-01,Larry Hogan,12,1
2020-02-02,Gary Libby,1,17
2020-02-02,Ian Chuang,1,18
2020-02-02,Jessica Sun,1,19
2020-02-02,Richard Goldenber,1,20
2020-02-02,Tiffany Johnson,1,21
2020-02-02,Wesley Conner,1,22
2020-02-02,Charlotte Amoa,2,13
2020-02-02,Lily Qi D-Montgomery,2,14
2020-02-02,Raymond Crowel,2,15
2020-02-02,Zhuying Hua,2,16
2020-02-02,Anthony Fauci,3,11
2020-02-02,Steve Lizama,3,12
2020-02-02,Alex Azar,4,2
2020-02-02,Brian Garibaldi,4,3
2020-02-02,Cheryl Knauer,4,4
2020-02-02,Chris Van Hollen,4,5
2020-02-02,Jay Perman,4,6
2020-02-02,Larry Hogan,4,7
2020-02-02,Lisa Maragakis,4,8
2020-02-02,Lorraine Mirabella,4,9
2020-02-02,Michael Bruckler,4,10
2020-02-02,Yong Chen,5,1
2020-02-03,Alethea Smith,1,12
2020-02-03,Anthony Fauci,1,13
2020-02-03,Barham Salih,1,14
2020-02-03,Donald Trump,1,15
2020-02-03,Erneido Oliva,1,16
2020-02-03,Fran Phillips,1,17
2020-02-03,Kelly Burke,1,18
2020-02-03,Michelle Basch,1,19
2020-02-03,Mike Murillo,1,20
2020-02-03,Mohammed Allawi,1,21
2020-02-03,Paul Christian Makonda,1,22
2020-02-03,Shawn Mueller,1,23
2020-02-03,Johns Hopkinsposted,5,10
2020-02-03,Tedros Adhanom Ghebreyesus,5,11
2020-02-03,Alex Azar,10,1
2020-02-03,Brian Garibaldi,10,2
2020-02-03,Cheryl Knauer,10,3
2020-02-03,Chris Van Hollen,10,4
2020-02-03,Jay Perman,10,5
2020-02-03,Larry Hogan,10,6
2020-02-03,Lisa Maragakis,10,7
2020-02-03,Lorraine Mirabella,10,8
2020-02-03,Michael Bruckler,10,9
2020-02-04,Ahmad Abouammo,1,9
2020-02-04,Frank Mckenzie,1,10
2020-02-04,Hillary Clinton,1,11
2020-02-04,Mike Pompeo,1,12
2020-02-04,Nan,1,13
2020-02-04,Qasem Soleimani,1,14
2020-02-04,Rick Massimo,1,15
2020-02-04,Tulsi Gabbard,1,16
2020-02-04,Larry Hogan,2,8
2020-02-04,Andrea Chamblee,4,2
2020-02-04,Chris Van Hollen,4,3
2020-02-04,Emily Zhang Lawrence,4,4
2020-02-04,Jamie Raskin,4,5
2020-02-04,John Kinnaird,4,6
2020-02-04,John Mcnamara,4,7
2020-02-04,Donald Trump,5,1
2020-02-05,Amy Klobuchar,1,44
2020-02-05,Bill Pascrell,1,45
2020-02-05,Chris Murphy,1,46
2020-02-05,Councilmember Nancy Navarro,1,47
2020-02-05,Dianne Feinstein,1,48
2020-02-05,Elizabeth Warren,1,49
2020-02-05,Gabe Albornoz,1,50
2020-02-05,Amy Klobuchar D-Minn,2,29
2020-02-05,Ashley Masucci,2,30
2020-02-05,Brendan Felch,2,31
2020-02-05,Chris Murphy D-Conn,2,32
2020-02-05,Donald Trump,2,33
2020-02-05,Lamar Alexander R-Tenn,2,34
2020-02-05,Lisa Murkowski R-Alaska,2,35
2020-02-05,Mike Pence,2,36
2020-02-05,Nancy Pelosi,2,37
2020-02-05,Pascrell Jr,2,38
2020-02-05,Peter Buttigieg,2,39
2020-02-05,Sophia Bates,2,40
2020-02-05,Susan Collins R-Maine,2,41
2020-02-05,Veronica Escobar D-Texas,2,42
2020-02-05,Zoe Rappoport,2,43
2020-02-05,Alexander Bolton,3,1
2020-02-05,Alexis Simendinger,3,2
2020-02-05,Bernie Sanders,3,3
2020-02-05,Christopher Wray,3,4
2020-02-05,Dave Wasserman,3,5
2020-02-05,Gabe Perez,3,6
2020-02-05,Gretchen Whitmer,3,7
2020-02-05,Hill Niall Stanage,3,8
2020-02-05,Hill Reid Wilson,3,9
2020-02-05,James Carville,3,10
2020-02-05,Jennifer Holdsworth,3,11
2020-02-05,Joe Biden,3,12
2020-02-05,Joe Manchin,3,13
2020-02-05,Juan Guaid,3,14
2020-02-05,Kweisi Mfume,3,15
2020-02-05,Larry Kudlow,3,16
2020-02-05,Mark Esper,3,17
2020-02-05,Melania Trump,3,18
2020-02-05,Michael Bloomberg,3,19
2020-02-05,Neil Narang,3,20
2020-02-05,Paul Glastris,3,21
2020-02-05,Pete Buttigieg,3,22
2020-02-05,Reid Wilson,3,23
2020-02-05,Ronald Reagan,3,24
2020-02-05,Rush Limbaugh,3,25
2020-02-05,Sam Nelson,3,26
2020-02-05,Sinn Fein,3,27
2020-02-05,Susan Collins,3,28
2020-02-06,Adam Alonso,1,18
2020-02-06,Alfred Adewale Martins,1,19
2020-02-06,Alpha Sall,1,20
2020-02-06,Andrew Brasher,1,21
2020-02-06,Anthony Godonu,1,22
2020-02-06,Chris Van Hollen D-Md,1,23
2020-02-06,Christopher Demuth,1,24
2020-02-06,Connor Reed,1,25
2020-02-06,Daniel Bice,1,26
2020-02-06,Gary Cantrell,1,27
2020-02-06,Greg Suchanek,1,28
2020-02-06,Gregg Jarrett,1,29
2020-02-06,Institut Pasteur,1,30
2020-02-06,Jamie Raskin D-Md,1,31
2020-02-06,Jeanne Smits,1,32
2020-02-06,Joaquim Segal,1,33
2020-02-06,Johan Neyts,1,34
2020-02-06,Jonathan Turley,1,35
2020-02-06,Katie Pavlich,1,36
2020-02-06,Kenny Roger,1,37
2020-02-06,Lateshia Beachum,1,38
2020-02-06,Lindsey Burke,1,39
2020-02-06,Linfa Wang,1,40
2020-02-06,Liz Gilbert,1,41
2020-02-06,Lori Salvatore,1,42
2020-02-06,Lourdes Ponce,1,43
2020-02-06,Michael Nnadi,1,44
2020-02-06,Mike Catton,1,45
2020-02-06,Mitt Romney,1,46
2020-02-06,Nancy Pelosi,1,47
2020-02-06,Nicole Winfield,1,48
2020-02-06,Paul Young,1,49
2020-02-06,Paulina Firozi,1,50
2020-02-06,Bruce Ivins,2,11
2020-02-06,Chelsea Bauckman,2,12
2020-02-06,David Dishneau,2,13
2020-02-06,James Gathany,2,14
2020-02-06,Mark Wilson Getty,2,15
2020-02-06,Patricia Kime,2,16
2020-02-06,Ryan Mccarthy,2,17
2020-02-06,Anthony Brown,5,3
2020-02-06,Ben Cardin,5,4
2020-02-06,Chris Van Hollen,5,5
2020-02-06,David Trone,5,6
2020-02-06,Dutch Ruppersberger,5,7
2020-02-06,Jamie Raskin,5,8
2020-02-06,John Murray,5,9
2020-02-06,Michael Talley,5,10
2020-02-06,Mark Esper,6,1
2020-02-06,Van Hollen,6,2
2020-02-07,Andrea Kane,1,1
2020-02-07,Bill Roberts,1,2
2020-02-07,Gregory Glenn,1,3
2020-02-07,Jennie Burris,1,4
2020-02-07,Jeremy Brown,1,5
2020-02-07,Mike Wick,1,6
2020-02-07,Robin Shattock,1,7
2020-02-07,Scott Haas,1,8
2020-02-08,Ben Cardin,1,2
2020-02-08,Carlos Murguia,1,3
2020-02-08,Cheryl Ingstad,1,4
2020-02-08,Chris Van Hollen,1,5
2020-02-08,Dale Cabaniss,1,6
2020-02-08,David Laufer,1,7
2020-02-08,David Thompson,1,8
2020-02-08,Van Hollen,1,9
2020-02-08,Mark Esper,2,1
2020-02-09,Ali Mohamed Zaki,1,1
2020-02-09,Allan Ronald,1,2
2020-02-09,Andrew Johnson,1,3
2020-02-09,Anthony Brown,1,4
2020-02-09,Anthony Fauci,1,5
2020-02-09,Ben Cardin,1,6
2020-02-09,Bill Clinton,1,7
2020-02-09,Bob Zhang,1,8
2020-02-09,Chris Van Hollen,1,9
2020-02-09,David Trone,1,10
2020-02-09,Dutch Ruppersberger,1,11
2020-02-09,Frank Plummer,1,12
2020-02-09,Harry Hughes,1,13
2020-02-09,Jaime Raskin,1,14
2020-02-09,John Wobensmith,1,15
2020-02-09,Kaiser Permanente,1,16
2020-02-09,Keith Fowke,1,17
2020-02-09,Kevin Mcmanus,1,18
2020-02-09,Kim Vaccari,1,19
2020-02-09,Larry Gelmon,1,20
2020-02-09,Luis Borunda,1,21
2020-02-09,Mark Esper,1,22
2020-02-09,Mark Xu,1,23
2020-02-09,Mendy Nitsch,1,24
2020-02-09,Naliyah Kaya,1,25
2020-02-09,Richard Nixon,1,26
2020-02-09,Ron Fouchier,1,27
2020-02-09,Steve Drake,1,28
2020-02-09,Van Hollen,1,29
2020-02-09,Xiangguo Qiu,1,30
2020-02-10,Aeronautica Militare,1,1
2020-02-10,Atlanta Hartsfield-Jackson,1,2
2020-02-10,Ben Bradshaw,1,3
2020-02-10,Bernie Sanders,1,4
2020-02-10,Carolyn Mcclanahan,1,5
2020-02-10,Centro Sperimentale Volo,1,6
2020-02-10,Cristina Laila,1,7
2020-02-10,Greg Robin,1,8
2020-02-10,Gregory Timm,1,9
2020-02-10,Jack Dorsey,1,10
2020-02-10,John Bolton,1,11
2020-02-10,Jonathan Karl,1,12
2020-02-10,Jubill Austin,1,13
2020-02-10,Margaret Harding Mcgill,1,14
2020-02-10,Michael Bloomberg,1,15
2020-02-10,Mike Pompeo,1,16
2020-02-10,Miyako Strait,1,17
2020-02-10,Nikolai Tokarev,1,18
2020-02-10,Pete Buttigieg,1,19
2020-02-10,Pete Santilli,1,20
2020-02-10,Scott Brown,1,21
2020-02-10,Ted Cruz,1,22
2020-02-10,Tim Marcin,1,23
2020-02-10,William Emmons,1,24
2020-02-11,Alex Azar,1,2
2020-02-11,Bob Zhang,1,3
2020-02-11,Charles Redding,1,4
2020-02-11,Curt Ferguson,1,5
2020-02-11,Harry Hughes,1,6
2020-02-11,Joe Grogran,1,7
2020-02-11,John Wobensmith,1,8
2020-02-11,Johnny Isakson,1,9
2020-02-11,Kelly Loeffler,1,10
2020-02-11,Kim Vaccari,1,11
2020-02-11,Luis Borunda,1,12
2020-02-11,Marc Goldwein,1,13
2020-02-11,Marjorie Dannenfelser,1,14
2020-02-11,Mark Xu,1,15
2020-02-11,Mendy Nitsch,1,16
2020-02-11,Nancy Pelosi,1,17
2020-02-11,Peter Franchot,1,18
2020-02-11,Steve Drake,1,19
2020-02-11,Wang Donghua,1,20
2020-02-11,Wilbur Ros,1,21
2020-02-11,Casey Durst,2,1
2020-02-12,Amy Klobuchar,1,2
2020-02-12,Amy Mcgrath,1,3
2020-02-12,Bernie Sanders,1,4
2020-02-12,Bobby Scott,1,5
2020-02-12,Chris Murphy,1,6
2020-02-12,David Joyce,1,7
2020-02-12,Donna Shalala,1,8
2020-02-12,Jennifer Nuzzo,1,9
2020-02-12,Mark Woolhouse,1,10
2020-02-12,Michael Snyder,1,11
2020-02-12,Paul Hunter,1,12
2020-02-12,Randall Culpepper,1,13
2020-02-12,Richard Neal,1,14
2020-02-12,Virginia Foxx,1,15
2020-02-12,Anne Schuchat,2,1
2020-02-13,Cintia Johnson,1,6
2020-02-13,Ken Pekoc,1,7
2020-02-13,Michael Snyder,1,8
2020-02-13,David Flores,2,1
2020-02-13,Mark Esper,2,2
2020-02-13,Morris Cordewell,2,3
2020-02-13,Nan,2,4
2020-02-13,Nancy Messonnier,2,5
2020-02-14,Alvin Thomas,1,1
2020-02-14,Andrew Cuomo,1,2
2020-02-14,Andrew Oreilly,1,3
2020-02-14,Andrew Yang,1,4
2020-02-14,Bernie Sanders,1,5
2020-02-14,Brad Bell,1,6
2020-02-14,Byron Snellgrove,1,7
2020-02-14,Chen Qiushi,1,8
2020-02-14,Cortney Obrien,1,9
2020-02-14,Danielle Kurtzleben,1,10
2020-02-14,Dijon Williams,1,11
2020-02-14,Ebony Bowden,1,12
2020-02-14,Faye Mary Swetlik,1,13
2020-02-14,Herbert Sanderfer,1,14
2020-02-14,Jason Piccolo,1,15
2020-02-14,Joe Biden,1,16
2020-02-14,John Sexton,1,17
