date,person,count,rn
2020-02-29,Andrew Kolvet,1,1
2020-02-29,Brandon Judd,1,2
2020-02-29,Charlie Kirk,1,3
2020-03-24,El Paso-Ciudad Ju,1,1
2020-03-24,Laredo-Nuevo Laredo,1,2
2020-03-26,Bethany Carson,1,1
2020-03-26,Chito Vela,1,2
2020-04-03,Jorge Olaya,1,1
2020-04-03,Nan,1,2
2020-04-07,Donald Trump,1,1
2020-04-07,Francisco Javier Garcia Cabeza,1,2
2020-04-07,Phillip Connor,1,3
2020-04-07,Rahm Emanuel,1,4
2020-04-17,Judy Sherman,1,1
2020-05-06,Charlie Litchfield,1,5
2020-05-06,Albert Veenstra,2,1
2020-05-06,Jay Christensen,2,2
2020-05-06,Jeff Ray,2,3
2020-05-06,Walter Balla,2,4
2020-05-07,Charlie Litchfield,1,5
2020-05-07,Rebecca Boone,1,6
2020-05-07,Albert Veenstra,3,1
2020-05-07,Jay Christensen,3,2
2020-05-07,Jeff Ray,3,3
2020-05-07,Walter Balla,3,4
2020-05-13,Alan Gonzalez,1,1
2020-05-13,David Saucedo,1,2
2020-05-13,John Maccormack,1,3
2020-05-13,Luis Sifuentes,1,4
2020-05-13,Tiffany Velazquez,1,5
2020-05-14,Albert Veenstra,1,1
2020-05-14,Jay Christensen,1,2
2020-05-14,Jeff Ray,1,3
2020-05-14,Walter Balla,1,4
2020-05-23,Lewis Owens,2,1
2020-05-23,Luis Sifuentes,2,2
