date,person,count,rn
2020-03-28,Beth Riggert,2,1
2020-03-28,Chris Jennings,2,2
2020-03-28,Donald Trump,2,3
2020-03-28,Michael Hall,2,4
2020-03-28,Randee Kaiser,2,5
2020-05-13,Asa Hutchinson,1,1
2020-05-13,Bishop Gunn,1,2
2020-05-13,Lauren Brown,1,3
2020-05-13,Mike Parson,1,4
2020-05-13,Tara Cook,1,5
2020-05-13,Travis Mccready,1,6
2020-05-14,Asa Hutchinson,1,1
2020-05-14,Lance Beaty,1,2
2020-05-14,Mike Parson,1,3
2020-05-14,Templelive Mike Brown,1,4
2020-05-14,Travis Mccready,1,5
2020-05-27,Janice Dean,1,3
2020-05-27,Michael Hall,2,2
2020-05-27,Fredgrikas Hardiman,3,1
2020-06-15,Kim Connell,1,3
2020-06-15,Chris Prener,2,1
2020-06-15,Samantha Payne,2,2
2020-06-18,Randall Williams,1,1
2020-06-19,Lisa Cox,1,2
2020-06-19,Randall Williams,2,1
2020-06-21,Mike Parson,1,1
2020-06-21,Morgan Watchous,1,2
2020-06-21,Tyson Springdale,1,3
2020-06-22,Morgan Watchous,1,6
2020-06-22,Tyson Benton,1,7
2020-06-22,Tyson Springdale,1,8
2020-06-22,Rudi Keller,4,5
2020-06-22,Lisa Cox,8,4
2020-06-22,Mike Parson,12,3
2020-06-22,Randall Williams,13,2
2020-06-22,Paige Behm,15,1
2020-06-23,Lauren Manning,1,8
2020-06-23,Morgan Watchous,1,9
2020-06-23,Tyson Springdale,1,10
2020-06-23,Jim Salter,2,6
2020-06-23,Rudi Keller,2,7
2020-06-23,Lisa Cox,4,4
2020-06-23,Randall Williams,4,5
2020-06-23,Joshua Manning,5,3
2020-06-23,Paige Behm,6,2
2020-06-23,Mike Parson,10,1
2020-06-24,Joshua Manning,1,2
2020-06-24,Kevin Donohoe,1,3
2020-06-24,Randall Williams,1,4
2020-06-24,Mike Parson,2,1
2020-06-25,Kevin Donohoe,1,1
2020-06-25,Mike Parson,1,2
