date,person,count,rn
2020-03-02,Adam Godzik,1,1
2020-03-02,Andrzej Joachimiak,1,2
2020-03-02,Karla Satchell,1,3
2020-03-03,Marla Paul,1,4
2020-03-03,Adam Godzik,2,1
2020-03-03,Andrzej Joachimiak,2,2
2020-03-03,Karla Satchell,2,3
2020-03-05,Adam Godzik,1,1
2020-03-05,Andrzej Joachimiak,1,2
2020-03-05,Karla Satchell,1,3
2020-03-12,Cathy Parker,1,1
2020-03-12,Eric Sergienko,1,2
2020-03-12,Julia Tidball,1,3
2020-03-12,Julie Vaishampayan,1,4
2020-03-12,Sabrina Biehl,1,5
2020-03-17,Nan,1,1
2020-03-26,Barry Trimble,1,1
2020-03-26,Boris Johnson,1,2
2020-03-26,Carlos Maestu,1,3
2020-03-26,Ealing Broadway,1,4
2020-03-26,Edvaldo Dasilva,1,5
2020-03-26,Ernesta Juskatie,1,6
2020-03-26,Housebuilder Taylor Wimpey,1,7
2020-03-26,Iain Duncan Smith,1,8
2020-03-26,Kim Black,1,9
2020-03-26,Los Angeles,1,10
2020-03-26,Manuel Cortes,1,11
2020-03-26,Matt Hancock,1,12
2020-03-26,Michael Gove,1,13
2020-03-26,Nicola Smith,1,14
2020-03-26,Nicola Sturgeon,1,15
2020-03-26,Robert Jenrick,1,16
2020-03-26,Sadiq Khan,1,17
2020-03-26,Vernon Everitt,1,18
2020-03-26,Wayne Alexander,1,19
2020-03-28,Margaret Mohr,1,1
2020-03-28,Rachel Ford Hutman,1,2
2020-03-30,Barney Mccoy,1,1
2020-03-30,Chanttel Carrington,1,2
2020-03-30,Charley Carrington,1,3
2020-03-30,Crispian Wilson,1,4
2020-03-30,Denise Carrington,1,5
2020-03-30,Dominic Raab,1,6
2020-03-30,Dominic Rabb,1,7
2020-03-30,Emily Thornberry,1,8
2020-03-30,George Mccoy,1,9
2020-03-30,Heidi Hawkins,1,10
2020-03-30,Lewis Dafydd,1,11
2020-03-30,Luke Manning,1,12
2020-03-30,Marion Lynch,1,13
2020-03-30,Polly Collins,1,14
2020-03-30,Puerto Princessa,1,15
2020-03-30,Rachel Brockbank,1,16
2020-03-30,Reece Hall,1,17
2020-03-30,Shannon Rickards,1,18
2020-03-30,Tom Shelton Philippino,1,19
2020-03-30,Vicky Treadell,1,20
2020-03-30,Winston Peters,1,21
2020-03-30,Zealand Herald,1,22
2020-04-02,Gavin Newsom,1,1
2020-04-03,Gavin Newsom,1,1
2020-04-06,Acquannetta Johnson,1,1
2020-04-06,Andrea Jackson,1,2
2020-04-06,Brendina Garret,1,3
2020-04-06,Catherina Veronica Williams,1,4
2020-04-06,Catherine Williams,1,5
2020-04-06,Daniel Harris,1,6
2020-04-06,Isaac Thomas,1,7
2020-04-06,Johnny Olszewski Jr,1,8
2020-04-06,Louis Diggs,1,9
2020-04-06,Luther David Bentley,1,10
2020-04-06,Mike Ertel,1,11
2020-04-06,Nancy Frazier,1,12
2020-04-06,Nancy Goldring,1,13
2020-04-06,Perry Hall,1,14
2020-04-06,Russell Williams,1,15
2020-04-06,Steve Lafferty,1,16
2020-04-06,Wayne Skinner,1,17
2020-04-07,Celeste Settrini,1,1
2020-04-07,Donald Trump,1,2
2020-04-07,Erik Wilson,1,3
2020-04-07,Frank Hilliker,1,4
2020-04-07,Gavin Newsom,1,5
2020-04-07,Jill Scofield,1,6
2020-04-07,Los Angeles,1,7
2020-04-07,Paul Dykstra,1,8
2020-04-08,Brad Little,1,1
2020-04-08,Brian Scott,1,2
2020-04-08,Gavin Newsom,1,3
2020-04-08,Merced Sun,1,4
2020-04-08,Natalie Podgorski,1,5
2020-04-14,Brenda Wood,1,3
2020-04-14,James Moffatt,1,4
2020-04-14,Xavier Bacerra,1,5
2020-04-14,Fernando Aguas,2,1
2020-04-14,Gavin Newsom,2,2
2020-04-15,James Moffatt,2,5
2020-04-15,Xavier Becerra,2,6
2020-04-15,Gavin Newsom,3,4
2020-04-15,Fernando Aguas,4,1
2020-04-15,Jesus Cristo,4,2
2020-04-15,Vern Warnke,4,3
2020-04-16,Fernando Aguas,1,1
2020-04-16,Gavin Newsom,1,2
2020-04-16,Jesus Cristo,1,3
2020-04-16,Vernon Warnke,1,4
2020-04-17,David Livingston,1,1
2020-04-17,Fernando Aguas,1,2
2020-04-17,Harmeet Kaur Dhillon,1,3
2020-04-17,John Bel Edward,1,4
2020-04-17,Rodney Howard-Browne,1,5
