date,person,count,rn
2020-03-16,Andy Beshear,2,1
2020-03-16,Donald Trump,2,2
2020-03-16,Jim Justice,2,3
2020-03-16,Joe Armstrong,2,4
2020-03-16,Lawrence Messina,2,5
2020-03-18,Jim Justice,1,1
2020-03-18,Michael Angelucci,1,2
2020-04-01,Jim Justice,1,1
2020-04-02,Abby Maier,1,2
2020-04-02,Abi Givler,1,3
2020-04-02,Daniel Givler,1,4
2020-04-02,Hissam Forman Donavan Ritchie,1,5
2020-04-02,James Hoyer,1,6
2020-04-02,Mac Warner,1,7
2020-04-02,Michael Hissam,1,8
2020-04-02,Nathan Harig,1,9
2020-04-02,Paige Vernon,1,10
2020-04-02,Patrick Morrisey,1,11
2020-04-02,Jim Justice,2,1
2020-04-05,Dan Farrell,1,1
2020-04-05,Howard Altman,1,2
2020-04-05,Janeen Birckhead,1,3
2020-04-05,Joe Lengyel,1,4
2020-04-05,John Bel Edwards,1,5
2020-04-05,Meghann Myers,1,6
2020-04-05,Michel Natali,1,7
2020-04-05,Wayde Minami,1,8
2020-04-08,Jim Justice,1,1
2020-04-11,Nan,1,1
2020-04-13,Jim Justice,1,1
2020-04-15,Amy Ford,1,1
2020-04-15,Joe Manchin,1,2
2020-04-16,Nan,1,1
2020-04-20,Keith Blankenship,1,1
2020-04-21,Ashley Fantz,1,18
2020-04-21,Casey Tolan,1,19
2020-04-21,Collette Richards,1,20
2020-04-21,Mary Williams,2,16
2020-04-21,Velma Wilson,2,17
2020-04-21,Lonnie Moore,3,14
2020-04-21,Paul Hester,3,15
2020-04-21,Martin Luther King Jr,4,13
2020-04-21,Bob Carter,5,9
2020-04-21,Jake Bair,5,10
2020-04-21,Kevin Stitt,5,11
2020-04-21,Randy Tobler,5,12
2020-04-21,Alan Morgan,6,1
2020-04-21,Carole Steele,6,2
2020-04-21,David Keith,6,3
2020-04-21,Donovan Beckett,6,4
2020-04-21,John Tedesco,6,5
2020-04-21,Mark Holmes,6,6
2020-04-21,Michael Kozar,6,7
2020-04-21,Ryan Kelly,6,8
2020-04-22,Alan Morgan,1,1
2020-04-22,Bob Carter,1,2
2020-04-22,Carole Steele,1,3
2020-04-22,David Keith,1,4
2020-04-22,Donovan Beckett,1,5
2020-04-22,Jake Bair,1,6
2020-04-22,John Tedesco,1,7
2020-04-22,Kevin Stitt,1,8
2020-04-22,Lonnie Moore,1,9
2020-04-22,Mark Holmes,1,10
2020-04-22,Martin Luther King Jr,1,11
2020-04-22,Mary Williams,1,12
2020-04-22,Michael Kozar,1,13
2020-04-22,Paul Hester,1,14
2020-04-22,Randy Tobler,1,15
2020-04-22,Ryan Kelly,1,16
2020-04-22,Velma Wilson,1,17
2020-04-29,Alan Morgan,1,1
2020-04-29,Bob Carter,1,2
2020-04-29,Carole Steele,1,3
2020-04-29,David Keith,1,4
2020-04-29,Donovan Beckett,1,5
2020-04-29,Jake Bair,1,6
2020-04-29,John Tedesco,1,7
2020-04-29,Kevin Stitt,1,8
2020-04-29,Lonnie Moore,1,9
2020-04-29,Mark Holmes,1,10
2020-04-29,Martin Luther King Jr,1,11
2020-04-29,Mary Williams,1,12
2020-04-29,Michael Kozar,1,13
2020-04-29,Paul Hester,1,14
2020-04-29,Randy Tobler,1,15
2020-04-29,Ryan Kelly,1,16
2020-04-29,Velma Wilson,1,17
2020-04-30,David Gonzeles,1,1
2020-04-30,Erika Rogan,1,2
2020-04-30,John Brownstein,1,3
2020-04-30,Kevin Lewis,1,4
2020-04-30,Lance Wilson,1,5
2020-04-30,Lilian Montoya,1,6
2020-04-30,Los Angeles,1,7
2020-04-30,Lujan Grisham,1,8
2020-04-30,Mark Holmes,1,9
2020-04-30,Santa Fe Christus,1,10
2020-05-04,David Gonzeles,1,1
2020-05-04,Erika Rogan,1,2
2020-05-04,John Brownstein,1,3
2020-05-04,Kevin Lewis,1,4
2020-05-04,Lance Wilson,1,5
2020-05-04,Lilian Montoya,1,6
2020-05-04,Los Angeles,1,7
2020-05-04,Lujan Grisham,1,8
2020-05-04,Mark Holmes,1,9
2020-05-04,Santa Fe Christus,1,10
2020-05-16,Alan Morgan,3,1
2020-05-16,Cathy Hardin,3,2
2020-05-16,Charles Hatfield,3,3
2020-05-16,Chasity Scott,3,4
2020-05-16,Debrin Jenkins,3,5
2020-05-16,Donovan Dino Beckett,3,6
2020-05-16,Jenny Jarvie Los Angeles,3,7
2020-05-16,Jessica Browning,3,8
2020-05-16,Jessica Wolford,3,9
2020-05-16,Jim Justice,3,10
2020-05-16,Karen Reynolds,3,11
2020-05-16,Loretta Simon,3,12
2020-05-16,Michael Angelucci,3,13
2020-05-18,John Raby,2,8
2020-05-18,David Hatfield,7,5
2020-05-18,Lou Martin,7,6
2020-05-18,Wilma Steele,7,7
2020-05-18,Anse Hatfield,9,1
2020-05-18,Cabell Testerman,9,2
2020-05-18,Kim Mccoy,9,3
2020-05-18,Sid Hatfield,9,4
2020-05-19,Anse Hatfield,2,2
2020-05-19,Cabell Testerman,2,3
2020-05-19,David Hatfield,2,4
2020-05-19,Kim Mccoy,2,5
2020-05-19,Sid Hatfield,2,6
2020-05-19,Wilma Steele,2,7
2020-05-19,Lou Martin,3,1
