date,person,count,rn
2020-02-01,Lee Norman,1,2
2020-02-01,Sarah Potter,2,1
2020-02-02,Michelle Morris,3,1
2020-02-03,Nan,2,1
2020-02-04,Nan,1,1
2020-02-06,Eric Bailey,1,1
2020-02-06,Hugh Aljoe,1,2
2020-02-06,Jeff Goodwin,1,3
2020-02-06,Ky Pohler,1,4
2020-02-06,Sonny Perdue,1,5
2020-02-06,Tryon Wickersham,1,6
2020-02-06,Wayne Morgan,1,7
2020-02-10,George Turabelidze,2,2
2020-02-10,Randall Williams,4,1
2020-02-11,Don Nikodim,1,1
2020-02-11,Randall Williams,1,2
2020-02-12,Amy Simons,1,1
2020-02-12,Don Nikodim,1,2
2020-02-12,George Turabelidze,1,3
2020-02-12,Kathy Kiely,1,4
2020-02-12,Mike Parson,1,5
2020-02-12,Missourinet Brian Hauswirth,1,6
2020-02-12,Randall Williams,1,7
2020-02-13,Bakker Morningside,1,8
2020-02-13,Jim Bakker,1,9
2020-02-13,Kaiser Permanente,1,10
2020-02-13,Kate Anderton,1,11
2020-02-13,Sherrill Sellman,1,12
2020-02-13,States Christian,1,13
2020-02-13,John Sauer,2,6
2020-02-13,Laurie Skrivan,2,7
2020-02-13,Adam Crumbliss,4,2
2020-02-13,George Turabelidze,4,3
2020-02-13,Lindsey Baker,4,4
2020-02-13,Paula Nickelson,4,5
2020-02-13,Randall Williams,5,1
2020-02-14,Adam Crumbliss,1,1
2020-02-14,George Turabelidze,1,2
2020-02-14,Lindsey Baker,1,3
2020-02-14,Paula Nickelson,1,4
2020-02-14,Randall Williams,1,5
2020-02-15,Jennifer Harper,1,46
2020-02-15,Mike Bloomberg,1,47
2020-02-15,Pope Franci,1,48
2020-02-15,Pope Francis,1,49
2020-02-15,Tomeka Hart,1,50
2020-02-15,Anthony Leonardi,2,36
2020-02-15,Bernie Sanders,2,37
2020-02-15,Chris Tomlinson,2,38
2020-02-15,Greta Thunberg,2,39
2020-02-15,Joaquin Castro,2,40
2020-02-15,Kamala Harris,2,41
2020-02-15,Kristina Wong,2,42
2020-02-15,Ladan Boroumand,2,43
2020-02-15,Matt Kibbe,2,44
2020-02-15,Stephen Miller,2,45
2020-02-15,Akane Otani,3,1
2020-02-15,Alvin Powell,3,2
2020-02-15,Amy Berman Jackson,3,3
2020-02-15,Beth Van Duyne,3,4
