date,person,count,rn
2020-03-10,Mark Felix,1,13
2020-03-10,Carrie Williams,3,1
2020-03-10,Christian Gutierrez,3,2
2020-03-10,Dana Hendrick,3,3
2020-03-10,Dennis Perrotta,3,4
2020-03-10,Donald Trump,3,5
2020-03-10,John Hellerstedt,3,6
2020-03-10,Larry Levitt,3,7
2020-03-10,Mike Pence,3,8
2020-03-10,Nancy Messonier,3,9
2020-03-10,Patrik Hornak,3,10
2020-03-10,Rodney Rohde,3,11
2020-03-10,Ron Nirenberg,3,12
2020-03-12,Carrie Williams,1,1
2020-03-12,Christian Gutierrez,1,2
2020-03-12,Dana Hendrick,1,3
2020-03-12,Dennis Perrotta,1,4
2020-03-12,Donald Trump,1,5
2020-03-12,John Hellerstedt,1,6
2020-03-12,Larry Levitt,1,7
2020-03-12,Mike Pence,1,8
2020-03-12,Nancy Messonier,1,9
2020-03-12,Patrik Hornak,1,10
2020-03-12,Rodney Rohde,1,11
2020-03-12,Ron Nirenberg,1,12
2020-03-15,Adam Kofoed,1,1
2020-03-15,Cerro Gordo,1,2
2020-03-15,Chris Showalter,1,3
2020-03-15,Curt Wiseman,1,4
2020-03-15,Jason Harper,1,5
2020-03-15,Mark Tomlinson,1,6
2020-03-15,Shana Butler,1,7
2020-03-20,Ralph Hise,1,1
2020-03-20,Roy Cooper,1,2
2020-03-20,Ted Alexander,1,3
2020-03-20,Tim Moore,1,4
2020-03-25,Nan,1,1
2020-03-26,Nan,1,1
2020-03-31,Laura Huisman,1,2
2020-03-31,Nan,2,1
2020-04-01,Brian Kemp,1,1
2020-04-01,Devon Barill,1,2
2020-04-01,Jesse Marinko,1,3
2020-04-01,Kathy Floyd,1,4
2020-04-01,Melanie Mcneil,1,5
2020-04-01,Tom Fausett,1,6
2020-04-05,Charley Willis,1,1
2020-04-05,Clint Hill,1,2
2020-04-05,Harley Watters,1,3
2020-04-05,Harry Poy,1,4
2020-04-05,James Steelman,1,5
2020-04-05,Lester Coonradt,1,6
2020-04-05,Ralph Warrington,1,7
2020-04-05,William Sweasey,1,8
2020-04-09,Brian Kemp,1,1
2020-04-09,Gerald Greene,1,2
2020-04-09,Michael Fowler,1,3
2020-04-09,Scott Steiner,1,4
2020-04-09,Stedderick Thomas,1,5
2020-04-11,Camilla Harold Jenkins,1,1
2020-04-11,Fabian Nwadei,1,2
2020-04-11,Harold Jenkin,1,3
2020-04-11,Harold Jenkins,1,4
2020-04-11,Silvana Jenkins,1,5
2020-04-11,Thomas Ungerino,1,6
2020-04-18,Fabian Nwadei,1,1
2020-04-18,Harold Jenkin,1,2
2020-04-18,Harold Jenkins,1,3
2020-04-18,Silvana Jenkins,1,4
2020-04-18,Thomas Ungerino,1,5
2020-04-24,Jeremy Rummel,1,1
2020-04-27,Brownie Newman,1,1
2020-04-27,William Hathaway,1,2
2020-05-04,Brian Kemp,1,1
2020-05-05,Nan,1,1
2020-05-05,Nathan Bennett,1,2
2020-05-05,Nathan Waldrup,1,3
2020-05-07,Ely Portillo,1,1
2020-05-07,Jennifer Roberts,1,2
2020-05-07,Jude Law,1,3
2020-05-13,Felicia Simmons,1,1
2020-05-13,Google Chromebooks,1,2
2020-05-13,Larry Putnam,1,3
2020-05-13,Lenovo Libby Richards,1,4
2020-05-13,Melanie Honeycutt,1,5
2020-05-17,Aldaya Lifescapes,1,1
2020-05-17,Donald Trump,1,2
2020-05-17,Kim Reynolds,1,3
2020-05-17,Mike Pence,1,4
2020-05-18,Anthony Penland,1,1
2020-05-18,Roy Cooper,1,2
2020-05-21,Laura Huisman,1,1
2020-05-26,Abraham Lincoln,1,1
2020-05-26,Claud Paul Strother,1,2
2020-05-26,Claudia Appling Williams,1,3
2020-05-26,Holly Kuzmich,1,4
2020-05-26,James Denver,1,5
2020-05-26,John Steinbeck,1,6
2020-05-26,Josiah Hinman,1,7
2020-05-26,Justine Taylor-Raymond,1,8
2020-05-26,Ken Fisher,1,9
2020-05-26,Meriwether Lewis,1,10
2020-05-26,Michael Rubin,1,11
2020-05-26,Naomi Schaefer Riley,1,12
2020-05-26,Patrick Dillon,1,13
2020-05-26,Raymond Strother,1,14
2020-05-26,Stephen Douglas,1,15
2020-05-26,Steve Gallus,1,16
2020-05-26,Thomas Jefferson,1,17
2020-05-26,Wilbur Edgerton Sanders,1,18
2020-05-26,William Clark,1,19
2020-05-26,William Kittredge,1,20
