date,person,count,rn
2020-03-11,Gary Abernathy,1,1
2020-03-11,Jared Warner,1,2
2020-03-11,Jeff Duncan,1,3
2020-03-11,Kenneth Elliot,1,4
2020-03-11,Mike Dewine,1,5
2020-03-11,Nicole Heimbrock,1,6
2020-03-11,Patty Patterson,1,7
2020-03-11,Stephanie Garman,1,8
2020-03-11,Terry Britton,1,9
2020-03-11,Tim Colliver,1,10
2020-03-12,Alberta Stojkovic,1,1
2020-03-12,Jessica Schwartz,1,2
2020-03-12,John Harsch,1,3
2020-03-12,Larry Zimmerman,1,4
2020-03-12,Stephanie Bragg,1,5
2020-03-17,Alberta Stojkovic,1,1
2020-03-17,Anthony Conchel,1,2
2020-03-17,Jessica Schwartz,1,3
2020-03-17,John Harsch,1,4
2020-03-17,Mike Dewine,1,5
2020-03-17,Stephanie Bragg,1,6
2020-03-20,Jason Edmiston,1,1
2020-03-20,Kate Brown,1,2
2020-03-20,Melissa Lindsay,1,3
2020-03-20,Stuart Roberts,1,4
2020-03-20,Terry Rowan,1,5
2020-03-21,Jason Edmiston,1,1
2020-03-21,Nan,1,2
2020-03-21,Stuart Roberts,1,3
2020-03-21,Terry Rowan,1,4
2020-03-26,Ben Segaard,1,1
2020-03-26,Bernie Lewis,1,2
2020-03-26,Cindy Douds,1,3
2020-03-26,George Yake,1,4
2020-03-26,Roy Klingel,1,5
2020-03-27,Nan,1,1
2020-04-01,Stephanie Bragg,1,1
2020-04-02,Frank Jackson,1,1
2020-04-02,Nan,1,2
2020-04-03,Adam Sornchai,1,1
2020-04-03,Bernard Morris,1,2
2020-04-03,Cecil Levings,1,3
2020-04-03,Charlie Seitz,1,4
2020-04-03,Chuck Osborne,1,5
2020-04-03,Darrell Bowers,1,6
2020-04-03,David Hoffman,1,7
2020-04-03,Eunice Cho,1,8
2020-04-03,Francis Stapleton,1,9
2020-04-03,Jackie Peterson,1,10
2020-04-03,James Ullom,1,11
2020-04-03,John Cooney,1,12
2020-04-03,John Hinton,1,13
2020-04-03,Kenneth Fisher,1,14
2020-04-03,Leonard Benson,1,15
2020-04-03,Lynn Tramonte,1,16
2020-04-03,Marion Naz,1,17
2020-04-03,Marion Naz Youtube,1,18
2020-04-03,Nan,1,19
2020-04-03,Rob Howard,1,20
2020-04-03,Ryan Strother,1,21
2020-04-03,Steve Estep,1,22
2020-04-03,Tim Miller,1,23
2020-04-03,Toledo Bladereported,1,24
2020-04-03,Tom Hypes,1,25
2020-04-03,Vincent De Paul,1,26
2020-04-11,Alberta Stojkovic,1,1
2020-04-11,Brandon Hayes,1,2
2020-04-11,Ed Kline,1,3
2020-04-11,Eric Uhde,1,4
2020-04-11,Erin Kelty,1,5
2020-04-11,Kate Miller,1,6
2020-04-18,Alberta Stojkovic,1,1
2020-04-18,Bart Dennison,1,2
2020-04-18,Warren Davis,1,3
2020-04-24,Alberta Stojkovic,1,1
2020-04-24,Courtnie Howell,1,2
2020-04-24,Deanna Brant,1,3
2020-04-24,Mike Dewine,1,4
2020-04-24,Myken Pullins,1,5
2020-04-28,Dan Polster,1,1
2020-04-28,Donald Trump,1,2
2020-04-28,Elizabeth Bonham,1,3
2020-04-28,Sarah Morrison,1,4
2020-05-06,Akron Rubberducks,1,1
2020-05-06,Amy Acton,1,2
2020-05-06,Andrew Tobias,1,3
2020-05-06,Anne-Marie Petros,1,4
2020-05-06,Armond Budish,1,5
2020-05-06,Cleveland Documenters,1,6
2020-05-06,Cory Shaffer,1,7
2020-05-06,Courtney Astolfi,1,8
2020-05-06,Donald Trump,1,9
2020-05-06,Elizabeth Bonham,1,10
2020-05-06,Emily Bamforth,1,11
2020-05-06,Eric Heisig,1,12
2020-05-06,Evan Macdonald,1,13
2020-05-06,Jim Jordan,1,14
2020-05-06,Joey Morona,1,15
2020-05-06,John Hinton,1,16
2020-05-06,John Kuntz,1,17
2020-05-06,Larry Householder,1,18
2020-05-06,Laura Hancock,1,19
2020-05-06,Laura Johnston,1,20
2020-05-06,Mike Dewine,1,21
2020-05-06,Nan,1,22
2020-05-06,Peter Krouse,1,23
2020-05-06,Robert Higgs,1,24
2020-05-06,Sabrina Eaton,1,25
2020-05-06,Sarah Morrison,1,26
2020-05-06,Seema Yasmin,1,27
2020-05-06,Stephanie Bragg,1,28
2020-05-08,Nan,1,1
2020-05-16,Elizabeth Bonham,1,1
2020-05-16,Sarah Morrison,1,2
2020-05-20,Mike Dewine,1,1
2020-05-20,Todd Defeo,1,2
2020-05-21,Zachary Sanders,1,1
2020-05-27,Berean Baptist,1,1
2020-05-27,Jesus Christ,1,2
2020-05-27,Wendy Yarbrough,1,3
2020-05-29,Beulah Beatty,1,1
2020-05-29,Cindy Conant,1,2
2020-05-29,Cindy Crum,1,3
2020-05-29,Claude Hale,1,4
2020-05-29,Elizabeth Davis,1,5
2020-05-29,Eloise Thomas,1,6
2020-05-29,Gail Philip,1,7
2020-05-29,Jim Pease,1,8
2020-05-29,Karen Harruff,1,9
2020-05-29,Linda Thomas,1,10
2020-05-29,Marlene Cobourn,1,11
2020-05-29,Nicholas Nyaradi,1,12
2020-05-29,Pamela Ebert,1,13
2020-05-29,Philip Smith,1,14
2020-05-29,Roger Mattix,1,15
2020-05-29,Ronald Helmuth,1,16
2020-06-13,Charles Howland,1,1
2020-06-13,Elizabeth Bonham,1,2
2020-06-13,Jacob Myers,1,3
2020-06-13,John Hinton,1,4
2020-06-13,Juan Contreras Moran,1,5
2020-06-13,Luis Flores Mendoza,1,6
2020-06-13,Lynn Tramonte,1,7
2020-06-13,Rebecca Adducci,1,8
