date,person,count,rn
2020-03-11,Clay Bentley,1,1
2020-03-11,Donald Trump,1,2
2020-03-11,Joe Frank Harris,1,3
2020-03-11,Kelsi Phillips,1,4
2020-03-12,Clay Bentley,1,1
2020-03-12,Donald Trump,1,2
2020-03-12,Joe Frank Harris,1,3
2020-03-17,Tiffany Smith,1,1
2020-03-17,Wimberly Brackett,1,2
2020-03-18,Tiffany Smith,1,1
2020-03-18,Wimberly Brackett,1,2
2020-03-19,Tiffany Smith,1,1
2020-03-19,Wimberly Brackett,1,2
2020-03-20,Ben Watson,1,1
2020-03-20,Brandon Beach,1,2
2020-03-20,Chuck Payne,1,3
2020-03-20,David Ralston,1,4
2020-03-20,Geofff Duncan,1,5
2020-03-20,Jason Ridley,1,6
2020-03-20,Scott Turner,1,7
2020-03-23,Tiffany Smith,1,1
2020-03-23,Wimberly Brackett,1,2
2020-03-25,Annalee Harlan,1,1
2020-03-25,Derek Waugh,1,2
2020-03-25,Jason Parker,1,3
2020-03-25,Joe Yarbrough,1,4
2020-03-25,Lydia Espitia,1,5
2020-04-07,Bert Poston,1,1
2020-04-07,Cliff Cason,1,2
2020-04-07,Deputy Jimmy Davenport,1,3
2020-04-07,Scott Chitwood,1,4
2020-04-13,Chuck Johnson,1,47
2020-04-13,Deputy Robert Ainsworth,1,48
2020-04-13,Jayson Richardson,1,49
2020-04-13,Joe Reed,1,50
2020-04-13,Adventhealth Murray,2,33
2020-04-13,Brandon Miller,2,34
2020-04-13,Brandon Ocotree,2,35
2020-04-13,Cindy Lawrence,2,36
2020-04-13,Gary Langford,2,37
2020-04-13,Greg Hogan,2,38
2020-04-13,Jason Ridley,2,39
2020-04-13,Kristen Campanella,2,40
2020-04-13,Lynn Spruill,2,41
2020-04-13,Murray Countians,2,42
2020-04-13,Nicolas Galindo,2,43
2020-04-13,Sean Rayford Getty,2,44
2020-04-13,Sylvia Salley,2,45
2020-04-13,Tommy Roby,2,46
2020-04-13,Calvin Smith,3,24
2020-04-13,Emma Pritchett,3,25
2020-04-13,Henry Mcmaster,3,26
2020-04-13,James Patterson,3,27
2020-04-13,Melissa Shelton,3,28
2020-04-13,Mike Pritchett,3,29
2020-04-13,Pete Gaynor,3,30
2020-04-13,Roy Cooper,3,31
2020-04-13,William Morrison,3,32
2020-04-13,Dave Hennen,4,22
2020-04-13,Michael Guy,4,23
2020-04-13,Amy Maxwell,5,21
2020-04-13,Brian Kemp,7,19
2020-04-13,Reid Ainsworth,7,20
2020-04-13,Andrew Cuomo,8,16
2020-04-13,Charlie Collins,8,17
2020-04-13,Jared Moore,8,18
2020-04-13,John Bel Edwards,9,15
2020-04-13,Jay Reeves,10,13
2020-04-13,Karen Blevins,10,14
2020-04-13,Brynn Anderson,11,11
2020-04-13,Mike Burns,11,12
2020-04-13,Andrew Phillips,18,6
2020-04-13,Paula Reid Ainsworth,18,7
2020-04-13,Phil Hyman,18,8
2020-04-13,Robert Ainsworth,18,9
2020-04-13,Scott Krein,18,10
2020-04-13,Ron Phillips,19,4
2020-04-13,Tate Reeves,19,5
2020-04-13,Dewayne Bain,23,3
2020-04-13,Kay Ivey,26,2
2020-04-13,Jamie Mayo,27,1
2020-04-14,Adventhealth Murray,1,27
2020-04-14,Aliveah Trevino,1,28
2020-04-14,Brandon Ocotree,1,29
2020-04-14,Charlie Collins,1,30
2020-04-14,David Baggett,1,31
2020-04-14,Gary Langford,1,32
2020-04-14,Greg Hogan,1,33
2020-04-14,Heidi Popham,1,34
2020-04-14,Jared Moore,1,35
2020-04-14,Jason Ridley,1,36
2020-04-14,Joe Reed,1,37
2020-04-14,Karen Blevins,1,38
2020-04-14,Katie Martin,1,39
2020-04-14,Mahlon Lecroix,1,40
2020-04-14,Mark Schrader,1,41
2020-04-14,Martin Savidge,1,42
2020-04-14,Michael Skeen,1,43
2020-04-14,Mike Hackett,1,44
2020-04-14,Murray Countians,1,45
2020-04-14,Nancy Nydam,1,46
2020-04-14,Roy Cooper,1,47
2020-04-14,Steve Briggs,1,48
2020-04-14,Susanne Peeples,1,49
2020-04-14,Theresa Waldrop,1,50
2020-04-14,Andrew Phillips,2,10
2020-04-14,Andy Berke,2,11
2020-04-14,Calvin Smith,2,12
2020-04-14,Henry Mcmaster,2,13
2020-04-14,James Patterson,2,14
2020-04-14,Janice Dean,2,15
2020-04-14,Melissa Shelton,2,16
2020-04-14,Mike Burns,2,17
2020-04-14,Mike Pritchett,2,18
2020-04-14,Paula Reid Ainsworth,2,19
2020-04-14,Pete Gaynor,2,20
2020-04-14,Rafael Jenkins,2,21
2020-04-14,Rebecca Beck,2,22
2020-04-14,Robert Ainsworth,2,23
2020-04-14,Scott Krein,2,24
2020-04-14,Tate Reeves,2,25
2020-04-14,William Morrison,2,26
2020-04-14,Amy Maxwell,3,7
2020-04-14,Jeff Jellets,3,8
2020-04-14,Ron Phillips,3,9
2020-04-14,John Bel Edwards,4,6
2020-04-14,Dewayne Bain,5,4
2020-04-14,Phil Hyman,5,5
2020-04-14,Brian Kemp,7,1
2020-04-14,Jamie Mayo,7,2
2020-04-14,Kay Ivey,7,3
2020-04-16,Andrew Phillips,2,4
2020-04-16,Breanna Zambrano,2,5
2020-04-16,Emily Wagster Pettus,2,6
2020-04-16,Ernie Harrell,2,7
2020-04-16,Jamie Mayo,2,8
2020-04-16,Kay Ivey,2,9
2020-04-16,Mike Burns,2,10
2020-04-16,Paula Reid Ainsworth,2,11
2020-04-16,Phil Hyman,2,12
2020-04-16,Robert Ainsworth,2,13
2020-04-16,Ron Phillips,2,14
2020-04-16,Scott Krein,2,15
2020-04-16,Tate Reeves,2,16
2020-04-16,Deanna Zambrano,3,2
2020-04-16,Dewayne Bain,3,3
2020-04-16,Tracy Zambrano,4,1
2020-04-17,Breanna Zambrano,1,2
2020-04-17,Deanna Zambrano,1,3
2020-04-17,Tracy Zambrano,1,4
2020-04-17,Nan,2,1
2020-04-19,Brian Kemp,1,1
2020-04-19,Kelly Loeffler,1,2
2020-04-20,Andrew Phillips,1,1
2020-04-20,Dewayne Bain,1,2
2020-04-20,Jamie Mayo,1,3
2020-04-20,Kay Ivey,1,4
2020-04-20,Mike Burns,1,5
2020-04-20,Paula Reid Ainsworth,1,6
2020-04-20,Phil Hyman,1,7
2020-04-20,Robert Ainsworth,1,8
2020-04-20,Ron Phillips,1,9
2020-04-20,Scott Krein,1,10
2020-04-20,Tate Reeves,1,11
2020-05-05,Chris Opdahl,1,1
2020-05-05,David Holt,1,2
2020-05-05,Jimmy Mitchell,1,3
2020-05-05,Kevin Stitt,1,4
2020-05-06,Lauren Mellenthin,1,1
2020-05-06,Scott Rowe,1,2
2020-05-08,Margaret Zeisig,1,1
2020-05-14,Billy Graham,1,1
2020-05-14,Donald Trump,1,2
2020-05-19,Nan,1,1
2020-05-20,Blake Gideon,1,1
2020-05-20,Hance Dilbeck,1,2
2020-05-20,Kayla Lawler,1,3
2020-05-29,Brooke Pruitt,1,1
2020-05-29,Dreisen Heath,1,2
2020-05-29,George Monroe,1,3
2020-05-29,Kristi Williams,1,4
2020-05-29,Lance Frye,1,5
2020-05-29,Raquel Hernandez,1,6
2020-05-29,Robert Turner,1,7
2020-05-31,Marilyn Kroplick,1,1
2020-06-04,Ben Skaug,1,1
2020-06-04,Derek Chauvin,1,2
2020-06-04,Emily Smith,1,3
2020-06-04,George Floyd,1,4
2020-06-04,Immanuel Baptist,1,5
2020-06-04,Jeff Smith,1,6
2020-06-04,Scott Stevenson,1,7
2020-06-08,Amy Klobuchar,1,1
2020-06-08,Andrew Yang,1,2
2020-06-08,Andy Gunther,1,3
2020-06-08,April Plott,1,4
2020-06-08,Babs Bailey,1,5
2020-06-08,Ben Bullock,1,6
2020-06-08,Bernie Sanders,1,7
2020-06-08,Bill Hembree,1,8
2020-06-08,Brett Morrison,1,9
2020-06-08,Charlotte Williamson,1,10
2020-06-08,Chuck Payne,1,11
2020-06-08,Dan Lewallen,1,12
