date,person,count,rn
2020-03-18,Jonathan Nez Facebook,1,2
2020-03-18,Jonathan Nez Nnpreznez,1,3
2020-03-18,Jonathn Nez,1,4
2020-03-18,Larry Wright Jr,1,5
2020-03-18,Loretta Christensen,1,6
2020-03-18,Michael Toedt,1,7
2020-03-18,Michael Weahkee,1,8
2020-03-18,Nan,1,9
2020-03-18,Stacy Bohlen,1,10
2020-03-18,Tom Cole,1,11
2020-03-18,Tom Cole R-Oklahoma,1,12
2020-03-18,Jonathan Nez,2,1
2020-03-19,Bill Donovan,1,2
2020-03-19,Jay Butler,1,3
2020-03-19,Michael Toedt,1,4
2020-03-19,Jonathan Nez,3,1
2020-03-20,Arlyssa Becenti,1,29
2020-03-20,Bob Christie,1,30
2020-03-20,Darren Coldwell,1,31
2020-03-20,Gavin Newsome,1,32
2020-03-20,Jared Berrett,1,33
2020-03-20,Jen Davila,1,34
2020-03-20,Kimberly Yee,1,35
2020-03-20,Kirk Benge,1,36
2020-03-20,Krista Allen,1,37
2020-03-20,Lynette Bonar,1,38
2020-03-20,Maria Polletta,1,39
2020-03-20,Nan,1,40
2020-03-20,Natalie Randall,1,41
2020-03-20,Nathaniel Brown,1,42
2020-03-20,Phillip Francisco,1,43
2020-03-20,Posada Pintada,1,44
2020-03-20,Stephanie Innes,1,45
2020-03-20,Adam Edelman,2,8
2020-03-20,Angelo Borrelli,2,9
2020-03-20,Bernie Sanders,2,10
2020-03-20,Betsy Devos,2,11
2020-03-20,Boris Johnson,2,12
2020-03-20,Cassie Sauer,2,13
2020-03-20,Daniel Arkin,2,14
2020-03-20,Donald Trump,2,15
2020-03-20,Erik Ortiz,2,16
2020-03-20,Gary Grumbach,2,17
2020-03-20,Gavin Newsom,2,18
2020-03-20,Jason Abbruzzese,2,19
2020-03-20,Joe Biden,2,20
2020-03-20,Laura Strickler,2,21
2020-03-20,Michele Novaga,2,22
2020-03-20,Mike Pompeo,2,23
2020-03-20,Peter Alexander,2,24
2020-03-20,Shaquille Brewster,2,25
2020-03-20,Tim Tagaris,2,26
2020-03-20,Tom Rayner Raynerskynews,2,27
2020-03-20,William Kelly,2,28
2020-03-20,Jonathan Nez Nnpreznez,3,6
2020-03-20,Jonathon Nez,3,7
2020-03-20,Cara Christ,4,4
2020-03-20,Felicia Fonseca,4,5
2020-03-20,Doug Ducey,7,2
2020-03-20,Michael Mcguire,7,3
2020-03-20,Jonathan Nez,8,1
