date,person,count,rn
2020-02-17,Aretha Deng,1,1
2020-02-17,Bashar Assad,1,2
2020-02-17,Bernie Sanders,1,3
2020-02-17,Charlie Parker,1,4
2020-02-17,Donald Trump,1,5
2020-02-17,Dorothea Lange,1,6
2020-02-17,Eleanor Stanford,1,7
2020-02-17,Elizabeth Warren,1,8
2020-02-17,George Washington,1,9
2020-02-17,Jeff Bezos,1,10
2020-02-17,Joe Biden,1,11
2020-02-17,Katie Waldman,1,12
2020-02-17,Kobe Bryant,1,13
2020-02-17,Las Vegas,1,14
2020-02-17,Lori Lightfoot,1,15
2020-02-17,Mark Josephson,1,16
2020-02-17,Marshall Hatch,1,17
2020-02-17,Michael Bloomberg,1,18
2020-02-17,Mike Pence,1,19
2020-02-17,Neil Macfarquhar,1,20
2020-02-17,Paraic Odonnell,1,21
2020-02-17,Roger Stone,1,22
2020-02-17,Stephen Miller,1,23
2020-02-17,Steven Erlanger,1,24
2020-02-17,Tate Reeves,1,25
2020-02-17,Vladimir Putin,1,26
2020-02-17,William Barr,1,27
2020-02-18,Alex Jones,1,3
2020-02-18,David Chesnoff,1,4
2020-02-18,Jaclyn Lopez,1,5
2020-02-18,Jeff Bezos,1,6
2020-02-18,Jim Hopson,1,7
2020-02-18,Los Angeles,1,8
2020-02-18,Maria Magdalena Anton,1,9
2020-02-18,Memtimin Emer,1,10
2020-02-18,Pete Buttigieg,1,11
2020-02-18,Robert Durst,1,12
2020-02-18,Robert Riesbeck,1,13
2020-02-18,Sonia Lopez,1,14
2020-02-18,Susan Berman,1,15
2020-02-18,Taylor Swift,1,16
2020-02-18,Tedros Adhanom Ghebreyesus,1,17
2020-02-18,Terrence Hoover,1,18
2020-02-18,Ulises Lara,1,19
2020-02-18,William Bradford,1,20
2020-02-18,Yolanda Martinez,1,21
2020-02-18,Michael Snyder,2,2
2020-02-18,Tate Reeves,4,1
2020-02-19,Tate Reeves,1,1
2020-02-23,Tate Reeves,1,1
2020-03-15,Tate Reeves,1,1
2020-03-16,Bhagyashri Navalkele,1,1
2020-03-16,Paul Byers,1,2
2020-03-16,Tate Reeves,1,3
2020-03-17,Adam Robison,1,4
2020-03-17,Alyssa Newton,1,5
2020-03-17,Aylssa Newton,1,6
2020-03-17,Jason White,1,7
2020-03-17,Philip Gunn,1,8
2020-03-17,Robert Johnson,1,9
2020-03-17,Thomas Dabbs,1,10
2020-03-17,Thomas Dobbs,3,3
2020-03-17,Carey Wright,4,1
2020-03-17,Tate Reeves,4,2
2020-03-18,Carey Wright,1,1
2020-03-18,Delbert Hosemann,1,2
2020-03-18,Jason White,1,3
2020-03-18,Philip Gunn,1,4
2020-03-18,Robert Johnson,1,5
2020-03-19,Sid Hill,1,1
2020-03-23,Gail Stephenson,1,1
2020-03-23,Gray Anders,1,2
2020-03-23,Harvey Pashibin,1,3
2020-03-23,Helen Palmer Mcswain,1,4
2020-03-23,Joan Oppenheim,1,5
2020-03-23,Joe Smiley,1,6
2020-03-23,John Carver,1,7
2020-03-23,John Smiley,1,8
2020-03-23,Linda Oncale,1,9
2020-03-23,Marvin Borgmeyer,1,10
2020-03-23,Terry Grundmann,1,11
2020-03-23,Z David Deloach,1,12
2020-03-24,Andrew Dabbs,1,2
2020-03-24,Mike Lewis,2,1
2020-03-25,Dane Maxwell,1,1
2020-03-25,Jackie Turner,1,2
2020-03-25,Jarvis Dortch,1,3
2020-03-25,Jonathan Wilson,1,4
2020-03-25,Karen Refre,1,5
2020-03-25,Mark Duncan,1,6
2020-04-02,Brenda Gordon,1,1
2020-04-02,Burt Hill,1,2
2020-04-02,I Facetimed John,1,3
2020-04-02,Jesus Christ,1,4
2020-04-02,June Fulton,1,5
