date,person,count,rn
2020-02-01,Alex Azar,1,6
2020-02-01,Anderson Silva,1,7
2020-02-01,Andrade V Zhang,1,8
2020-02-01,Edward Lawrence Edwardlawrence,1,9
2020-02-01,Gegard Mousasi,1,10
2020-02-01,Harvey Weinstein,1,11
2020-02-01,Henry Cejudo,1,12
2020-02-01,Jared Cannonier,1,13
2020-02-01,Jessica Mann,1,14
2020-02-01,John Hawks,1,15
2020-02-01,John Lounsbury,1,16
2020-02-01,Jose Aldo,1,17
2020-02-01,Michael Bloomberg,1,18
2020-02-01,Nan,1,19
2020-02-01,Umar Nurmagomedov,1,20
2020-02-01,Brian Butler,2,1
2020-02-01,Joanna Jedrzejczyk,2,2
2020-02-01,Las Vegas,2,3
2020-02-01,Tulsi Gabbard,2,4
2020-02-01,Weili Zhang,2,5
2020-02-02,Aaron Favila,1,2
2020-02-02,Las Vegas,1,3
2020-02-02,Nancy Messonnier,1,4
2020-02-02,Robert Obrien,1,5
2020-02-02,Rodrigo Duterte,1,6
2020-02-02,Fermin Leguen,2,1
2020-02-03,Amy Klobuchar,1,2
2020-02-03,Andrew Yang,1,3
2020-02-03,Bernie Sanders,1,4
2020-02-03,Blair Kerkhoff,1,5
2020-02-03,Deidre Dejear,1,6
2020-02-03,Donald Trump,1,7
2020-02-03,Elizabeth Warren,1,8
2020-02-03,Hua Chunying,1,9
2020-02-03,Joe Biden,1,10
2020-02-03,Kamala Harris,1,11
2020-02-03,Leann Borden,1,12
2020-02-03,Nan,1,13
2020-02-03,Nancy Messonnier,1,14
2020-02-03,Patrick Borden,1,15
2020-02-03,Pete Buttigieg,1,16
2020-02-03,Robert Obrien,1,17
2020-02-03,Tom Steyer,1,18
2020-02-03,Tulsi Gabbard,1,19
2020-02-03,Fermin Leguen,3,1
2020-02-04,Amy Klobuchar,1,1
2020-02-04,Bernie Sander,1,2
2020-02-04,Bill Clinton,1,3
2020-02-04,Comcast Xfinity,1,4
2020-02-04,Dana Remus,1,5
2020-02-04,Debra Bissell,1,6
2020-02-04,Donald Trump,1,7
2020-02-04,Elizabeth Warren,1,8
2020-02-04,Emily Duff,1,9
2020-02-04,Gerard Niemira,1,10
2020-02-04,Gretchen Whitmer,1,11
2020-02-04,Heather Armstrong,1,12
2020-02-04,Hillary Clinton,1,13
2020-02-04,Joe Biden,1,14
2020-02-04,Joe Bidencampaigns,1,15
2020-02-04,Kevin Geiken,1,16
2020-02-04,Krista Davis,1,17
2020-02-04,Larry Sabato,1,18
2020-02-04,Los Angeles,1,19
2020-02-04,Madison Armstrong,1,20
2020-02-04,Mahmoud Abbas,1,21
2020-02-04,Matthew Charles,1,22
2020-02-04,Mazie Hirono,1,23
2020-02-04,Mike Pompeo,1,24
2020-02-04,Nan,1,25
2020-02-04,Paula Peterson,1,26
2020-02-04,Pete Buttigieg,1,27
2020-02-04,Peter Pete Paul Buttigiegbuttigieg,1,28
2020-02-04,Qassem Soleimani,1,29
2020-02-04,Richard Johnson,1,30
2020-02-04,Ruth Thompson,1,31
2020-02-04,Sharon David,1,32
2020-02-04,Tara Mcgowan,1,33
2020-02-05,Brian Labus,1,1
2020-02-05,Emily Birnbaum,1,2
2020-02-05,Eyal Leshem,1,3
2020-02-05,Frank Larose,1,4
2020-02-05,Gizmodo Brian Kahn,1,5
2020-02-05,Hillary Clinton,1,6
2020-02-05,Jack Regan,1,7
2020-02-05,James Ross,1,8
2020-02-05,Jared Cohen,1,9
2020-02-05,Kyle Tharp,1,10
2020-02-05,Maggie Miller,1,11
2020-02-05,Nick Statt,1,12
2020-02-05,Paula Peterson,1,13
2020-02-05,Pete Buttigieg,1,14
2020-02-05,Richard Johnson,1,15
2020-02-05,Sarah Frier,1,16
2020-02-05,Sean Davis,1,17
2020-02-05,Techcrunch Christine Fisher,1,18
2020-02-05,Tom Price,1,19
2020-02-05,William Mccurdy,1,20
2020-02-05,Yoel Roth,1,21
2020-02-06,Alexa Cassanos,1,1
2020-02-06,Amy Klobuchar,1,2
2020-02-06,Anna Wiener,1,3
2020-02-06,Ben Lerner,1,4
2020-02-06,Bernie Sanders,1,5
2020-02-06,Bonnie Watson Coleman,1,6
2020-02-06,Brendan Boyle D-Pa,1,7
2020-02-06,Brian Doherty,1,8
2020-02-06,Catherine Gabel,1,9
2020-02-06,Clay Helton,1,10
2020-02-06,Colin Mansfield,1,11
2020-02-06,Daniel Wessel,1,12
2020-02-06,Davey Alba,1,13
2020-02-06,Derek Lyons,1,14
2020-02-06,Donald Trump,1,15
2020-02-06,Elena Schneider,1,16
2020-02-06,Elon Musk,1,17
2020-02-06,Eric Weiner,1,18
2020-02-06,Helaine Klasky,1,19
2020-02-06,Henry Goldman Bloomberg,1,20
2020-02-06,Ho Iat Seng,1,21
2020-02-06,Jake Sherman Jakesherman,1,22
2020-02-06,Jane Raskin,1,23
2020-02-06,Jared Kushner,1,24
2020-02-06,Jason Koebler,1,25
2020-02-06,Jay Dardenne,1,26
2020-02-06,Jay Sekulow,1,27
2020-02-06,Jeff Bezo,1,28
2020-02-06,Jeff Bezos,1,29
2020-02-06,Jeff Weiner,1,30
