date,person,count,rn
2020-02-01,Allen Goldberg,1,2
2020-02-01,Barack Obama,1,3
2020-02-01,Barbara Rosen,1,4
2020-02-01,Bill Maher,1,5
2020-02-01,Bonnie Castillo,1,6
2020-02-01,Chaun Powell,1,7
2020-02-01,Daniel Regenye,1,8
2020-02-01,David Gillan,1,9
2020-02-01,Donald Trump,1,10
2020-02-01,Elizabeth Warren,1,11
2020-02-01,Eric Toner,1,12
2020-02-01,James Bruno,1,13
2020-02-01,Julie Fischer,1,14
2020-02-01,Maher Los Angeles,1,15
2020-02-01,Mark Jarrett,1,16
2020-02-01,Michael Eric Dyson,1,17
2020-02-01,Michael Wessel,1,18
2020-02-01,Mikie Sherrill,1,19
2020-02-01,Mitch Landrieu,1,20
2020-02-01,Mitch Mcconnell,1,21
2020-02-01,Nicole Errett,1,22
2020-02-01,Paul Biddinger,1,23
2020-02-01,Paul Stefanacci,1,24
2020-02-01,Pete Buttigieg,1,25
2020-02-01,Phil Murphy,1,26
2020-02-01,Rick Wilson,1,27
2020-02-01,Robert Redfield,1,28
2020-02-01,Rosemary Gibson,1,29
2020-02-01,Roy Boukidjian,1,30
2020-02-01,Stephen Hahn,1,31
2020-02-01,David Cennimo,2,1
2020-02-02,Anthony S Fauci,1,2
2020-02-02,Bennie Thompson,1,3
2020-02-02,Charlotte Reese,1,4
2020-02-02,Daniel Bausch,1,5
2020-02-02,David Norquist,1,6
2020-02-02,Edward Gallagher,1,7
2020-02-02,Erika Cervantes,1,8
2020-02-02,Jeff Bezos,1,9
2020-02-02,Mark Esper,1,10
2020-02-02,Mark Milley,1,11
2020-02-02,Michael Ryan,1,12
2020-02-02,Nan,1,13
2020-02-02,Peter Piot,1,14
2020-02-02,Phil Murphy,1,15
2020-02-02,Thomas R Frieden,1,16
2020-02-02,W Ian Lipkin,1,17
2020-02-02,William Schaffner,1,18
2020-02-02,Donald Trump,3,1
2020-02-03,Alex Luo,1,32
2020-02-03,Aly Kassam-Remtulla,1,33
2020-02-03,Amanda Eisenberg,1,34
2020-02-03,Andy Eckardt,1,35
2020-02-03,Claudio Lavanga,1,36
2020-02-03,David Giambusso,1,37
2020-02-03,David Mcnew Getty,1,38
2020-02-03,Didier Houssin,1,39
2020-02-03,Dominic Raab,1,40
2020-02-03,Eric Baculinao,1,41
2020-02-03,Gauden Galea,1,42
2020-02-03,Giulia Marchi,1,43
2020-02-03,Graham Mullis,1,44
2020-02-03,Hua Chunying,1,45
2020-02-03,Irini Daskalaki,1,46
