date,person,count,rn
2020-02-06,Alison Byerly,1,1
2020-02-06,Jeffrey Goldstein,1,2
2020-02-25,Amy Sebring,1,1
2020-02-25,John Littel,1,2
2020-02-25,Katherine Rowe,1,3
2020-02-25,Sam Jones,1,4
2020-02-25,William Mary,1,5
2020-03-04,Jacqueline Palochko,1,3
2020-03-04,Kathleen Harring,2,1
2020-03-04,Michael Corr,2,2
2020-03-06,Luther Rhodes,1,1
2020-03-06,Nate Wardle,1,2
2020-03-06,Rachel Levine,1,3
2020-03-11,Nan,1,1
2020-03-12,Bob Mcnab,1,1
2020-03-12,Courtney Mallinckrodt,1,2
2020-03-12,Mollie Odell,1,3
2020-03-12,Russell Lyons,1,4
2020-03-13,Brian Nester,1,1
2020-03-13,Bryon Grigsby,1,2
2020-03-13,Chrysan Cronin,1,3
2020-03-13,David Damsker,1,4
2020-03-13,Deana Percassi,1,5
2020-03-13,Dennis Curtin,1,6
2020-03-13,Elizabeth Meade,1,7
2020-03-13,Luther Rhodes,1,8
2020-03-13,Rudy Miller,1,9
2020-03-13,Tom Wolf,1,10
2020-03-14,Brian Nester,1,1
2020-03-14,Jeffrey Jahre,1,2
2020-03-15,John Best,2,1
2020-03-16,James Harris,1,1
2020-03-16,Mark Dirocco,1,2
2020-03-16,Nan,1,3
2020-03-16,Randal Lutz,1,4
2020-03-16,Timothy Steinhauer,1,5
2020-03-16,Tom Wolf,1,6
2020-03-17,Baptist Facebook,1,3
2020-03-17,Bert Young,1,4
2020-03-17,Bishop Jose Mcloughin,1,5
2020-03-17,Bishop Paul Leeland,1,6
2020-03-17,Bon Secours,1,7
2020-03-17,Bradley Petrohoy,1,8
2020-03-17,Bryan Mcdevitt,1,9
2020-03-17,Chris Hefner,1,10
2020-03-17,Cynthia Caldwell,1,11
2020-03-17,Danny Dodds,1,12
2020-03-17,Dennis Riker,1,13
2020-03-17,Donald Norcross,1,14
2020-03-17,Edgardo Colon,1,15
2020-03-17,Ellen Morabico,1,16
2020-03-17,George Wolf,1,17
2020-03-17,Glenn Granitz Jr,1,18
2020-03-17,Gregory Martin,1,19
2020-03-17,Gregory Troxell,1,20
2020-03-17,Henry Hennings,1,21
2020-03-17,Jeffconnect Telehealth,1,22
2020-03-17,Jonathan Hoadley,1,23
2020-03-17,Mark Williams,1,24
2020-03-17,Michael Marks,1,25
2020-03-17,Nathan Branosky,1,26
2020-03-17,Nikki Testa,1,27
2020-03-17,Paul Gaden,1,28
2020-03-17,Roy Cooper,1,29
2020-03-17,Roy Seiple,1,30
2020-03-17,Shannon Critcher,1,31
2020-03-17,Wayne Walp,1,32
2020-03-17,Wilkesboro Baptist,1,33
2020-03-17,Wilkesboro Baptist Facebook,1,34
2020-03-17,Wilkesboro Baptist Triplett,1,35
2020-03-17,Jack Silva,2,2
2020-03-17,Tom Wolf,3,1
2020-03-18,Dave Magrogan,1,1
2020-03-18,Peter Breslow,1,2
2020-03-19,Alan Gubernick,1,1
2020-03-19,Andriana Fusco,1,2
2020-03-19,Barbara Wilson,1,3
2020-03-19,Barry Melancon,1,4
2020-03-19,Brian Abernathy,1,5
2020-03-19,Bruce Whitehurst,1,6
2020-03-19,Carmine Fusco,1,7
2020-03-19,Dan Markowitz,1,8
2020-03-19,Dan Mcgarry,1,9
2020-03-19,Drucker Scaccetti,1,10
2020-03-19,Eric Bronnenkant,1,11
2020-03-19,Gary Leblanc,1,12
2020-03-19,John Brennan,1,13
2020-03-19,Kate Conroy,1,14
2020-03-19,Katrina Mccombs,1,15
2020-03-19,Kristyn Mccrohan,1,16
2020-03-19,Liza Rodriguez,1,17
2020-03-19,Malika Savoy,1,18
2020-03-19,Mark Dirocco,1,19
2020-03-19,Monica Lewis,1,20
2020-03-19,Naomi Wyatt,1,21
2020-03-19,Paula Milsted,1,22
2020-03-19,Rick Levis,1,23
2020-03-19,Rita Fusco-Jackson,1,24
2020-03-19,Robert Copeland,1,25
2020-03-19,Rosalind Sutch,1,26
2020-03-19,Ruth Jones-Nichols,1,27
2020-03-19,Shaxi Ortiz,1,28
2020-03-19,Steve Mnuchin,1,29
2020-03-19,Tom Wolf,1,30
2020-03-20,Alan Gubernick,1,1
2020-03-20,Alex Wong Getty,1,2
2020-03-20,Amy Underhill,1,3
2020-03-20,Annya Soucy,1,4
2020-03-20,Audrey Clark,1,5
2020-03-20,Barbara Morgan,1,6
2020-03-20,Barry Melancon,1,7
