date,person,count,rn
2020-02-01,Barry Flinchbaugh,1,20
2020-02-01,Caitlin Molter,1,21
2020-02-01,Christine Kettunen,1,22
2020-02-01,Cory Atley,1,23
2020-02-01,David Kohl,1,24
2020-02-01,David Vascek,1,25
2020-02-01,Greg Soulje,1,26
2020-02-01,Jerry Gidel,1,27
2020-02-01,Joseph Brown,1,28
2020-02-01,Max Armstrong,1,29
2020-02-01,Miguel Maldonado,1,30
2020-02-01,Mike Pearson,1,31
2020-02-01,Ngozi Ezike,1,32
2020-02-01,Tina Stasiewski,1,33
2020-02-01,Karin Johnson,2,15
2020-02-01,Leah Jonas,2,16
2020-02-01,Matt Jonas,2,17
2020-02-01,Mike Dewine,2,18
2020-02-01,Nathan Jonas,2,19
2020-02-01,Amanda Morris,3,10
2020-02-01,Jasmine Vaughn-Hall,3,11
2020-02-01,Jenny Bailer,3,12
2020-02-01,Rick Cottrill,3,13
2020-02-01,Vincent Gabrielle,3,14
2020-02-01,Nan,5,9
2020-02-01,Sara Arthurs,8,8
2020-02-01,Mark Hurst,11,5
2020-02-01,Nora Colburn,11,6
2020-02-01,Travis Westbrook,11,7
2020-02-01,Nathaniel Ratnasamy,14,2
2020-02-01,Steven Martin,14,3
2020-02-01,Tara Smith,14,4
2020-02-01,Amy Acton,18,1
2020-02-02,Adam Schiff,1,31
2020-02-02,Alexander Paul,1,32
2020-02-02,Gordon Duff,1,33
2020-02-02,Isabella Marianna,1,34
2020-02-02,Mark Morgan,1,35
2020-02-02,Molly Walker,1,36
2020-02-02,Nancy Messonnier,1,37
2020-02-02,Q Jeff Mason,1,38
2020-02-02,Raul Ortiz,1,39
2020-02-02,Steve Rissing,1,40
2020-02-02,Tony Rankins,1,41
2020-02-02,Zoe Olivia,1,42
2020-02-02,Jim Mackinnon,2,29
2020-02-02,Nan,2,30
2020-02-02,Amanda Morris,3,17
2020-02-02,Amy Acton,3,18
2020-02-02,Babcock Wilcox,3,19
2020-02-02,Babcock Wilson,3,20
2020-02-02,Jack Rooney,3,21
2020-02-02,Jasmine Vaughn-Hall,3,22
2020-02-02,Jayne Brownell,3,23
2020-02-02,Jennifer Bailer,3,24
2020-02-02,Linda Saif,3,25
2020-02-02,Qiuhong Wang,3,26
2020-02-02,Sheridan Hendrix,3,27
2020-02-02,Vincent Gabrielle,3,28
2020-02-02,Daniel Secoy,4,15
2020-02-02,Rick Cottrill,4,16
2020-02-02,Diebold Nixdorf,5,11
2020-02-02,Doug Grassian,5,12
2020-02-02,Mike Jacobsen,5,13
2020-02-02,Scott Schroeder,5,14
2020-02-02,Travis Westbrook,6,10
2020-02-02,Kenny Mcdonald,8,9
2020-02-02,Casey Coffey,10,3
2020-02-02,Jack Butterfield,10,4
2020-02-02,Mark Neal,10,5
2020-02-02,Ruth Zitnik,10,6
2020-02-02,Sharon Mcdermott,10,7
2020-02-02,Todd Whiteman,10,8
2020-02-02,Mark Hurst,16,1
2020-02-02,Nora Colburn,16,2
2020-02-03,Dan Griffin,2,49
2020-02-03,Dave Green,2,50
2020-02-03,Amy Atkin,3,10
2020-02-03,Andrew Tobias,3,11
2020-02-03,Audrey Bentham,3,12
2020-02-03,Barack Obama,3,13
2020-02-03,Danny Miller,3,14
2020-02-03,Dave Burrows,3,15
2020-02-03,Dave Yost,3,16
2020-02-03,Eilene Zimmerman,3,17
2020-02-03,Frank Larose,3,18
2020-02-03,Jennifer Nuzzo,3,19
2020-02-03,Jeremy Pelzer,3,20
2020-02-03,Jim Jordan,3,21
2020-02-03,Judson Harmon,3,22
2020-02-03,Julia Reichert,3,23
2020-02-03,Katharine Hepburn,3,24
2020-02-03,Kenneth Bernard,3,25
2020-02-03,Laura Hancock,3,26
2020-02-03,Lauren Artino,3,27
2020-02-03,Lawrence Gostin,3,28
2020-02-03,Mark Williams,3,29
2020-02-03,Mijie Li,3,30
2020-02-03,Mike Dewine,3,31
2020-02-03,Mike Gibbons,3,32
2020-02-03,Molly Seavy-Nesper,3,33
2020-02-03,Randy Ludlow,3,34
2020-02-03,Sabrina Eaton,3,35
2020-02-03,Seth Richardson,3,36
2020-02-03,Shawn Kaysich,3,37
2020-02-03,Shawnea Rosser,3,38
2020-02-03,Sheridan Hendrix,3,39
2020-02-03,Steve Bognar,3,40
2020-02-03,Steven Bognar,3,41
2020-02-03,Terry Gross,3,42
2020-02-03,Therese Madden,3,43
2020-02-03,Thomas Suddes,3,44
2020-02-03,Tim Ryan,3,45
2020-02-03,Tony Rankin,3,46
2020-02-03,Wendy Parmet,3,47
2020-02-03,Yiqian Zhang,3,48
2020-02-03,Nan,5,9
2020-02-03,Greg Crawford,6,7
2020-02-03,Sherrod Brown,6,8
2020-02-03,Babcock Wilcox,7,4
2020-02-03,Babcock Wilson,7,5
2020-02-03,Jenny Bailer,7,6
2020-02-03,Kenny Mcdonald,9,3
2020-02-03,Jennifer Bailer,13,2
2020-02-03,Amy Acton,18,1
2020-02-04,Aleksandr Kogan,1,34
2020-02-04,Alexandra Levine,1,35
2020-02-04,Asad Ramzanali,1,36
2020-02-04,Barry Flinchbaugh,1,37
2020-02-04,Becky Donaldson,1,38
2020-02-04,Brad Parscale,1,39
2020-02-04,Caitlin Molter,1,40
2020-02-04,Callie Strock,1,41
2020-02-04,Cambridge Analytica,1,42
2020-02-04,Charles Sennett,1,43
2020-02-04,Cory Atley,1,44
2020-02-04,David Kohl,1,45
2020-02-04,Drew Houston,1,46
2020-02-04,Elie Saade,1,47
2020-02-04,Ellen Braaten,1,48
2020-02-04,Eric Trump,1,49
2020-02-04,Greg Crawford,1,50
2020-02-04,Emily Bamforth,2,33
2020-02-04,Audrey Bentham,3,6
2020-02-04,Bill Clinton,3,7
2020-02-04,Danny Miller,3,8
2020-02-04,Dave Burrows,3,9
2020-02-04,Dave Green,3,10
2020-02-04,Eilene Zimmerman,3,11
2020-02-04,Jennifer Nuzzo,3,12
2020-02-04,Julia Reichert,3,13
2020-02-04,Katharine Hepburn,3,14
2020-02-04,Kenneth Bernard,3,15
2020-02-04,Lawrence Gostin,3,16
2020-02-04,Mijie Li,3,17
2020-02-04,Molly Seavy-Nesper,3,18
2020-02-04,Nancy Pelosi,3,19
2020-02-04,Patrice Palmer,3,20
2020-02-04,Rob Portman,3,21
2020-02-04,Sabrina Eaton,3,22
2020-02-04,Shawnea Rosser,3,23
2020-02-04,Steve Bognar,3,24
2020-02-04,Steven Bognar,3,25
2020-02-04,Tedros Adhanom Ghebreyesus,3,26
2020-02-04,Terry Gross,3,27
2020-02-04,Therese Madden,3,28
2020-02-04,Tony Rankins,3,29
2020-02-04,Warren Davidson,3,30
2020-02-04,Wendy Parmet,3,31
2020-02-04,Yiqian Zhang,3,32
2020-02-04,Donald Trump,4,5
2020-02-04,Amy Acton,6,2
2020-02-04,Melanie Amato,6,3
2020-02-04,Sherrod Brown,6,4
2020-02-04,Jennifer Bailer,7,1
2020-02-05,Amy Williams,2,13
2020-02-05,Anna Jean Petroff,2,14
2020-02-05,Annie Oakley,2,15
2020-02-05,Barack Obama,2,16
2020-02-05,Bernie Sanders,2,17
2020-02-05,Bill Clinton,2,18
2020-02-05,Brett Kavanaugh,2,19
2020-02-05,Charles Mcgee,2,20
2020-02-05,Charlie Patterson,2,21
2020-02-05,Chuck Grassley,2,22
2020-02-05,Daniel Becerril,2,23
2020-02-05,Dave Green,2,24
2020-02-05,Davy Crockett,2,25
2020-02-05,Donald Trump,2,26
2020-02-05,Ellie Schneider,2,27
2020-02-05,Harriet Tubman,2,28
2020-02-05,Iain Lanphier,2,29
2020-02-05,Ivanka Trump,2,30
2020-02-05,Jared Kushner,2,31
2020-02-05,Joe Biden,2,32
2020-02-05,Juan Guaido,2,33
2020-02-05,Mahmoud Abbas,2,34
2020-02-05,Marsha Mueller,2,35
2020-02-05,Martin Luther King,2,36
2020-02-05,Mike Bloomberg,2,37
2020-02-05,Mike Pence,2,38
2020-02-05,Mike Pompeo,2,39
2020-02-05,Mitch Mcconnell,2,40
2020-02-05,Nancy Cook,2,41
2020-02-05,Neil Armstrong,2,42
2020-02-05,Neil Gorsuch,2,43
2020-02-05,Nicholas Maduro,2,44
2020-02-05,Nicolas Maduro,2,45
2020-02-05,Patrice Palmer,2,46
2020-02-05,Raul Ortiz,2,47
2020-02-05,Riley Newton,2,48
2020-02-05,Rob Portman,2,49
2020-02-05,Rocky Jones,2,50
