date,person,count,rn
2020-02-07,Graham Briggs,1,1
2020-02-20,Athit Perawongmetha,1,22
2020-02-20,Tingshu Wang,1,23
2020-02-20,Lisa Shumaker,3,21
2020-02-20,Brenda Goh,4,5
2020-02-20,Colin Packham,4,6
2020-02-20,Jan Strupczewski,4,7
2020-02-20,Josh Smith,4,8
2020-02-20,Krishna Das,4,9
2020-02-20,Linda Sieg,4,10
2020-02-20,Nick Macfie,4,11
2020-02-20,Peter Graff,4,12
2020-02-20,Robert Birsel,4,13
2020-02-20,Samuel Shen,4,14
2020-02-20,Sangmi Cha,4,15
2020-02-20,Sarah Wu,4,16
2020-02-20,Simon Cameron-Moore,4,17
2020-02-20,Sophie Yu,4,18
2020-02-20,Stephanie Nebehay,4,19
2020-02-20,Young Lee,4,20
2020-02-20,Katsunobu Kato,5,1
2020-02-20,Kentaro Iwata,5,2
2020-02-20,Renee Smith,5,3
2020-02-20,Vicki Presland,5,4
2020-02-22,Michael Patterson,1,7
2020-02-22,Shamim Adam,1,8
2020-02-22,Soraya Permatasari,1,9
2020-02-22,Van Natta,1,10
2020-02-22,Li Wenliang,2,1
2020-02-22,Linfa Wang,2,2
2020-02-22,Marion Koopmans,2,3
2020-02-22,Mary Lowell Leary,2,4
2020-02-22,Nancy Messonnier,2,5
2020-02-22,Reed Siemieniuk,2,6
2020-02-23,Mary Lowell Leary,2,6
2020-02-23,Li Wenliang,3,1
2020-02-23,Linfa Wang,3,2
2020-02-23,Marion Koopmans,3,3
2020-02-23,Nancy Messonnier,3,4
2020-02-23,Reed Siemieniuk,3,5
2020-02-24,Li Wenliang,1,1
2020-02-24,Linfa Wang,1,2
2020-02-24,Marion Koopmans,1,3
2020-02-24,Mary Lowell Leary,1,4
2020-02-24,Nancy Messonnier,1,5
2020-02-24,Reed Siemieniuk,1,6
2020-02-28,Graham Briggs,1,2
2020-02-28,Nancy Messonnier,1,3
2020-02-28,Ken Jones,2,1
2020-02-29,Graham Briggs,2,1
2020-02-29,Ken Jones,2,2
2020-02-29,Nancy Messonnier,2,3
2020-02-29,Pritish Tosh,2,4
2020-03-05,Kim Norton,1,1
2020-03-05,Nan,1,2
2020-03-05,Pritish Tosh,1,3
2020-03-05,Steven Adamson,1,4
2020-03-06,Anthony Fauci,1,1
2020-03-06,Donald Trump,1,2
2020-03-06,Graham Briggs,1,3
2020-03-06,Julie Gerberding,1,4
2020-03-06,Matt Frieman,1,5
2020-03-06,Pritish Tosh,1,6
2020-03-06,Steven Adamson,1,7
2020-03-08,Anthony Fauci,1,1
2020-03-08,Donald Trump,1,2
2020-03-08,Julie Gerberding,1,3
2020-03-08,Matt Frieman,1,4
2020-03-09,Jeanette Vietti,1,1
2020-03-09,Jerome Adams,1,2
2020-03-09,Pritish Tosh,1,3
2020-03-09,Sheena Robertson,1,4
2020-03-10,Bernard Hebda,1,1
2020-03-10,Beverly Johnson,1,2
2020-03-10,Bradley Schmeling,1,3
2020-03-10,Graham Briggs,1,4
2020-03-10,Imam Makram El-Amin,1,5
2020-03-10,John Ubel,1,6
2020-03-11,Alex Young,1,3
2020-03-11,Doug Anderson,1,4
2020-03-11,Edward Loftus,1,5
2020-03-11,Michael Munoz,1,6
2020-03-11,Nan,1,7
2020-03-11,Kris Ehresmann,3,2
2020-03-11,Graham Briggs,6,1
2020-03-12,Donald Trump,1,3
2020-03-12,Matthew Binnicker,1,4
2020-03-12,Mike Pence,1,5
2020-03-12,Nan,1,6
2020-03-12,Scott Gottlieb,1,7
2020-03-12,Graham Briggs,2,1
2020-03-12,William Morice,2,2
2020-03-13,Alex Azar,1,13
2020-03-13,Bobbi Pritt,1,14
2020-03-13,Brett Giroir,1,15
2020-03-13,Joseph Faraldo,1,16
2020-03-13,William Morice,1,17
2020-03-13,Anthony Fauci,2,6
2020-03-13,Debbie Wasserman Schultz,2,7
2020-03-13,Donald Trump,2,8
2020-03-13,Johns Hopkins,2,9
2020-03-13,Mike Pence,2,10
2020-03-13,Robert Redfield,2,11
2020-03-13,Wasserman Schultz,2,12
2020-03-13,Matthew Binnicker,3,4
2020-03-13,Scott Gottlieb,3,5
2020-03-13,Heba Mostafa,4,1
2020-03-13,Karen Caroll,4,2
2020-03-13,Lisa Maragakis,4,3
2020-03-14,Nan,1,1
2020-03-16,Graham Briggs,1,1
2020-03-17,Jay Myers,1,1
2020-03-17,Kris Ehresmann,1,2
2020-03-17,Matthew Binnicker,1,3
2020-03-17,Monica Rauchwater,1,4
2020-03-17,Rahul Koranne,1,5
2020-03-17,Tim Walz,1,6
2020-03-18,Catholic Charitie,1,7
2020-03-18,Dave Kleis,1,8
2020-03-18,Emma Corrie,1,9
2020-03-18,Justice Lorie Gildea,1,10
2020-03-18,Kerri Miller,1,11
2020-03-18,M Heath Fairview,1,12
2020-03-18,Max Holdhusen,1,13
2020-03-18,Rahul Koranne,1,14
2020-03-18,Annette Freiheit,2,1
2020-03-18,Ben Pherson,2,2
2020-03-18,Kris Ehresmann,2,3
2020-03-18,Mark Matuska,2,4
2020-03-18,Sara Stebbins,2,5
2020-03-18,Tracy Krucker,2,6
2020-03-19,Emily Johnston,1,1
2020-03-19,Jill Bruns,1,2
2020-03-19,Kelly Oneill,1,3
2020-03-19,Kris Ehresmann,1,4
2020-03-19,Pat Oneill,1,5
2020-03-19,Rahul Koranne,1,6
2020-03-20,Amy Forliti,1,4
2020-03-20,Bonnie Brueshoff,1,5
2020-03-20,Deborah Birx,1,6
2020-03-20,Erica Macdonald,1,7
2020-03-20,Graham Briggs,1,8
2020-03-20,Joshua Sharfstein,1,9
2020-03-20,Kaiser Permanente,1,10
2020-03-20,Rajesh Prabhu,1,11
2020-03-20,Tim Walz,1,12
2020-03-20,Manny Atwal,3,3
2020-03-20,Los Angeles,4,1
2020-03-20,Muhammad Masood,4,2
2020-03-21,Los Angeles,1,1
2020-03-21,Manny Atwal,1,2
2020-03-21,Muhammad Masood,1,3
2020-03-23,Beth Carlson,1,1
2020-03-23,Brian Burkholder,1,2
2020-03-23,Chris Giesen,1,3
2020-03-23,Fred Suhler,1,4
2020-03-23,Joel Young,1,5
2020-03-23,Josh Broadwater,1,6
2020-03-23,Kay Coe,1,7
2020-03-23,Melissa Burnett,1,8
2020-03-23,Monica Erickson,1,9
2020-03-23,Nancy Timm,1,10
2020-03-23,Paul Novotny,1,11
2020-03-23,Russ Smith,1,12
2020-03-23,Ryan Priebe,1,13
2020-03-23,Shane Fox,1,14
2020-03-24,Amy Maxmen,1,1
2020-03-24,Andrew Cuomo,1,2
2020-03-24,Arturo Casadevall,1,3
2020-03-24,Johns Hopkins,1,4
2020-03-24,Michael Joyner,1,5
2020-03-24,Misha Friedman Getty,1,6
2020-03-25,Andrew Cuomo,1,1
2020-03-25,Arturo Casadevall,1,2
2020-03-25,Johns Hopkins,1,3
2020-03-25,Michael Joyner,1,4
2020-03-26,Kurt Daudt,1,1
2020-03-26,Leonardo Fernandez,1,2
2020-03-26,Maria Henao Restrepo,1,3
2020-03-26,Michael Joyner,1,4
2020-03-26,Nan,1,5
2020-03-26,Ranieri Guerra,1,6
2020-03-26,Ryan Winkler,1,7
2020-03-26,Steve Drazkowski,1,8
2020-03-26,Tim Walz,1,9
2020-03-27,Emily Johnston,1,1
2020-03-27,Joe Kelly,1,2
2020-03-27,Los Angeles,1,3
2020-03-27,Manny Atwal,1,4
2020-03-27,Muhammad Masood,1,5
2020-03-27,Tim Walz,1,6
2020-03-28,Chris Rowe,1,1
2020-03-28,David Knopman,1,2
2020-03-28,Doug Galasko,1,3
2020-03-28,Eli Lilly,1,4
2020-03-28,James Leverenz,1,5
2020-03-28,Jeffrey Kaye,1,6
2020-03-28,John Dwyer,1,7
2020-03-28,Madolyn Bowman Rogers,1,8
2020-03-28,Michael Schlossmacher,1,9
2020-03-28,Michael Weiner,1,10
2020-03-28,Philip Scheltens,1,11
2020-03-28,Richard Hodes,1,12
2020-03-28,William Klunk,1,13
2020-03-29,Donald Trump,1,1
2020-03-29,Louie Giglio,1,2
2020-03-29,Mayo Rochester,1,3
2020-03-29,Michael Joyner,1,4
2020-03-29,Tim Schacker,1,5
2020-03-30,Alicia Keys,1,1
2020-03-30,Alicia Lee,1,2
2020-03-30,Billie Eilish,1,3
2020-03-30,Billie Joe Armstrong,1,4
2020-03-30,Camila Cabello,1,5
2020-03-30,Dan Wowak,1,6
2020-03-30,Elton John,1,7
