date,person,count,rn
2020-03-07,Danielle Beyer,1,1
2020-03-07,Ron Johnson,1,2
2020-03-07,William Beyer,1,3
2020-03-16,Alberta Darling,1,2
2020-03-16,Luther Olsen,1,3
2020-03-16,Rebecca Kleefisch,1,4
2020-03-16,Scott Walker,1,5
2020-03-16,Tony Evers,2,1
2020-03-17,Alberta Darling,1,1
2020-03-17,Luther Olsen,1,2
2020-03-17,Rebecca Kleefisch,1,3
2020-03-17,Scott Walker,1,4
2020-03-17,Tony Evers,1,5
2020-03-18,Dave Murphy,1,1
2020-03-18,Jack Flynn,1,2
2020-03-18,Josh Johnson,1,3
2020-03-18,Keith Nerenhausen,1,4
2020-03-19,Alberta Darling,1,1
2020-03-19,Ashok Rai,1,2
2020-03-19,Luther Olsen,1,3
2020-03-19,Rebecca Kleefisch,1,4
2020-03-19,Scott Walker,1,5
2020-03-19,Staush Gruszynski,1,6
2020-03-19,Tony Evers,1,7
2020-03-24,Adam Stephens,1,8
2020-03-24,Arlington Herald,1,9
2020-03-24,Dave Hernandez,1,10
2020-03-24,Jim Steineke,1,11
2020-03-24,Lena Taylor,1,12
2020-03-24,Mary Spicuzza,1,13
2020-03-24,Neil Albrecht,1,14
2020-03-24,Tom Barrett,1,15
2020-03-24,Tony Evers,1,16
2020-03-24,Zoey Maraist,1,17
2020-03-24,Chaz Muth,2,1
2020-03-24,Jacque Welsh,2,2
2020-03-24,Jesus Christ,2,3
2020-03-24,Jose Lopez,2,4
2020-03-24,Lancy Ezhupara,2,5
2020-03-24,Pope Francis,2,6
2020-03-24,Sam Lucero,2,7
2020-03-25,Dave Botz,1,1
2020-03-25,Dave Schroeder,1,2
2020-03-25,David Botz,1,3
2020-03-25,Devin Flanigan,1,4
2020-03-25,Eugene Kapsner,1,5
2020-03-25,Joe Roehl,1,6
2020-03-25,Mark Mcnally,1,7
2020-03-26,Dave Botz,1,1
2020-03-27,Ashok Rai,1,1
2020-03-27,Deb Konitzer,1,2
2020-03-28,Eric Beach,1,1
2020-03-28,Jake Woodford,1,2
2020-03-28,James Clemons,1,3
2020-03-28,Mark Todd,1,4
2020-03-28,Tim Hanna,1,5
2020-03-29,Allan Loudell,1,1
2020-03-29,David Fike,1,2
2020-03-29,Mark Adams,1,3
2020-03-29,Robin Bryson,1,4
2020-03-29,Stephen Adam,1,5
2020-03-29,Warren Buffett Geico,1,6
2020-03-30,A Paul Mccomas,1,1
2020-03-30,Agrace Hospicecare,1,2
2020-03-30,Charles Gerald Forster,1,3
2020-03-30,Jill Forster,1,4
2020-03-30,Judy Lee,1,5
2020-03-30,Kevin Forster,1,6
2020-03-30,Maya Kuper,1,7
2020-03-30,Megan Corse,1,8
2020-03-30,Paul Mccomas,1,9
2020-03-30,Roseann Kerkoff Forster,1,10
2020-03-30,Sam Shepard,1,11
2020-03-30,Terry Forster,1,12
2020-03-30,Thomas Cindy,1,13
2020-04-01,Tony Evers,1,1
2020-04-02,Amy Acton,1,1
2020-04-02,Annie Krieg,1,2
2020-04-02,Dan Roth,1,3
2020-04-02,Dave Yost,1,4
2020-04-02,Joe Raedle,1,5
2020-04-02,Justin Sullivan,1,6
2020-04-02,Kersha Deibel,1,7
2020-04-02,Kevin Stitt,1,8
2020-04-02,Mike Dewine,1,9
2020-04-02,Robert Zoellner,1,10
2020-04-02,Ron Desantis,1,11
2020-04-02,Scott Fitzgerald,1,12
2020-04-02,Scott Olson,1,13
2020-04-02,Sean Moderson,1,14
2020-04-02,Tom Weinfurter,1,15
2020-04-02,William Conley,1,16
2020-04-03,Nan,1,1
2020-04-07,Brian Schell,1,1
2020-04-07,Daniel Kelly,1,2
2020-04-07,Donald Merkes,1,3
2020-04-07,Jake Woodford,1,4
2020-04-07,James Clemons,1,5
2020-04-07,Jill Karofsky,1,6
2020-04-07,Kami Lynch,1,7
2020-04-07,Nan,1,8
2020-04-07,Rebecca Nichols,1,9
2020-04-07,Stephanie Cheslock,1,10
2020-04-07,Tim Hanna,1,11
2020-04-07,Tony Penterman,1,12
2020-04-08,Joe Schumacher,1,1
2020-04-08,John Nygren,1,2
2020-04-08,Jon Erpenbach,1,3
2020-04-08,Kate Constalie,1,4
2020-04-08,Mica Soellner,1,5
2020-04-08,Molly Beck,1,6
2020-04-08,Patrick Marley,1,7
2020-04-08,Robert Prunty,1,8
2020-04-08,Tom Nelson,1,9
2020-04-09,Ashok Rai,1,2
2020-04-09,Eric Genrich,1,3
2020-04-09,John Nygren,1,4
2020-04-09,Jon Erpenbach,1,5
2020-04-09,Molly Beck,1,6
2020-04-09,Patrick Marley,1,7
2020-04-09,Tony Evers,1,8
2020-04-09,Kate Constalie,2,1
2020-04-10,Dan Romportl,1,2
2020-04-10,Duey Stroebel,1,3
2020-04-10,Kara Pennoyer,1,4
2020-04-10,Nan,1,5
2020-04-10,Robin Vos,1,6
2020-04-10,Roger Roth,1,7
2020-04-10,Scott Fitzgerald,1,8
2020-04-10,Tony Evers,2,1
2020-04-13,Jim Steineke,1,1
2020-04-13,Tony Evers,1,2
2020-04-14,Alderman Brian Schell,1,2
2020-04-14,Alexia Harrist,1,3
2020-04-14,Andrew Caballero-Reynolds,1,4
2020-04-14,Ashley Green,1,5
2020-04-14,Ashley Robertson,1,6
2020-04-14,Ava Broullon,1,7
2020-04-14,Brian Miller,1,8
2020-04-14,Danielle Parhizkaran,1,9
2020-04-14,Darren Hayes,1,10
2020-04-14,David Dee Delgado,1,11
2020-04-14,David Wallace,1,12
2020-04-14,Easter Bunny,1,13
2020-04-14,Eric Bieber,1,14
2020-04-14,Frances Gonzalez,1,15
2020-04-14,Gary Cosby Jr,1,16
2020-04-14,Haim Ainsworth,1,17
2020-04-14,Henry Ford,1,18
2020-04-14,Jacob Shapiro-Ainsworth,1,19
2020-04-14,Jacqueline Winston,1,20
2020-04-14,Jake Woodford,1,21
2020-04-14,James Clemons,1,22
2020-04-14,Javier Camillo,1,23
2020-04-14,Jay Janner,1,24
2020-04-14,Jim Steineke,1,25
2020-04-14,Keith Gambrell,1,26
2020-04-14,Ken Ruinard,1,27
2020-04-14,Kevin Anderson,1,28
2020-04-14,Lisa Chamblee,1,29
2020-04-14,Malcom Davis,1,30
2020-04-14,Mark Gordon,1,31
2020-04-14,Mark Gordon Governorgordon,1,32
2020-04-14,Marty Decoster,1,33
2020-04-14,Matt Broullon,1,34
2020-04-14,Michael Snyder,1,35
2020-04-14,Micheal Singleton,1,36
2020-04-14,Nicole George,1,37
2020-04-14,Nicole Murphy,1,38
2020-04-14,Olivia Kalmythkov,1,39
2020-04-14,Patti Canan,1,40
2020-04-14,Paula Verrett,1,41
2020-04-14,Ranger Robbie Boyer,1,42
2020-04-14,Rick Baus,1,43
2020-04-14,Ronald Boik,1,44
2020-04-14,Ryan Garza,1,45
2020-04-14,Sandra Cooley,1,46
2020-04-14,Seth Harrison,1,47
2020-04-14,Suchmor Thomas,1,48
2020-04-14,Tim George,1,49
2020-04-14,Tim Hanna,1,50
2020-04-14,Tony Evers,4,1
2020-04-16,Andrew Vanboxtel,1,1
2020-04-16,Bob Schuessler,1,2
2020-04-16,Brian Figy,1,3
2020-04-16,Eric Buchanan,1,4
2020-04-16,Sherrie Tussler,1,5
2020-04-20,Tony Evers,1,1
2020-04-28,Nan,1,1
2020-04-30,Nan,1,1
2020-05-01,Jeff Shaddick,1,13
2020-05-01,Jeff Shadick,1,14
2020-05-01,Adam Lobner,2,1
2020-05-01,Chris Murphy,2,2
2020-05-01,Jennifer Miller,2,3
2020-05-01,Jim Steineke,2,4
2020-05-01,Julie Willems Van Dijk,2,5
2020-05-01,Leah Huibregtse,2,6
2020-05-01,Melissa Baldauff,2,7
2020-05-01,Robert Van Meeteren,2,8
2020-05-01,Ryan Westergaard,2,9
2020-05-01,Scott Larrivee,2,10
2020-05-01,Todd Kowalski,2,11
2020-05-01,Van Meeteren,2,12
2020-05-07,Donald Trump,1,1
2020-05-07,Laura Schulte,1,2
2020-05-07,Melissa Baldauff,1,3
2020-05-07,Molly Beck,1,4
2020-05-07,Tony Evers,1,5
2020-05-11,Dayzia Beyer,1,1
2020-05-11,Jamie Graff,1,2
2020-05-11,Jim Trainum,1,3
2020-05-11,Mary Dorn,1,4
2020-05-11,Matt Beyer,1,5
2020-05-11,Melissa Schuth,1,6
2020-05-11,Tom Nelson,1,7
2020-05-11,Tyler Schith,1,8
