date,person,count,rn
2020-03-12,Robert Stafford,1,1
2020-03-13,Andy Beshear,1,1
2020-03-13,Eric Holcomb,1,2
2020-03-13,Kelly Middleton,1,3
2020-03-13,Kevin Brown,1,4
2020-03-13,Marty Pollio,1,5
2020-03-13,Mike Dewine,1,6
2020-03-13,Mike Stacy,1,7
2020-03-14,Andy Beshear,1,1
2020-03-14,Eric Holcomb,1,2
2020-03-14,Kevin Brown,1,3
2020-03-14,Marty Pollio,1,4
2020-03-21,Andy Beshear,1,1
2020-03-21,Bo Luke,1,2
2020-03-21,Kirby Adams,1,3
2020-03-21,Stella Artois,1,4
2020-04-03,Nan,1,1
2020-04-09,Bruno Mars,1,1
2020-04-09,Gucci Mane,1,2
2020-04-09,Ian Harrington,1,3
2020-04-10,Bruno Mars,1,1
2020-04-10,Gucci Mane,1,2
2020-04-10,Ian Harrington,1,3
2020-04-17,John Sparrow,1,1
2020-04-17,Mark Haney,1,2
2020-04-17,Roger Lapointe,1,3
2020-04-17,Ryan Quarles,1,4
2020-04-17,Stephanie Wooten,1,5
2020-04-17,Tamara Sandberg,1,6
2020-04-28,Nan,1,1
2020-05-03,Eric Trueblood,1,1
2020-05-03,Jeri Hall,1,2
2020-05-03,Nancy Bakewell,1,3
2020-05-04,Eric Trueblood,1,1
2020-05-04,Jeri Hall,1,2
2020-05-04,Nancy Bakewell,1,3
2020-05-15,Jodee Ellett,1,1
2020-05-15,Luke Rhodes,1,2
2020-05-15,Nicci Keaton,1,3
2020-05-15,Teresa Birtles,1,4
2020-05-28,Alyssa Wray,1,1
2020-05-28,Elizabeth Depompei,1,2
2020-05-28,Kristin Kohn,1,3
2020-05-28,Matt Crouch,1,4
2020-05-28,Stephanie Dixon,1,5
2020-05-28,Susie Mcmillan,1,6
