date,person,count,rn
2020-03-24,Nan,1,1
2020-03-26,Boris Johnson,1,1
2020-03-26,Carlotta Haas,1,2
2020-03-26,Chavonne Clark,1,3
2020-03-26,Darron Cummings,1,4
2020-03-26,David Grunfeld,1,5
2020-03-26,Donald Trump,1,6
2020-03-26,Jair Bolsonaro,1,7
2020-03-26,Joe Biden,1,8
2020-03-26,Lidia Perera,1,9
2020-03-26,Miguel Barbosa,1,10
2020-03-26,Nyla Clark,1,11
2020-03-26,Rachel Miner,1,12
2020-04-07,Chuck Grassley,1,1
2020-04-07,Emily Skor,1,2
2020-04-07,Jeff Broin,1,3
2020-04-07,Joni Ernst,1,4
2020-04-07,Monte Shaw,1,5
2020-04-07,Sonny Perdue,1,6
