date,person,count,rn
2020-03-26,Kim Alvis,1,1
2020-04-24,Cathy Gross,1,1
2020-04-24,Samantha Horton,1,2
2020-04-25,Eric Holcomb,1,2
2020-04-25,John Heimlich,1,3
2020-04-25,Keli Jennett,1,4
2020-04-25,Samantha Horton,1,5
2020-04-25,Cathy Gross,2,1
2020-04-27,Cathy Gross,1,1
2020-04-27,Samantha Horton,1,2
2020-05-14,Chapin Rose,1,1
2020-05-14,Steve Hoffman,1,2
2020-05-22,Chapin Rose,1,1
2020-05-22,Deb Feinen,1,2
2020-05-22,Larry Baughn,1,3
2020-05-22,Larry Stoner,1,4
2020-05-22,Notre Dame,1,5
2020-05-22,Ray Cunningham,1,6
2020-05-22,Scott Testory,1,7
2020-05-30,Nan,1,1
2020-06-14,Phil Cox,1,1
2020-06-14,Susan Zola,1,2
2020-06-14,Vic Zimmerman,1,3
2020-06-25,Dana Rhoades,1,1
2020-06-25,Hugh Finson,1,2
2020-06-25,Jeremy Richey,1,3
2020-07-01,Abraham Lincoln,1,1
2020-07-01,John Adams,1,2
2020-07-01,John Hancock,1,3
2020-07-01,Lyndon Johnson,1,4
2020-07-01,Thomas Jefferson,1,5
