date,person,count,rn
2020-02-04,Emily Bamforth,1,1
2020-03-07,Alyssa Bohm,1,1
2020-03-07,Brad Peterson,1,2
2020-03-07,Dave Sarna,1,3
2020-03-07,David Erickson,1,4
2020-03-07,Howard Snelson,1,5
2020-03-07,Jack Mcclure,1,6
2020-03-07,Jay Inslee,1,7
2020-03-07,Joe Gothard,1,8
2020-03-07,Kayla Higgins,1,9
2020-03-07,Kenneth Ray Miller,1,10
2020-03-07,Kurt Anderson,1,11
2020-03-07,Ky Rocketman Michaelson,1,12
2020-03-07,Kylie Mullen,1,13
2020-03-07,Manawa Snodeo,1,14
2020-03-07,Mark Inglett,1,15
2020-03-07,Mary Cathryn Ricker,1,16
2020-03-07,Mike Hughes,1,17
2020-03-07,Mike Pence,1,18
2020-03-07,Perry Richardson,1,19
2020-03-07,Phil Evans,1,20
2020-03-07,Rocketboys Mcclure,1,21
2020-03-07,Slamn Sammy,1,22
2020-03-07,Slamn Sammy Miller,1,23
2020-03-07,Warren Limmer,1,24
2020-03-11,Bryan Ohara,1,1
2020-03-11,David Janofa,1,2
2020-03-11,Denise Dick,1,3
2020-03-11,Jim Tressel,1,4
2020-03-11,John Carroll,1,5
2020-03-11,Mike Dewine,1,6
2020-03-11,Robert Marino,1,7
2020-03-11,Steve Chiaro,1,8
2020-03-11,Traci Hostetler,1,9
2020-03-12,Dennis Ohara,1,1
2020-03-12,Ed Hubbard,1,2
2020-03-12,Eric Genrich,1,3
2020-03-12,Jake Baggott,1,4
2020-03-12,Jim Oliva,1,5
2020-03-12,Jonathan Fauvie,1,6
2020-03-12,Mike Wiza,1,7
2020-03-12,Rebecca Blank,1,8
2020-03-13,Amanda Stevenson,1,1
2020-03-13,Andrew Leavitt,1,2
2020-03-13,Carolyn Stanford Taylor,1,3
2020-03-13,Donald Trump,1,4
2020-03-13,James Hodge Jr,1,5
2020-03-13,James Kravec,1,6
2020-03-13,Joe Schultz,1,7
2020-03-13,John Koker,1,8
2020-03-13,Jonathan Fauvie,1,9
2020-03-13,Los Angeles,1,10
2020-03-13,Melissa Kane,1,11
2020-03-13,Mike Dewine,1,12
2020-03-13,Nan,1,13
2020-03-13,Robert Pinti,1,14
2020-03-13,Sandy Swann,1,15
2020-03-13,Scott Bruesewitz,1,16
2020-03-14,Carol Rimedio-Righetti,1,9
2020-03-14,Eddie Colbert,1,10
2020-03-14,Erin Bishop,1,11
2020-03-14,Jamael Tito Brown,1,12
2020-03-14,James Kravec,1,13
2020-03-14,Kevin Harris,1,14
2020-03-14,Michele Lepore-Hagan,1,15
2020-03-14,Mike Dewine,1,16
2020-03-14,Ryan Tekac,1,17
2020-03-14,Tony Evers,1,18
2020-03-14,Amanda Stevenson,2,1
2020-03-14,Carolyn Stanford Taylor,2,2
2020-03-14,Donald Trump,2,3
2020-03-14,Doug Franklin,2,4
2020-03-14,James Hodge Jr,2,5
2020-03-14,Los Angeles,2,6
2020-03-14,Melissa Kane,2,7
2020-03-14,Scott Bruesewitz,2,8
2020-03-15,Amy Acton,1,2
2020-03-15,Amy Ferketich,1,3
2020-03-15,Douglas Kridler,1,4
2020-03-15,Easter Bunny,1,5
2020-03-15,Emilia Sykes,1,6
2020-03-15,Fedor Manor,1,7
2020-03-15,John Kasich,1,8
2020-03-15,Meghan George,1,9
2020-03-15,Randy Ludlow,1,10
2020-03-15,Mike Dewine,2,1
2020-03-16,Shirley Jones,1,1
2020-03-17,Amy Acton,1,6
2020-03-17,Andrew Thomas,1,7
2020-03-17,Andy Thomas,1,8
2020-03-17,Dana Williams,1,9
2020-03-17,Denise Nash,1,10
2020-03-17,Mike Abrams,1,11
2020-03-17,Jennifer Kleiner,2,1
2020-03-17,Kelly Borchardt,2,2
2020-03-17,Mike Dewine,2,3
2020-03-17,Sharon Johnson,2,4
2020-03-17,Tony Evers,2,5
2020-03-18,Adam Shaw,1,1
2020-03-18,Christian Czerwonka,1,2
2020-03-18,George Howell,1,3
2020-03-18,Jesse Raub,1,4
2020-03-18,Leah Czerwonka,1,5
2020-03-18,Mike Vehar,1,6
2020-03-18,Ruby Sales,1,7
2020-03-18,Sahra Nguyen,1,8
2020-03-19,Mike Iberis,1,9
2020-03-19,Amy Acton,2,1
2020-03-19,John Palmer,2,2
2020-03-19,Lisa Hamler-Fugitt,2,3
2020-03-19,Megan Henry,2,4
2020-03-19,Mike Dewine,2,5
2020-03-19,Mount Carmel,2,6
2020-03-19,Peter Van Runkle,2,7
2020-03-19,Rodney Wilson,2,8
2020-03-20,Frank Larose,1,38
2020-03-20,James Adams,1,39
2020-03-20,Jon Husted,1,40
2020-03-20,Justice Maureen Oconnor,1,41
2020-03-20,Megan Henry,1,42
2020-03-20,Mount Carmel,1,43
2020-03-20,Nan,1,44
2020-03-20,Peter Van Runkle,1,45
2020-03-20,Reid Richmond,1,46
2020-03-20,Sarah Humphrey,1,47
2020-03-20,Sarah Odonnell,1,48
2020-03-20,Jim Schmidt,2,31
2020-03-20,John Palmer,2,32
2020-03-20,Kelly Watzka,2,33
2020-03-20,Lisa Hamler-Fugitt,2,34
2020-03-20,Matthew Krueger,2,35
2020-03-20,Mike Dewine,2,36
2020-03-20,Rodney Wilson,2,37
2020-03-20,Amy Acton,3,30
2020-03-20,Cary Spivak,4,21
2020-03-20,Deedee Peterson,4,22
2020-03-20,Devi Shastri,4,23
2020-03-20,Elliot Hughes,4,24
2020-03-20,Jeff Rumage,4,25
2020-03-20,Jim Piatt,4,26
2020-03-20,Kirsten Johnson,4,27
2020-03-20,Pointe Commons,4,28
2020-03-20,Talis Shelbourne,4,29
2020-03-20,Elliot Hughs,5,20
2020-03-20,Ben Weston,6,16
2020-03-20,John Diedrich,6,17
2020-03-20,Sarah Hauer,6,18
2020-03-20,Tom Daykin,6,19
2020-03-20,Annysa Johnson,7,12
2020-03-20,Betsy Devos,7,13
2020-03-20,Chris Bucher,7,14
2020-03-20,Madeline Heim,7,15
2020-03-20,Patrick Marley,8,11
2020-03-20,Bruce Vielmetti,9,2
2020-03-20,Chris Abele,9,3
2020-03-20,Craig Gilbert,9,4
2020-03-20,Jeanette Kowalik,9,5
2020-03-20,Louis Molepske,9,6
2020-03-20,Mary Spicuzza,9,7
2020-03-20,Natalie Brophy,9,8
2020-03-20,Ron Johnson,9,9
2020-03-20,Tom Barrett,9,10
2020-03-20,Tony Evers,10,1
2020-03-21,Alfonso Morales,1,2
2020-03-21,Annysa Johnson,1,3
2020-03-21,Ben Weston,1,4
2020-03-21,Betsy Devos,1,5
2020-03-21,Bruce Vielmetti,1,6
2020-03-21,Cary Spivak,1,7
2020-03-21,Chris Abele,1,8
2020-03-21,Chris Bucher,1,9
2020-03-21,Craig Gilbert,1,10
2020-03-21,Dan Boehm,1,11
2020-03-21,Deedee Peterson,1,12
2020-03-21,Devi Shastri,1,13
2020-03-21,Elliot Hughes,1,14
2020-03-21,Guiyou Huang,1,15
2020-03-21,Jeanette Kowalik,1,16
2020-03-21,Jeff Rumage,1,17
2020-03-21,Jim Piatt,1,18
2020-03-21,Jim Schmidt,1,19
2020-03-21,John Diedrich,1,20
2020-03-21,Kathy Rapp,1,21
2020-03-21,Kelly Watzka,1,22
2020-03-21,Kirsten Johnson,1,23
2020-03-21,Lakeview Easter,1,24
2020-03-21,Louis Molepske,1,25
