date,person,count,rn
2020-02-25,Lisa Kenworthy,1,1
2020-02-25,Pat Weixelman,1,2
2020-03-05,Bobby Jefferies,1,1
2020-03-05,James Rutter,1,2
2020-03-05,Pat Dodson,1,3
2020-03-12,Gordon Cooper,2,1
2020-03-12,Matt Stephens,2,2
2020-03-12,Nan,2,3
2020-03-13,Carla Tollett,1,1
2020-03-13,Karen Phelps,1,2
2020-03-13,Nan,1,3
2020-03-14,Gwen Gilkeson,1,1
2020-03-14,Karen Phelps,1,2
2020-03-17,Don Lynch,1,1
2020-03-17,Richard Finley,1,2
2020-03-18,Bob Copple,1,1
2020-03-18,Julie Gibbs,1,2
2020-03-18,Kristi Zears,1,3
2020-03-19,Quinton Chandler,1,1
2020-03-19,Quinton Chandler Stateimpact,1,2
2020-03-19,Ray Mcnair,1,3
2020-03-19,Robby Korth,1,4
2020-03-19,Robby Korth Stateimpact,1,5
2020-03-19,Sean Mcdaniel,1,6
2020-03-19,Steve Kunzweiler,1,7
2020-03-20,April Grace,1,1
2020-03-20,Jeannie Stover,1,2
2020-03-20,Paul Ziriax,1,3
2020-03-20,Quinton Chandler Stateimpact,1,4
2020-03-20,Ray Mcnair,1,5
2020-03-20,Robby Korth Stateimpact,1,6
2020-03-20,Sean Mcdaniel,1,7
2020-03-20,Steve Kunzweiler,1,8
2020-03-22,Anthony Healthplex,1,1
2020-03-22,Anthony Hospitalaccording,1,2
2020-03-27,Andrew Cuomo,1,1
2020-03-27,Brian Myers,1,2
2020-03-27,Daniel Trotta,1,3
2020-03-27,Deborah Birx,1,4
2020-03-27,Diana Torres,1,5
2020-03-27,Doina Chiacu,1,6
2020-03-27,Donald Trump,1,7
2020-03-27,Eric Neibart,1,8
2020-03-27,Gabriella Borter,1,9
2020-03-27,Kious Kelly,1,10
2020-03-27,Lisa Shumaker,1,11
2020-03-27,Maria Caspani,1,12
2020-03-27,Marney Gruber,1,13
2020-03-27,Nathan Layne,1,14
2020-03-27,Nick Brown,1,15
2020-03-27,Nick Oxford,1,16
2020-03-27,Rob Davidson,1,17
2020-03-27,Stephanie Kelly,1,18
2020-03-27,Tim Ahmann,1,19
2020-04-01,April Grace,1,1
2020-04-07,Lee Norman,1,11
2020-04-07,Ashley Neel,2,3
2020-04-07,Ben Salter,2,4
2020-04-07,Charlie Riedel,2,5
2020-04-07,Henry Wright,2,6
2020-04-07,James Harrod,2,7
2020-04-07,Leanne Henry Wright,2,8
2020-04-07,Muhammad Arif,2,9
2020-04-07,Richard Finley,2,10
2020-04-07,Laura Kelly,3,2
2020-04-07,Don King,4,1
2020-04-08,Don King,1,1
2020-04-08,Laura Kelly,1,2
2020-04-09,Charlie Riedel,1,1
2020-04-09,Don King,1,2
2020-04-09,Laura Kelly,1,3
2020-04-10,Laura Kelly,1,1
2020-04-12,Bobby Sloan,1,1
2020-04-12,Derek Schmidt,1,2
2020-04-12,Laura Kelly,1,3
2020-04-12,Sydney Carlin,1,4
2020-04-12,Tom Hawk,1,5
2020-04-12,Tom Phillips,1,6
2020-04-18,Angi Mohr,1,1
2020-04-18,Carla Tollett,1,2
2020-04-19,Bob Awerkamp,2,1
2020-04-19,Gregg Webster,2,2
2020-04-19,Laura Kelly,2,3
2020-04-19,Pat Weixelman,2,4
2020-04-19,Peter Clark,2,5
2020-04-19,Scott Schwinn,2,6
2020-04-19,Sherri Schuck,2,7
2020-04-21,Alex Brandon,1,1
2020-04-21,Alma Cropper,1,2
2020-04-21,Donald Trump,1,3
2020-04-21,Julio Cortez,1,4
2020-04-21,Nick Oxford,1,5
2020-04-21,Rob Davidson,1,6
2020-04-24,Kalyn Fullbright,1,1
2020-05-11,Keisha Wolf,1,1
2020-05-11,Kelli Mosteller,1,2
2020-05-14,Barbara Stanbridge,1,1
2020-05-14,Diane Ernest,1,2
2020-05-14,Nick Oxford,1,3
2020-05-14,Norelis Alvarez,1,4
