date,person,count,rn
2020-02-07,Abraham Teuber,1,1
2020-02-07,Alicia Laminu,1,2
2020-02-07,Anderson Cooper,1,3
2020-02-07,Ariel Richards,1,4
2020-02-07,Bernie Sanders,1,5
2020-02-07,David Gary,1,6
2020-02-07,Donald Trump,1,7
2020-02-07,Huandong Chang,1,8
2020-02-07,Jon Edwards,1,9
2020-02-07,Joni Ernst,1,10
2020-02-07,Karen Edwards,1,11
2020-02-07,Kexin Huang,1,12
2020-02-07,Lamar Alexander,1,13
2020-02-07,Lucia Cheng,1,14
2020-02-07,Robin Clark,1,15
2020-02-07,Shuhan Yi,1,16
2020-02-14,Alexandra Ocasio-Cortez,1,1
2020-02-14,Bernie Sanders,1,2
2020-02-14,Jew Jews,1,3
2020-02-14,Pete Buttigieg,1,4
2020-02-14,Sephardic Jews,1,5
2020-02-16,Alexandra Ocasio-Cortez,1,1
2020-02-16,Jew Jews,1,2
2020-02-16,Pete Buttigieg,1,3
2020-02-16,Sephardic Jews,1,4
2020-02-23,Bernie Sanders,1,1
2020-02-23,Donald Trump,1,2
2020-02-23,Jean Vanier,1,3
2020-02-23,Joe Biden,1,4
2020-02-23,John Choi,1,5
2020-02-23,Jose Irizarry,1,6
2020-02-23,Katrina Foley,1,7
2020-02-23,Las Vegas,1,8
2020-02-23,Mardi Gras,1,9
2020-02-23,Nadia Albulet,1,10
2020-02-23,Pete Buttigieg,1,11
2020-02-23,Robert Obrien,1,12
2020-03-05,Frank Peters,2,1
2020-03-05,Mike Richards,2,2
2020-03-06,Bennie Thompson,1,1
2020-03-06,Bernie Sanders,1,2
2020-03-06,Chris Matthews,1,3
2020-03-06,Joe Biden,1,4
2020-03-06,Jonathan Greenblatt,1,5
2020-03-06,Los Angeles,1,6
2020-03-06,Michael Smerconish,1,7
2020-03-10,Anne Basset,1,1
2020-03-10,Jorge Salinas,1,2
2020-03-10,Josh Lehman,1,3
2020-03-10,Kim Reynold,1,4
2020-03-11,Anne Basset,1,4
2020-03-11,Anne Harris,1,5
2020-03-11,Eleni Achrazoglou,1,6
2020-03-11,Elizabeth Handschy,1,7
2020-03-11,Jorge Salinas,1,8
2020-03-11,Josh Lehman,1,9
2020-03-11,Kim Reynold,1,10
2020-03-11,Leigh Zeitz,1,11
2020-03-11,Mike Richards,1,12
2020-03-11,Molly Bagnall,1,13
2020-03-11,Sandra Daack-Hirsch,1,14
2020-03-11,Ann Harris,2,1
2020-03-11,Bruce Harreld,2,2
2020-03-11,Nan,2,3
2020-03-12,Alan Campbell,1,2
2020-03-12,Dave Schipper,1,3
2020-03-12,Eleni Achrazoglou,1,4
2020-03-12,Elizabeth Handschy,1,5
2020-03-12,Kim Reynolds,1,6
2020-03-12,Leigh Zeitz,1,7
2020-03-12,Molly Bagnall,1,8
2020-03-12,Naomi Dewinter,1,9
2020-03-12,Sandra Daack-Hirsch,1,10
2020-03-12,Steve King,1,11
2020-03-12,Steven Webner,1,12
2020-03-12,Suresh Gunasekaran,1,13
2020-03-12,Tara Geddes,1,14
2020-03-12,Nan,2,1
2020-03-13,Thomas Ahart,1,1
2020-03-15,Bryan Alexander,1,1
2020-03-15,Ilan Stavans,1,2
2020-03-15,Lynn Pasquerella,1,3
2020-03-15,Regina Logan,1,4
2020-03-15,Varsha Sarveshwar,1,5
2020-03-19,Eduardo Canales,1,1
2020-03-19,Fernando Garcia,1,2
2020-03-19,Gabriela Domenzain,1,3
2020-03-19,Genevieve Leigh,1,4
2020-03-19,Los Angeles,1,5
2020-03-19,Stephen Miller,1,6
2020-03-22,Abigail Tish,1,1
2020-03-22,Amelia Tish,1,2
2020-03-22,Angie Doug Meyer,1,3
2020-03-22,Arlo Eugene Tish,1,4
2020-03-22,Arlo Tish,1,5
2020-03-22,Ashley Tish,1,6
2020-03-22,Ashtyn Tish,1,7
2020-03-22,Caleb Meyer,1,8
2020-03-22,Courtney Meyer,1,9
2020-03-22,Dustin Meyer,1,10
2020-03-22,Eugene Tish,1,11
2020-03-22,Harper Tish,1,12
2020-03-22,Helen Roger Edmundson,1,13
2020-03-22,Keith Janice Tish,1,14
2020-03-22,Laura Tish,1,15
2020-03-22,Marvin Verla Tish,1,16
2020-03-22,Mary Elnora Caudle Tish,1,17
2020-03-22,Patricia Horras,1,18
2020-03-24,Emily James,1,1
2020-03-24,Eric Weingarten,1,2
