date,person,count,rn
2020-03-29,Don Puckett,1,1
2020-03-29,Jamie Welch,1,2
2020-03-29,Libby Campbell,1,3
2020-03-29,Linda Dodd,1,4
2020-03-29,Nathan Carroll,1,5
2020-03-30,Amy Westervelt,1,1
2020-03-30,Bethany Aronhalt,1,2
2020-03-30,Clark Williams-Derry,1,3
2020-03-30,Emily Gertz,1,4
2020-03-30,Greg Rogers,1,5
2020-03-30,Lukas Ross,1,6
2020-03-30,Steve Mnuchin,1,7
2020-03-30,Theron Horton,1,8
2020-04-09,Dan Brouillette Secbrouillette,1,1
2020-04-09,Frank Macchiarola,1,2
2020-04-09,Henry Cuellar,1,3
2020-04-09,John Hoeven Senjohnhoeven,1,4
2020-04-09,Kendra Horn,1,5
2020-04-09,Lizzie Fletcher,1,6
2020-04-09,Lukas Ross,1,7
2020-04-09,Steven Winberg,1,8
2020-04-09,Tom Sanzillo,1,9
2020-04-09,Vicente Gonzalez,1,10
2020-04-09,Xochitl Torres,1,11
2020-04-10,Dan Brouillette Secbrouillette,1,1
2020-04-10,Frank Macchiarola,1,2
2020-04-10,Henry Cuellar,1,3
2020-04-10,John Hoeven Senjohnhoeven,1,4
2020-04-10,Kendra Horn,1,5
2020-04-10,Lizzie Fletcher,1,6
2020-04-10,Lukas Ross,1,7
2020-04-10,Steven Winberg,1,8
2020-04-10,Tom Sanzillo,1,9
2020-04-10,Vicente Gonzalez,1,10
2020-04-10,Xochitl Torres,1,11
2020-05-28,Bobby Lee Pottenger,1,1
2020-05-28,Bonny Dubois Alkofer,1,2
2020-05-28,Josie Burson,1,3
2020-05-28,Mary Hovsepian,1,4
2020-05-28,Patricia Byers,1,5
2020-05-28,Shelly Jenkins,1,6
