date,person,count,rn
2020-03-08,Evelyn Boswell,1,1
2020-03-08,Laura Kelly,1,2
2020-03-20,Adam Weishaar,1,1
2020-03-20,Lisa Gleason,1,2
2020-03-20,Nick Baldetti,1,3
2020-03-20,Peggy Ruebke,1,4
2020-03-21,Adam Weishaar,1,1
2020-03-21,Lisa Gleason,1,2
2020-03-21,Nick Baldetti,1,3
2020-03-21,Peggy Ruebke,1,4
2020-03-22,Nick Baldetti,1,1
2020-03-22,Rodney Mcmullen,1,2
2020-03-23,Rodney Mcmullen,1,1
2020-03-24,Nan,1,1
2020-03-25,David Alvey,1,6
2020-03-25,Adam Weishaar,2,1
2020-03-25,Darrian Campbell,2,2
2020-03-25,Jeffrey Hooper,2,3
2020-03-25,Nick Baldetti,2,4
2020-03-25,Rogena Johnson,2,5
2020-03-26,Adam Weishaar,1,1
2020-03-26,Darrian Campbell,1,2
2020-03-26,Jeffrey Hooper,1,3
2020-03-26,Michael Heck,1,4
2020-03-26,Nick Baldetti,1,5
2020-03-26,Rogena Johnson,1,6
2020-03-30,Adam Weishaar,1,1
2020-03-30,Chuck Welch,1,2
2020-03-30,Donald Trump,1,3
2020-03-30,Lisa Gleason,1,4
2020-03-30,Nick Baldetti,1,5
2020-03-30,Steven Peterman,1,6
2020-04-01,Adam Weishaar,1,1
2020-04-01,Dave Johnston,1,2
2020-04-01,Nick Baldetti,1,3
2020-04-01,Tara Ghere,1,4
2020-04-08,Adam Weishaar,1,1
2020-04-08,Bob Bush,1,2
2020-04-08,Darrian Campbell,1,3
2020-04-08,Laura Kelly,1,4
2020-04-08,Lee Norman,1,5
2020-04-08,Ron Hirst,1,6
2020-04-08,Ron Sellers,1,7
2020-04-10,Adam Weishaar,1,1
2020-04-10,Debra Teufel,1,2
2020-04-10,Lisa Gleason,1,3
2020-04-10,Nick Baldetti,1,4
2020-04-14,Nick Baldetti,1,7
2020-04-14,Susan Duffy,1,8
2020-04-14,Susan Wagle,3,6
2020-04-14,Chrissy Bartel,5,1
2020-04-14,Dave Johnston,5,2
2020-04-14,David Adams,5,3
2020-04-14,Laura Kelly,5,4
2020-04-14,Mike Pence,5,5
2020-04-15,Chrissy Bartel,1,1
2020-04-15,Dave Johnston,1,2
2020-04-15,David Adams,1,3
2020-04-15,Laura Kelly,1,4
2020-04-15,Mike Pence,1,5
2020-04-16,Danny Stickley,1,1
2020-04-16,Metro Ford,1,2
2020-04-17,Danny Stickley,1,1
2020-04-17,Metro Ford,1,2
2020-04-23,Richard Bright,1,1
2020-04-26,Lacey Depenbusch,2,1
2020-04-26,Lowell Peachey,2,2
2020-04-26,Nicole Swartz,2,3
2020-04-27,Laura Kelly,1,1
2020-04-27,Nick Baldetti,1,2
2020-04-29,Keith Schroeder,1,1
2020-05-11,Derek Schmidt,1,1
2020-05-11,Jackie Taylor,1,2
2020-05-11,John Hanna,1,3
2020-05-11,Laura Kelly,1,4
2020-05-11,Lee Norman,1,5
2020-05-11,Linda Jo Hisel,1,6
2020-05-11,Nana Jo,1,7
2020-05-11,Sam Macroberts,1,8
2020-05-12,Chuck Welch,1,1
2020-05-12,Derek Schmidt,1,2
2020-05-12,Laura Kelly,1,3
2020-05-12,Nick Baldetti,1,4
2020-05-12,Sam Macroberts,1,5
2020-05-17,Deborah Birx,1,1
2020-05-17,Donald Trump,1,2
2020-05-18,Deborah Birx,1,2
2020-05-18,Laura Kelly,1,3
2020-05-18,Lee Norman,1,4
2020-05-18,Tim Kauffman,1,5
2020-05-18,Donald Trump,2,1
2020-05-19,Mark Lawrence,1,1
2020-05-19,Timothy Whyte,1,2
2020-05-22,Derrick Schmidt,1,1
2020-05-22,Keith Schroeder,1,2
2020-05-22,Laura Kelly,1,3
2020-05-22,Nick Baldetti,1,4
