date,person,count,rn
2020-02-07,Jay Croft,2,5
2020-02-07,Joe Sutton,2,6
2020-02-07,John Bonifield,2,7
2020-02-07,Kristina Sgueglia,2,8
2020-02-07,Melissa Alonso,2,9
2020-02-07,Paul Murphy,2,10
2020-02-07,Don Silberman,8,1
2020-02-07,Jimmy Davis,8,2
2020-02-07,Phil Murphy,8,3
2020-02-07,Sherry Hosty,8,4
2020-02-08,Don Silberman,1,1
2020-02-08,Jimmy Davis,1,2
2020-02-08,Phil Murphy,1,3
2020-02-08,Sherry Hosty,1,4
2020-03-01,Brooke Rossheim,1,1
2020-03-01,Jeron Hayes,1,2
2020-03-01,John Russ,1,3
2020-03-01,Kim Jarrelle,1,4
2020-03-01,Lisa Henry,1,5
2020-03-01,Rene Daniels,1,6
2020-03-01,Scott Kizner,1,7
2020-03-05,Ralph Northam,1,1
2020-03-05,Ron Desantis,1,2
2020-03-08,Helen Shelton,1,1
2020-03-08,Karen Dufort,1,2
2020-03-08,Lilian Peake,1,3
2020-03-08,Mark Warner,1,4
2020-03-08,Sandy Bowling,1,5
2020-03-08,Tim Kaine,1,6
2020-03-10,Christa Sobon,1,1
2020-03-10,Donald Trump,1,2
2020-03-10,Eric Nickens,1,3
2020-03-10,Jessica Barfield,1,4
2020-03-10,Joyce Morley,1,5
2020-03-10,Nancy Messonnier,1,6
2020-03-10,Thomas Frieden,1,7
2020-03-14,Ralph Northam,1,1
2020-03-16,Tim Baroody,1,1
2020-03-16,Tom Foley,1,2
2020-03-17,Chris Van,1,1
2020-03-17,Tanya Brosnan,1,2
2020-03-17,Tim Brosnan,1,3
2020-03-18,Jannan Holmes,1,1
2020-03-18,Jarvis Bailey,1,2
2020-03-18,Jon Gerlach,1,3
2020-03-18,Kerry Devine,1,4
2020-03-18,Mary Katherine Greenlaw,1,5
2020-03-18,Matthew Kelly,1,6
2020-03-20,Christopher Newman,1,5
2020-03-20,Jane Mcgill,1,6
2020-03-20,Lisa Sarber,1,7
2020-03-20,Steven Mussey,1,8
2020-03-20,John Spink,2,3
2020-03-20,John Spink Atlanta,2,4
2020-03-20,Gomez Licon,3,2
2020-03-20,Jenny Harrell,4,1
2020-03-21,Gomez Licon,1,2
2020-03-21,Muriel Bowser,1,3
2020-03-21,Nan,1,4
2020-03-21,Ralph Northam,1,5
2020-03-21,Jenny Harrell,2,1
2020-03-22,Brandee Menino,1,1
2020-03-22,David Reaume,1,2
2020-03-22,Nan,1,3
2020-03-22,Ralph Northam,1,4
2020-03-22,Ray Parrish,1,5
2020-03-22,Scott Miscovich,1,6
2020-03-23,Angela Gordon,1,2
2020-03-23,Jennifer Mackowski,1,3
2020-03-23,Keri Walker,1,4
2020-03-23,Laura Peters,1,5
2020-03-23,Marci Catlett,1,6
2020-03-23,Mehmet Oz,1,7
2020-03-23,Sarah Calveric,1,8
2020-03-23,Sean Perkins,1,9
2020-03-23,Stevenson Ridge,1,10
2020-03-23,Valerie Kettl,1,11
2020-03-23,Ralph Northam,3,1
2020-03-24,Florence Barnick,1,1
2020-03-25,Angie Gunter,1,1
2020-03-25,Sandy Hausman,1,2
2020-03-27,Julian Walker,1,1
2020-03-27,Ralph Northam,1,2
2020-03-27,Steve Helber,1,3
2020-03-27,Thomas Tsai,1,4
2020-03-29,Allison Balmes John,1,1
2020-03-29,Balmes John,1,2
2020-03-29,Brad King,1,3
2020-03-29,Christopher Newman,1,4
2020-03-29,Jael Cooper,1,5
2020-03-29,Steven Mussey,1,6
2020-03-30,David Cooper,1,1
2020-03-30,Elizabeth Borst,1,2
2020-03-30,Janet Gullickson,1,3
2020-03-30,Jerry Williams,1,4
2020-03-30,Latoya Brown,1,5
2020-03-30,Michael Elliott,1,6
2020-03-30,Nan,1,7
2020-03-30,Patti Lisk,1,8
2020-03-30,Ralph Northam,1,9
2020-03-30,Sheila Knapp,1,10
2020-03-31,Bon Secours,1,1
2020-03-31,Bridget Balch,1,2
2020-03-31,Danny Avula,1,3
2020-03-31,Janet Gullickson,1,4
2020-03-31,Jeff Caldwell,1,5
2020-03-31,John Starcher,1,6
2020-03-31,Justin Mattingly,1,7
2020-03-31,Larry Hogan,1,8
2020-03-31,Levar Stoney,1,9
2020-03-31,Mark Rausch,1,10
2020-03-31,Mel Leonor,1,11
2020-03-31,Nan,1,12
2020-03-31,Patrick Wilson,1,13
2020-03-31,Patti Lisk,1,14
2020-03-31,Paul Whelan,1,15
2020-03-31,Ralph Northam,1,16
2020-03-31,Roy Cooper,1,17
2020-04-01,Alexander Samuel,1,14
2020-04-01,Amy Umberger,1,15
2020-04-01,Billy Miller,1,16
2020-04-01,Cynthia Brown,1,17
2020-04-01,Danny Avula,1,18
2020-04-01,Jack Mckinley,1,19
2020-04-01,Jennifer Greven,1,20
2020-04-01,Joni Rozell,1,21
2020-04-01,Karen Miller,1,22
2020-04-01,Kate Waller Barrett,1,23
2020-04-01,Kerstie Irving,1,24
2020-04-01,Nan,1,25
2020-04-01,Shelly Metz,1,26
2020-04-01,Spotsylvania Courtland,1,27
2020-04-01,Bon Secours,2,2
2020-04-01,Bridget Balch,2,3
2020-04-01,Jeff Caldwell,2,4
2020-04-01,John Starcher,2,5
2020-04-01,Justin Mattingly,2,6
2020-04-01,Larry Hogan,2,7
2020-04-01,Levar Stoney,2,8
2020-04-01,Mark Rausch,2,9
2020-04-01,Mel Leonor,2,10
2020-04-01,Patrick Wilson,2,11
2020-04-01,Paul Whelan,2,12
2020-04-01,Roy Cooper,2,13
2020-04-01,Ralph Northam,4,1
2020-04-02,Mark Rausch,1,1
2020-04-02,Ralph Northam,1,2
2020-04-03,Harrell Catron,1,3
2020-04-03,Jenny Harrell,1,4
2020-04-03,Jenny Harrell Catron,1,5
2020-04-03,Jim Nevis,1,6
2020-04-03,Kelea Nevis,1,7
2020-04-03,Martha Turner Bradbury,1,8
2020-04-03,Ralph Northam,1,9
2020-04-03,Ryan Sheehan,1,10
2020-04-03,Tim Baroody,1,11
2020-04-03,Kevin Sheehan,2,1
2020-04-03,Tom Sheehan,2,2
2020-04-05,Donald Trump,1,1
2020-04-05,Ralph Northam,1,2
2020-04-06,Christopher Newman,1,6
2020-04-06,Debra Howe,2,4
2020-04-06,Ralph Northam,2,5
2020-04-06,Josh Cole,4,1
2020-04-06,Marceline Catlett,4,2
