date,person,count,rn
2020-02-16,Natalie Baker,1,1
2020-03-12,Laura Lenderman,1,1
2020-03-15,James Fuller,1,1
2020-03-15,Mike Morath,1,2
2020-03-15,Orlando Riddick,1,3
2020-03-15,Rick Davis,1,4
2020-03-15,Trevor Hawes,1,5
2020-03-17,Chris Hill,1,1
2020-03-17,Donald Trump,1,2
2020-03-17,Emily Davis,1,3
2020-03-17,George Fuller,1,4
2020-03-17,Greg Abbott,1,5
2020-03-24,Arne Sorenson,1,1
2020-03-24,Donald Trump,1,2
2020-03-24,Franklin Delano Roosevelt,1,3
2020-03-24,Jerome Powell,1,4
2020-03-24,Mitch Mcconnell,1,5
2020-03-24,Nick Massad Jr,1,6
2020-03-24,Scott Austin,1,7
2020-03-24,Steven Mnuchin,1,8
2020-03-26,Fritz Faulkner,1,1
2020-03-26,Jay Knight,1,2
2020-03-26,Jimmy Sylvia,1,3
2020-03-26,Lina Hidalgo,1,4
2020-03-26,Mark Henry,1,5
2020-03-26,Mark Keough,1,6
2020-04-01,Dhitinut Ratnapradipa,1,1
2020-04-01,Lonnie Hibbard,1,2
2020-04-03,Chris Cassidy,1,1
2020-04-03,Darren Williams,1,2
2020-04-03,Derek Tournear,1,3
2020-04-03,Donald Trump,1,4
2020-04-03,James Langer,1,5
2020-04-03,Joe Biden,1,6
2020-04-03,John Raymond,1,7
2020-04-03,John Venable,1,8
2020-04-03,Las Vegas,1,9
2020-04-03,Michael Jarvis,1,10
2020-04-03,Robert Towberman,1,11
2020-04-03,Yuri Gagarin,1,12
2020-04-04,Darren Williams,1,1
2020-04-08,Allen Wiese,1,1
2020-04-08,Bob Colwell,1,2
2020-04-11,Aumari Lusk,1,1
2020-04-11,Cameryn Mitchell,1,2
2020-04-11,Dorian Coleman,1,3
2020-04-11,Dylan Robbins,1,4
2020-04-11,Kenzi Turner,1,5
2020-04-11,Reagan Collins,1,6
2020-04-11,Wrenden Bowers,1,7
2020-04-12,Aumari Lusk,1,1
2020-04-12,Cameryn Mitchell,1,2
2020-04-12,Dorian Coleman,1,3
2020-04-12,Dylan Robbins,1,4
2020-04-12,Jason Riley,1,5
2020-04-12,Jimmy Henry,1,6
2020-04-12,Kenzi Turner,1,7
2020-04-12,Mary Henry,1,8
2020-04-12,Pamela Zelbst,1,9
2020-04-12,Reagan Collins,1,10
2020-04-12,Wrenden Bowers,1,11
2020-04-14,A M-San Antonio,1,2
2020-04-14,John Cornyn,2,1
2020-04-16,Jason Riley,1,1
2020-04-24,Bob Bashaw,1,1
2020-04-24,Dana Hoyt,1,2
2020-04-24,Davina Morris,1,3
2020-04-24,Holly Anderson,1,4
2020-04-24,Janett Lewis,1,5
2020-04-24,Jeff Reed,1,6
2020-04-24,Mike Claude,1,7
2020-04-24,Van Bush,1,8
2020-04-28,Allison Harbison Shelby,1,1
2020-04-28,Ashley Holme,1,2
2020-04-28,Brandon Reynolds,1,3
2020-04-28,Cecile Guldbrandsen,1,4
2020-04-28,Charlotte Gausland,1,5
2020-04-28,Danny Pierce,1,6
2020-04-28,Daryl Melton Sabine,1,7
2020-04-28,Don Lymbery Angelina,1,8
2020-04-28,Donald Trump,1,9
2020-04-28,Elaine Stevens,1,10
2020-04-28,Greg Sowell Nacogdoches,1,11
2020-04-28,Hector Gonzalez,1,12
2020-04-28,Jason Fochtman,1,13
2020-04-28,Jason Spencer,1,14
2020-04-28,Ken Miller,1,15
2020-04-28,Lina Hidalgo,1,16
2020-04-28,Mark Allen Jasper,1,17
2020-04-28,Mary Benton,1,18
2020-04-28,Monique Hewan,1,19
2020-04-28,Steve Hotze,1,20
2020-04-28,Sylvester Turner,1,21
2020-04-28,Yi-Chin Lee,1,22
2020-04-30,Dana Hoyt,1,1
2020-05-13,David Montgomery,1,12
2020-05-13,Eli Hartman,1,13
2020-05-13,Manny Fernandez,1,14
2020-05-13,Wyatt Winn,1,15
2020-05-13,Ed Scruggs,2,1
2020-05-13,Eli Hartman Odessa,2,2
2020-05-13,Fritz Faulkner,2,3
2020-05-13,Greg Abbott,2,4
2020-05-13,Gretchen Whitmer,2,5
2020-05-13,Jamie Williams,2,6
2020-05-13,Jared Woodfill,2,7
2020-05-13,Ken Paxton,2,8
2020-05-13,Mike Griffis,2,9
2020-05-13,Philip Archibald,2,10
2020-05-13,Shelley Luther,2,11
2020-05-14,Eli Hartman,1,11
2020-05-14,Eli Hartman Odessa,1,12
2020-05-14,Wyatt Winn,1,13
2020-05-14,Ed Scruggs,2,1
2020-05-14,Fritz Faulkner,2,2
2020-05-14,Greg Abbott,2,3
2020-05-14,Gretchen Whitmer,2,4
2020-05-14,Jamie Williams,2,5
2020-05-14,Jared Woodfill,2,6
2020-05-14,Ken Paxton,2,7
2020-05-14,Mike Griffis,2,8
2020-05-14,Philip Archibald,2,9
2020-05-14,Shelley Luther,2,10
2020-05-21,Casa Ortiz,1,1
2020-05-21,Dwaine Cox,1,2
2020-05-21,Eidy Martinez,1,3
2020-05-21,El Sinaloense,1,4
2020-05-21,Erik Prado,1,5
2020-05-21,Gracie Ortiz,1,6
2020-05-21,Greg Abbott,1,7
2020-05-21,Karen Carlon,1,8
2020-05-21,Maria Ortiz,1,9
2020-05-21,Pollo Martinez,1,10
