date,person,count,rn
2020-03-18,Nan,1,1
2020-03-26,Brad Whit,1,1
2020-03-26,Brad White,1,2
2020-03-26,Deputy Hunter Hemphill,1,3
2020-03-26,Deputy Newman,1,4
2020-03-26,Michael Newman,1,5
2020-03-26,Shawn Smith,1,6
2020-04-25,Albert Camus,1,1
2020-04-25,Amy Walker,1,2
2020-04-25,Brian Kemp,1,3
2020-04-25,Henry Mcmaster,1,4
2020-04-25,John Tecklenburg,1,5
2020-04-25,Kathleen Cartmell,1,6
2020-04-25,Mike Schmidt,1,7
2020-04-25,Scott Shor,1,8
2020-04-25,Tristram Hyde,1,9
2020-06-06,Andy Welch,1,1
2020-06-06,Attania Jean,1,2
2020-06-06,Brad Raffensperger,1,3
2020-06-06,Brian Mcgee,1,4
2020-06-06,Brian Strickland,1,5
2020-06-06,Carlotta Harrell,1,6
2020-06-06,Clint Crowe,1,7
2020-06-06,Dale Rutledge,1,8
2020-06-06,Darius Pattillo,1,9
2020-06-06,David Curry,1,10
2020-06-06,David Knight,1,11
2020-06-06,Deborah Sykes,1,12
2020-06-06,Demetrius Douglas,1,13
2020-06-06,Devlin Cleveland,1,14
2020-06-06,Donald Cleveland,1,15
2020-06-06,Donald Trump,1,16
2020-06-06,Ebony Carter,1,17
2020-06-06,El-Mahdi Holly,1,18
2020-06-06,Emanuel Jones,1,19
2020-06-06,Eric Wilson,1,20
2020-06-06,Gazzara Ricardo Hill,1,21
2020-06-06,Gewel Richardson,1,22
2020-06-06,Greg Shealey,1,23
2020-06-06,Holly Cobb,1,24
2020-06-06,Jack Redlinger,1,25
2020-06-06,Joe Biden,1,26
2020-06-06,Joe Mack Eckler,1,27
2020-06-06,John Dewberry,1,28
2020-06-06,Johnny Wilson,1,29
2020-06-06,Josh Hinton,1,30
2020-06-06,Karen Mathiak,1,31
2020-06-06,Keith Mcbrayer,1,32
2020-06-06,Loletha Hale,1,33
2020-06-06,Makenzie Mcdaniel,1,34
2020-06-06,Maurice Raeford,1,35
2020-06-06,Pam Nutt,1,36
2020-06-06,Pam Stephenson,1,37
2020-06-06,Pamela Bettis,1,38
2020-06-06,Regina Lewis,1,39
2020-06-06,Reginald Scandrett,1,40
2020-06-06,Ron Walker,1,41
2020-06-06,Sandra Scott,1,42
2020-06-06,Sharon Mcmeans,1,43
2020-06-06,Sheila Henley,1,44
2020-06-06,Steve Richardson,1,45
2020-06-06,Tarji Leonard Dunn,1,46
2020-06-06,Tina Marie Coria,1,47
2020-06-06,Vanessa Thomas,1,48
2020-06-06,William Harris,1,49
2020-06-06,Willie Brown,1,50
2020-06-11,Ann Wittenberg,1,1
2020-06-11,Ben Nelms,1,2
2020-06-11,Charles Oddo,1,3
2020-06-11,Christy Dunkelberger,1,4
2020-06-11,Cornelius Neil Sullivan,1,5
2020-06-11,Darryl Hicks,1,6
2020-06-11,Debra Bazemore,1,7
2020-06-11,Eric Maxwell,1,8
2020-06-11,Kenneth Ken Kincaid,1,9
2020-06-11,Lee Hearn,1,10
2020-06-11,Marcy Westmoreland Sakrison,1,11
2020-06-11,Natalie Ashman,1,12
2020-06-11,Pamela Patterson,1,13
2020-06-11,Philip Singleton,1,14
2020-06-11,Randy Ognio,1,15
2020-06-11,Scott Hollowell,1,16
2020-06-11,Sonja Gibson,1,17
2020-06-11,Steve Rapson,1,18
