date,person,count,rn
2020-03-03,Jeff Duchin,1,1
2020-03-03,Kathy Lofy,1,2
2020-03-03,Kelli Hawkins,1,3
2020-03-16,Anthony Green,1,1
2020-03-16,Charlotte Baumgartner,1,2
2020-03-16,Cyddee Abell,1,3
2020-03-16,Desiree Piche,1,4
2020-03-16,Julian Laplante,1,5
2020-03-16,Kaci Payne,1,6
2020-03-16,Lisa Henshaw,1,7
2020-03-16,Maci Barron,1,8
2020-03-16,Paula Ballard,1,9
2020-03-16,Rebecca Arnett,1,10
2020-03-16,Terrie Myers,1,11
2020-03-22,Ryan Irvin,1,1
2020-03-27,Karen Shelton,1,1
2020-03-28,Nan,1,1
2020-03-29,Karen Shelton,1,1
2020-03-31,Karen Shelton,1,1
2020-04-01,Dona Greiner,1,1
2020-04-01,Dona Greiner Dona Greiner,1,2
2020-04-01,Karen Shelton,1,3
2020-04-01,Keith Barker,1,4
2020-04-01,Marshall Hoffman,1,5
2020-04-03,Liz Bauer,1,1
2020-04-03,Michael Cantrell-Smith,1,2
2020-04-03,Mike Bauer,1,3
2020-04-06,Karen Shelton,1,1
2020-04-06,Ralph Northam,1,2
2020-04-14,Jason Huikko,1,1
2020-04-14,Marshall Hoffman,1,2
2020-04-19,Cathy Mcmorris Rodgers,1,1
2020-04-19,Chris Reykdal,1,2
2020-04-19,Cindy Aden,1,3
2020-04-19,Debra Hansen,1,4
2020-04-19,Nils Johnson,1,5
2020-04-19,Russ Elliott,1,6
2020-04-21,Cathy Mcmorris Rodgers,1,1
2020-04-21,Chris Reykdal,1,2
2020-04-21,Cindy Aden,1,3
2020-04-21,Debra Hansen,1,4
2020-04-21,Doug Burgum,1,5
2020-04-21,Nils Johnson,1,6
2020-04-21,Russ Elliott,1,7
2020-04-23,Jay Inslee,1,3
2020-04-23,Nate Smith,1,4
2020-04-23,Terah Altman,1,5
2020-04-23,Asa Hutchinson,2,1
2020-04-23,Steven Mnuchin,2,2
2020-04-24,Mike Preston,1,4
2020-04-24,Asa Hutchinson,2,1
2020-04-24,Nate Smith,2,2
2020-04-24,Steven Mnuchin,2,3
2020-04-25,Charlie Riedel,1,5
2020-04-25,Asa Hutchinson,2,1
2020-04-25,Mike Preston,2,2
2020-04-25,Nate Smith,2,3
2020-04-25,Steven Mnuchin,2,4
2020-04-26,Asa Hutchinson,1,1
2020-04-26,Mike Preston,1,2
2020-04-26,Nate Smith,1,3
2020-04-26,Steven Mnuchin,1,4
2020-04-27,Asa Hutchinson,1,1
2020-04-27,Mike Preston,1,2
2020-04-27,Nate Smith,1,3
2020-04-27,Steven Mnuchin,1,4
2020-05-05,Karen Skoog,1,1
2020-05-05,Steve Parker,1,2
2020-05-06,Raymond Pennington,1,1
2020-05-06,Roger Morris,1,2
2020-05-07,Ann Stehn,1,1
2020-05-07,Bob Kopitzke,1,2
2020-05-07,Jay Inslee,1,3
2020-05-07,Lisa Brown,1,4
2020-05-07,Mark Larson,1,5
2020-05-07,Nadine Woodward,1,6
2020-05-07,Randy Ross,1,7
2020-05-07,Tom Banse,1,8
2020-05-09,Mori Kessler,1,1
2020-05-09,Roger Carter,1,2
2020-05-11,John Wiesman,1,1
2020-05-11,Wes Mccart,1,2
2020-05-12,Bob Hamlin,1,1
2020-05-12,Jay Inslee,1,2
2020-05-12,Tara Lee,1,3
2020-05-14,Blaine Hill,1,1
2020-05-14,Marshall Hoffman,1,2
2020-05-14,Sandeep Kotala,1,3
2020-05-14,Sandeep Kotala Morris,1,4
2020-05-20,Andy Beshear,1,1
2020-05-20,Derek Schmidt,1,2
2020-05-20,Greg Fischer,1,3
2020-05-20,Justin Walker,1,4
2020-05-20,Kevin Wilson,1,5
2020-05-20,Laura Kelly,1,6
2020-05-20,Rand Paul,1,7
2020-05-20,William Barr,1,8
2020-05-23,Caroline Mccarley,1,1
2020-05-23,Dana Hilliard,1,2
2020-05-23,Larry Gadbois,1,3
2020-05-23,Patricia Violette,1,4
2020-06-12,Megan Godfrey,1,1
2020-06-22,Steven Mnuchin,1,1
