date,person,count,rn
2020-03-11,Lisa Marshall,1,1
2020-03-11,Mike Parson,1,2
2020-03-12,Nan,1,1
2020-03-14,Claudette Riley,1,1
2020-03-18,Edd Akers,1,1
2020-03-18,Mike Parson,1,2
2020-03-31,Ben Sasse,1,1
2020-03-31,Jerry Moran,1,2
2020-03-31,Josh Hawley,1,3
2020-03-31,Mike Parson,1,4
2020-03-31,Pat Roberts,1,5
2020-03-31,Roy Blunt,1,6
2020-04-05,Jeff Seifried,1,1
2020-04-05,Paul Henning,1,2
2020-04-10,Marilyn Prosser,1,1
2020-04-10,Steve Edwards,1,2
2020-04-10,William Mahoney,1,3
2020-04-11,Betty Jean,1,1
2020-04-11,Brad Bettlach,1,2
2020-04-11,Brayden Lowe,1,3
2020-04-11,Chris Lowe,1,4
2020-04-11,Donald Max Biggerstaff,1,5
2020-04-11,Donna Butler,1,6
2020-04-11,Donna Mcwhorter,1,7
2020-04-11,Glen Mccullough,1,8
2020-04-11,John Lowe,1,9
2020-04-11,Kevin Lowe,1,10
2020-04-11,Madison Lowe,1,11
2020-04-11,Nancy Bennett,1,12
2020-04-11,Roger Goliday,1,13
2020-04-11,Rolly Francis,1,14
2020-04-11,Wade Boyd,1,15
2020-04-17,Nan,1,1
2020-04-28,Ashlyn Ohara,2,1
2020-04-28,Herb Kuhn,2,2
2020-04-28,Mike Parson,2,3
2020-04-28,Rob Dixon,2,4
2020-04-28,Todd Richardson,2,5
2020-05-05,Brad Thomas,1,1
2020-05-05,Chris Lebeck,1,2
2020-05-05,Donald Trump,1,3
2020-05-05,Edd Akers,1,4
2020-05-05,Jeff Seifried,1,5
2020-05-05,Lisa Marshall,1,6
2020-05-05,Mike Parson,1,7
2020-05-08,Donna Neeley,1,1
2020-05-08,Mike Parson,1,2
2020-05-11,Brian Fogle,1,1
2020-05-12,David Stoeffler,1,2
2020-05-12,Brian Fogle,2,1
2020-05-22,Eric Schmitt,1,1
