date,person,count,rn
2020-02-03,Jay Inslee,1,1
2020-02-09,Andrew Breitbart,1,1
2020-02-09,Andrew Mccabe,1,2
2020-02-09,Andrew Oreilly,1,3
2020-02-09,Andy Ngo Mrandyngo,1,4
2020-02-09,Anugrah Kumar,1,5
2020-02-09,Ben Carson,1,6
2020-02-09,Bernie Sander,1,7
2020-02-09,Bernie Sanders,1,8
2020-02-09,Bobby Jindal,1,9
2020-02-09,Brandon Brown,1,10
2020-02-09,Carly Fiorina,1,11
2020-02-09,Charlie Daniels,1,12
2020-02-09,Chris Christie,1,13
2020-02-09,Chris Martin,1,14
2020-02-09,Dany Shoham,1,15
2020-02-09,David Kithcart,1,16
2020-02-09,Diane Jacobson,1,17
2020-02-09,Dominick Mastrangelo,1,18
2020-02-09,Donald Trump,1,19
2020-02-09,Elizabeth Warren Pollyanna,1,20
2020-02-09,Fidel Castro,1,21
2020-02-09,Jeb Bush,1,22
2020-02-09,Joe Biden,1,23
2020-02-09,Joe Hoft,1,24
2020-02-09,John Kasich,1,25
2020-02-09,Juan Guaido,1,26
2020-02-09,Karl Marx,1,27
2020-02-09,Kirk Douglas,1,28
2020-02-09,Lindsey Graham,1,29
2020-02-09,Matt Rhodes,1,30
2020-02-09,Michael Kunzelman,1,31
2020-02-09,Mike Huckabee,1,32
2020-02-09,Mitt Romney,1,33
2020-02-09,Nicolas Maduro,1,34
2020-02-09,Peter Strzok,1,35
2020-02-09,Rand Paul,1,36
2020-02-09,Rick Perry,1,37
2020-02-09,Robby Mook,1,38
2020-02-09,Scott Walker,1,39
2020-02-09,Shane Burley,1,40
2020-02-09,Ted Cruz,1,41
2020-02-09,Theodore Roosevelt,1,42
2020-02-09,Tiana Lowe,1,43
2020-02-09,Tom Perez,1,44
2020-02-09,Yasmin Rasidi,1,45
2020-02-25,Amy Herold,1,1
2020-02-25,Christina Harris,1,2
2020-02-25,Jason Mcdonald,1,3
2020-02-25,Karen Relucio,1,4
2020-02-25,Marianne Obenchain,1,5
2020-02-26,Alex Hay,1,1
2020-02-26,Alexander Wever,1,2
2020-02-26,Colleen Coyne,1,3
2020-02-26,Donald Trump,1,4
2020-02-26,Gaid Lefol,1,5
2020-02-26,Ian Jefferds,1,6
2020-02-26,Jason Huffman,1,7
2020-02-26,Las Vegas,1,8
2020-02-26,Margaret Pilaro,1,9
2020-02-26,Phil Hogan,1,10
2020-02-26,Robert Lighthizer,1,11
2020-02-26,Robert Rheault,1,12
2020-02-26,Scott Gottlieb,1,13
2020-02-26,Thomas Kehoe,1,14
2020-02-28,Andrea Brown,1,1
2020-02-28,Bob Ferguson,1,2
2020-02-28,Daisy Zavala,1,3
2020-02-28,David Gutman,1,4
2020-02-28,Donald Trump,1,5
2020-02-28,Everett Herald,1,6
2020-02-28,Herald Rachel,1,7
2020-02-28,Jim Camden,1,8
2020-02-28,Mark Roe,1,9
2020-02-28,Ned Lamont,1,10
2020-02-28,Rachel Riley,1,11
2020-02-29,Andrew Harnik,1,9
2020-02-29,Andrew Selsky,1,10
2020-02-29,Amy Reynolds,3,1
2020-02-29,Donald Trump,3,2
2020-02-29,Gavin Newsom,3,3
2020-02-29,Gillian Flaccus,3,4
2020-02-29,James Watt,3,5
2020-02-29,Jay Inslee,3,6
2020-02-29,Jeffrey Duchin,3,7
2020-02-29,Kayse Dahl,3,8
2020-03-01,Alex Azar,1,10
2020-03-01,Donald Trump,1,11
2020-03-01,Elaine Thompson,1,12
2020-03-01,Mike Pence,1,13
2020-03-01,Andrew Selsky,2,8
2020-03-01,Ellie Basham,2,9
2020-03-01,Frank Riedo,4,5
2020-03-01,Gavin Newsom,4,6
2020-03-01,Stephen Hahn,4,7
2020-03-01,Amy Reynolds,5,1
2020-03-01,Gillian Flaccus,5,2
2020-03-01,Jay Inslee,5,3
2020-03-01,Kayse Dahl,5,4
2020-03-02,Andrew Cuomo,1,5
2020-03-02,David Ryder Getty,1,6
2020-03-02,Fred Hutch,1,7
