date,person,count,rn
2020-04-01,Jeannie Alexander,1,1
2020-04-01,Trousdale Turner,1,2
2020-04-10,Andy Beshear,1,1
2020-04-10,Cathy Bethel,1,2
2020-04-10,Curtis Mcgehee,1,3
2020-04-10,Cuyahoga Cleveland,1,4
2020-04-10,Jack Whitfield,1,5
2020-04-10,James Smith,1,6
2020-04-10,Jason Lovins,1,7
2020-04-10,Joe Sonka,1,8
2020-04-10,Mason Barnes,1,9
2020-04-11,Andy Beshear,1,1
2020-04-11,Cathy Bethel,1,2
2020-04-11,Curtis Mcgehee,1,3
2020-04-11,Cuyahoga Cleveland,1,4
2020-04-11,Jack Whitfield,1,5
2020-04-11,James Smith,1,6
2020-04-11,Jason Lovins,1,7
2020-04-11,Joe Sonka,1,8
2020-04-11,Mason Barnes,1,9
2020-05-02,David Lee,1,1
2020-05-02,Kathleen Konop,1,2
2020-05-02,Keith Ivens,1,3
2020-05-02,Susan Vermillion,1,4
2020-05-02,Trousdale Turner,1,5
2020-05-07,Amanda Gilchrist,1,1
2020-05-07,Brenda Gilmore,1,2
2020-05-07,Ronnie Johnson,1,3
2020-05-07,Trousdale Turner,1,4
2020-05-08,Bill Lee,1,1
2020-05-08,Jeffrey Holmes,1,2
2020-05-08,Lisa Piercey,1,3
2020-05-08,Mark Ezell,1,4
2020-05-08,Trousdale Turner,1,5
2020-05-13,Pete Ricketts,1,1
2020-05-19,Nan,1,1
