date,person,count,rn
2020-02-05,Amy Klobuchar,1,1
2020-02-05,Bernie Sanders,1,2
2020-02-05,Donald Trump,1,3
2020-02-05,Elizabeth Warren,1,4
2020-02-05,Jerry Sinift,1,5
2020-02-05,Joe Biden,1,6
2020-02-05,John Deere,1,7
2020-02-05,Karen Haught,1,8
2020-02-05,Los Angeles,1,9
2020-02-05,Michelle Nash,1,10
2020-02-05,Pete Buttigieg,1,11
2020-02-05,Yaneth Lopez Valladares,1,12
2020-02-12,Nan,1,1
2020-02-13,Christopher Greer,1,1
2020-02-13,Christopher Greer Tulare,1,2
2020-02-13,Gordon Hinkle,1,3
2020-02-13,Maylinn Xu,1,4
2020-02-13,Tapatia Tortilleria,1,5
2020-02-17,Cheng Jingye,1,1
2020-02-17,Christina Evans,1,2
2020-02-17,Daniel Alman,1,3
2020-02-17,David Blackmon,1,4
2020-02-17,David Solway,1,5
2020-02-17,Daxton Nichols,1,6
2020-02-17,Dean Koontz,1,7
2020-02-17,Eddie Cochran,1,8
2020-02-17,Elise Cooper,1,9
2020-02-17,Hassan Mahmoudi,1,10
2020-02-17,Jim Hoft,1,11
2020-02-17,John Cornyn,1,12
2020-02-17,Kate Whithead,1,13
2020-02-17,Kent Alexander,1,14
2020-02-17,Kevin Salwen,1,15
2020-02-17,Laura Barron-Lopez,1,16
2020-02-17,Les Ouchida,1,17
2020-02-17,Lorie Konish,1,18
2020-02-17,Maliki Skowroski,1,19
2020-02-17,Mike Bloomberg,1,20
2020-02-17,Richard Jewell,1,21
2020-02-17,Ted Cruz,1,22
2020-02-17,William Gairdner,1,23
2020-02-19,Amy Klobuchar,1,1
2020-02-19,Bernie Sanders,1,2
2020-02-19,Donald Trump,1,3
2020-02-19,Elizabeth Warren,1,4
2020-02-19,Eric Kroutil,1,5
2020-02-19,Joe Biden,1,6
2020-02-19,John Rood,1,7
2020-02-19,Los Angeles,1,8
2020-02-19,Mike Bloomberg,1,9
2020-02-19,Pete Buttigieg,1,10
2020-02-19,Rod Blagojevich,1,11
2020-02-20,Arte Moreno,1,1
2020-02-20,Gavin Newsom,1,2
2020-02-20,Glenn Yasuda,1,3
2020-02-20,Jill Cowan,1,4
2020-02-20,Larry Ellison,1,5
2020-02-20,Las Vegas,1,6
2020-02-20,Los Angeles,1,7
2020-02-20,Mark Baldassare,1,8
2020-02-20,Raphael Sonenshein,1,9
2020-02-26,Robert Hanson,1,1
2020-02-26,Tammie Weyker,1,2
2020-02-27,Michelle Corson,1,1
2020-02-27,Scott Cousins,1,2
2020-02-27,Terri Mccrery,1,3
2020-02-28,Terri Mccrery,1,1
2020-03-02,Julia Irwin,1,1
2020-03-02,Melinda Morales,1,2
2020-03-02,Sara Cody,1,3
2020-03-02,Tammie Weyker-Adkins,1,4
2020-03-02,Trevor Bedford,1,5
2020-03-04,Jeffery Hudson-Covolo,1,1
2020-03-04,Johns Hopkins,1,2
2020-03-04,Kaweah Delta,1,3
2020-03-04,Shawn Elkin,1,4
2020-03-04,Teri Boggess,1,5
2020-03-05,Barack Obama,1,1
2020-03-05,Bernie Sanders,1,2
2020-03-05,Darrell Issa,1,3
2020-03-05,David Alvarez,1,4
2020-03-05,Donald Trump,1,5
2020-03-05,Elizabeth Warren,1,6
2020-03-05,Hillary Clinton,1,7
2020-03-05,Jess Durfee,1,8
2020-03-05,Jim Debello,1,9
2020-03-05,Joe Biden,1,10
2020-03-05,Ken Stone,1,11
2020-03-05,Kevin Faulconer,1,12
2020-03-05,Lorena Gonzalez,1,13
2020-03-05,Los Angeles,1,14
2020-03-05,Mike Bloomberg,1,15
2020-03-05,Mike Levin,1,16
2020-03-05,Nancy Casady,1,17
2020-03-05,Scott Peters,1,18
2020-03-07,Richard Galanti,1,1
2020-03-12,Kelly Ricaurte,1,5
2020-03-12,Melinda Treadwell,1,6
2020-03-12,Robert Malay,1,7
2020-03-12,Frank Machado,2,1
2020-03-12,Laura Schroepfer,2,2
2020-03-12,Walter Togni,2,3
2020-03-12,William Rutherford,2,4
2020-03-13,Amy Shuklian,2,1
2020-03-13,Gavin Newsom,2,2
2020-03-13,Karen Elliot,2,3
2020-03-13,Karen Haught,2,4
2020-03-13,Timothy Luttz,2,5
2020-03-14,Donald Trump,1,1
2020-03-14,Gary Herbst,1,2
2020-03-14,Karen Haught,1,3
2020-03-14,Kaweah Delta,1,4
2020-03-14,Tammie Weyker-Adkins,1,5
2020-03-15,Aspen Snowmass,1,1
2020-03-15,Chris Wellhausen,1,2
2020-03-15,Rob Katz,1,3
2020-03-15,Sea Girt,1,4
2020-03-15,Whistler Blackcomb,1,5
2020-03-16,Allison Levitsky,1,7
2020-03-16,Andrew Yang,1,8
2020-03-16,Bernie Sanders,1,9
2020-03-16,Beth Ruyak,1,10
2020-03-16,Bill Stern,1,11
2020-03-16,Brian Young,1,12
2020-03-16,Calmatter Ben Christopher,1,13
2020-03-16,Calmatter Jackie Botts,1,14
2020-03-16,Carl Brickey,1,15
2020-03-16,Carla Marinucci,1,16
2020-03-16,Colleen Shalby,1,17
2020-03-16,Dale Kasler,1,18
2020-03-16,Darwin Bondgraham,1,19
2020-03-16,David Zahniser,1,20
2020-03-16,Emily Alpert Reyes,1,21
2020-03-16,Erica Hellerstein,1,22
2020-03-16,George Papadopolous,1,23
2020-03-16,Jack Gerbs,1,24
2020-03-16,Janelle Bitker,1,25
2020-03-16,Jason Pohl,1,26
2020-03-16,Jesse Shapiro,1,27
2020-03-16,Jocelyn Wiener,1,28
2020-03-16,Joe Biden,1,29
2020-03-16,John Konstin,1,30
2020-03-16,Kamala Harris,1,31
2020-03-16,Kevin Mccarthy,1,32
2020-03-16,Lee Houskeeper,1,33
2020-03-16,Lily Adams,1,34
2020-03-16,London Breed,1,35
2020-03-16,Margaret Heidenry,1,36
2020-03-16,Maria Bartiromo,1,37
2020-03-16,Matthew Ormseth,1,38
2020-03-16,Megan Cassidy,1,39
2020-03-16,Meredith Carey,1,40
2020-03-16,Michael Finch,1,41
2020-03-16,Michael Hiltzik,1,42
2020-03-16,Nigel Duara,1,43
2020-03-16,Nina Agrawal,1,44
2020-03-16,Rachel Schindler,1,45
2020-03-16,Rong-Gong Lin,1,46
2020-03-16,Ryan Lizza,1,47
2020-03-16,Santa Barbara,1,48
2020-03-16,Sara Cody,1,49
2020-03-16,Sea Girt,1,50
2020-03-16,Devin Nunes R-Tulare,2,5
2020-03-16,Luis Obispo,2,6
2020-03-16,Anthony Fauci,3,3
2020-03-16,Las Vegas,3,4
2020-03-16,Devin Nunes,4,1
2020-03-16,Gavin Newsom,4,2
2020-03-17,Nan,1,12
2020-03-17,Anthony Fauci,2,4
2020-03-17,Devin Nunes,2,5
2020-03-17,Donald Trump,2,6
2020-03-17,Gabrielle Canon,2,7
2020-03-17,James Ward,2,8
2020-03-17,John Bacon,2,9
2020-03-17,Justice Tani Cantil-Sakuye,2,10
2020-03-17,Tani Cantil-Sakuye,2,11
2020-03-17,Amy Shuklian,3,1
2020-03-17,Gavin Newsom,3,2
2020-03-17,Jose Sigala,3,3
2020-03-18,Ben Wilson,1,1
2020-03-18,Bishop Megan,1,2
2020-03-18,Bo Thomas,1,3
2020-03-18,Brenda Gray,1,4
2020-03-18,Farley Verner,1,5
2020-03-18,Gavin Newsom,1,6
2020-03-18,Jackson Griggs,1,7
2020-03-18,Karen Elliot,1,8
2020-03-18,Kyle Deaver,1,9
2020-03-18,Lifehouse Fortuna,1,10
2020-03-18,Los Angeles,1,11
2020-03-18,Pete Vander Poel,1,12
2020-03-18,Scott Felton,1,13
2020-03-18,Sharon Minnick,1,14
2020-03-18,Shawn Oubre,1,15
2020-03-18,Tamara Raval,1,16
2020-03-18,Tani Cantil-Sakuye,1,17
2020-03-18,Vander Poel,1,18
2020-03-19,Basim Elkarra,1,5
2020-03-19,Bob Kessler,1,6
2020-03-19,Donald Trump,1,7
2020-03-19,Gavin Newsom,1,8
2020-03-19,Jeffrey Chartier,1,9
2020-03-19,John Kaley,1,10
2020-03-19,Kaitlin Farrell,1,11
2020-03-19,Karen Haught,1,12
2020-03-19,Kaweah Delta,1,13
2020-03-19,Lawrence Isen,1,14
2020-03-19,Linda Fowler,1,15
2020-03-19,Los Angeles,1,16
2020-03-19,Mark Ghaly,1,17
2020-03-19,Richard Donoghue,1,18
2020-03-19,Robert Larusso,1,19
2020-03-19,Roslynn Mauskopf,1,20
2020-03-19,Sundari Mase,1,21
2020-03-19,Whitman Knapp,1,22
2020-03-19,Dennis Mederos,2,1
2020-03-19,Luis Nevarez,2,2
2020-03-19,Pete Vander Poel,2,3
2020-03-19,Rob Hunt,2,4
2020-03-20,Gavin Newsom,1,6
2020-03-20,Karen Haught,2,1
2020-03-20,Kaweah Delta,2,2
2020-03-20,Pete Vander Poel,2,3
2020-03-20,Steve Nelsen,2,4
2020-03-20,Tammie Weyker-Adkins,2,5
2020-03-21,Adam Blaqnmild Pigott,1,2
2020-03-21,Arthur Ashe,1,3
2020-03-21,Devin Nunes,1,4
2020-03-21,Karen Haught,1,5
2020-03-21,Laura Florez-Mccusker,1,6
