date,person,count,rn
2020-02-27,Bill Riley,2,1
2020-02-27,Marc Keilman,2,2
2020-02-27,Mark Alesia,2,3
2020-02-28,Bill Riley,1,1
2020-03-03,Jeff Fisher,1,1
2020-03-03,Vickie Oster,1,2
2020-03-05,Emily Schamehorn,1,1
2020-03-05,Rob Miller,1,2
2020-03-05,Robert Jeffers,1,3
2020-03-05,Scott Stienecker,1,4
2020-03-05,Thomas Ringenberg,1,5
2020-03-05,Tom Wall,1,6
2020-03-06,Eric Holcomb,1,1
2020-03-06,Marc Keilman,1,2
2020-03-07,Anabeth Guthrie,1,3
2020-03-07,Brenda Connors,1,4
2020-03-07,Danielle Connors,1,5
2020-03-07,Ernest Lawrence,1,6
2020-03-07,Frederick Douglass,1,7
2020-03-07,Jason Parker,1,8
2020-03-07,Marissa Connors,1,9
2020-03-07,Martin Luther King Jr,1,10
2020-03-07,Shelly Struthers,1,11
2020-03-07,Shirley Underwood,1,12
2020-03-07,Greg Goode,2,1
2020-03-07,Marc Keilman,2,2
2020-03-09,Deborah Mcmahan,1,3
2020-03-09,Jeffrey Boord,1,4
2020-03-09,Jon Ford,1,5
2020-03-09,Kandi Jamison,1,6
2020-03-09,Nan,1,7
2020-03-09,Rob Hayworth,1,8
2020-03-09,Shari Rudavsky,1,9
2020-03-09,Jim Banks,2,1
2020-03-09,Terry Gaff,2,2
2020-03-10,Adam Baker,1,2
2020-03-10,Deborah Mcmahan,1,3
2020-03-10,Eric Holcomb,1,4
2020-03-10,Jon Ford,1,5
2020-03-10,Karen Goeller,1,6
2020-03-10,Laura Blaney,1,7
2020-03-10,Nan,1,8
2020-03-10,Scott Mcclure,1,9
2020-03-10,Scott Steinecker,1,10
2020-03-10,Tom Balitewicz,1,11
2020-03-10,Tony Bontrager,1,12
2020-03-10,Rob Haworth,2,1
2020-03-12,Bill Riley,1,1
2020-03-12,Nan,1,2
2020-03-12,Rob Haworth,1,3
2020-03-13,Alex Modesitt,1,2
2020-03-13,Andrew Conner,1,3
2020-03-13,Brian Kooistra,1,4
2020-03-13,Cheryl Loudermilk,1,5
2020-03-13,Duke Bennett,1,6
2020-03-13,Greg Goode,1,7
2020-03-13,Jeff Ford,1,8
2020-03-13,Kristin Craig,1,9
2020-03-13,Martha Crossen,1,10
2020-03-13,Mike Morris,1,11
2020-03-13,Nan,1,12
2020-03-13,Rob Haworth,1,13
2020-03-13,Steve Witt,1,14
2020-03-13,Tammy Boland,1,15
2020-03-13,Todd Thacker,1,16
2020-03-13,Todd Young,1,17
2020-03-13,George Azar,2,1
2020-03-14,Jeanie Lindsay,1,5
2020-03-14,Adam Baker,2,1
2020-03-14,Bill Riley,2,2
2020-03-14,Eric Holcomb,2,3
2020-03-14,Mary Hess,2,4
2020-03-17,Brendan Kearns,1,6
2020-03-17,Dwight Mitchell,1,7
2020-03-17,Matt Mcdonough,1,8
2020-03-17,Nan,1,9
2020-03-17,Barry Nicoson,2,1
2020-03-17,Deborah Curtis,2,2
2020-03-17,Dee Reed,2,3
2020-03-17,Lisa Trigg,2,4
2020-03-17,Rob Coons,2,5
2020-03-18,Courtney Chipol,1,1
2020-03-18,Donald Trump,1,2
2020-03-18,Eric Holcomb,1,3
2020-03-18,Kristin Craig,1,4
2020-03-18,Todd Young,1,5
2020-03-19,Nan,1,1
2020-03-20,Connie Lawson,1,1
2020-03-20,Eli Lilly,1,2
2020-03-20,Eric Holcomb,1,3
2020-03-20,Randy Stevens,1,4
2020-03-20,Rob Haworth,1,5
2020-03-23,Bob Behning,1,1
2020-03-23,Eric Holcomb,1,2
2020-03-23,Jon Ford,1,3
2020-03-23,Keith Gambill,1,4
2020-03-23,Nan,1,5
2020-03-23,Terry Spradlin,1,6
2020-03-23,Tonya Pfaff,1,7
2020-03-25,Alan Chu,1,1
2020-03-25,Bonnie Larson,1,2
2020-03-25,Christine Carter Toevs,1,3
2020-03-25,Erin Bruce,1,4
2020-03-25,Kim Fidler,1,5
2020-03-25,Marc Egan,1,6
2020-03-25,Michael Szava-Kovats,1,7
2020-03-25,Mike Braun,1,8
2020-03-25,Robin Robinson,1,9
2020-03-25,Zara Mathews,1,10
2020-03-26,Barry Nicoson,1,1
2020-03-26,Deborah Mcmahan,1,2
2020-03-26,Eric Holcomb,1,3
2020-03-26,James Cameron,1,4
2020-03-26,Jeff Fisher,1,5
2020-03-26,John Plasse,1,6
2020-03-26,Kara Stevenson,1,7
2020-03-26,Margaret Mary Catholic,1,8
2020-03-26,Matt Ames,1,9
2020-03-26,Michelle Bachelet,1,10
2020-03-26,Russell Ferrell,1,11
2020-03-26,Tami Brigle,1,12
2020-03-27,Barry Nicoson,1,5
2020-03-27,Margaret Mary Catholic,1,6
2020-03-27,Tami Brigle,1,7
2020-03-27,Terry Gaff,1,8
2020-03-27,Eric Holcomb,2,1
2020-03-27,Joe Ford,2,2
2020-03-27,John Etling,2,3
2020-03-27,Sabrina Heagy,2,4
2020-03-29,Amy Fettig,1,1
2020-03-29,Anna Harvey,1,2
2020-03-29,Chuck Grassley,1,3
2020-03-29,Dick Durbin,1,4
2020-03-29,Karla Bautista Chonay,1,5
2020-03-29,William Barr,1,6
2020-03-30,Donna Van Vlerah,1,1
2020-03-30,Kathy Foster,1,2
2020-03-31,Connie Mccahill,1,2
2020-03-31,Daren Krockenberger,1,3
2020-03-31,Duke Bennett,1,4
2020-03-31,Gerry Dick,1,5
2020-03-31,Jeff Fisher,1,6
2020-03-31,John Plasse,1,7
2020-03-31,Kristin Craig,1,8
2020-03-31,Matt Ames,1,9
2020-03-31,Promedica Coldwater,1,10
2020-03-31,Russell Ferrell,1,11
2020-03-31,Todd Rumsey,1,12
2020-03-31,Eric Holcomb,2,1
2020-04-02,Courtney Chipol,1,1
2020-04-02,Frank Murphy,1,2
2020-04-03,Bill Riley,1,1
2020-04-03,Eric Holcomb,1,2
2020-04-03,Jennifer Mccormick,1,3
2020-04-05,Edward Willis,1,1
2020-04-05,Eric Holcomb,1,2
2020-04-05,Fran Quigley,1,3
2020-04-05,Gretchen Witmer,1,4
2020-04-05,Larry Bucshon,1,5
2020-04-05,Matilda Mccrear,1,6
2020-04-05,Maureen Mattingly,1,7
2020-04-05,Michael Lacopo,1,8
2020-04-05,Randy Todd,1,9
2020-04-05,Rhonda Stoffer,1,10
2020-04-05,Tate Reeves,1,11
2020-04-06,Connie Kerrigan,1,1
2020-04-06,Ella Abbott,1,2
2020-04-06,Kurt Carlson,1,3
2020-04-06,Lisa Smith,1,4
2020-04-08,Bernice Helman,1,1
2020-04-08,Jeff Hauser,1,2
2020-04-08,John Baer,1,3
2020-04-08,Monica Newhouse-Rodriguez,1,4
2020-04-08,Nan,1,5
2020-04-09,Bernice Helman,1,1
2020-04-09,Jeff Hauser,1,2
2020-04-09,John Baer,1,3
2020-04-09,Monica Newhouse-Rodriguez,1,4
2020-04-10,Matthew Kennelly,1,1
2020-04-10,Noah Peterson,1,2
2020-04-10,Randall Bowman,1,3
2020-04-10,Tom Dart,1,4
2020-04-10,Toni Preckwinkle,1,5
2020-04-12,Dan Waxman,1,1
2020-04-12,Sarah Dilley,1,2
2020-04-14,Brad Burbrink,1,5
2020-04-14,Eric Holcomb,1,6
2020-04-14,Frank Miklozek,1,7
2020-04-14,Nan,1,8
2020-04-14,Terry Hayhurst,1,9
2020-04-14,Becky Beckman,2,1
2020-04-14,Conrad Simpson,2,2
2020-04-14,George Sonny Carey,2,3
2020-04-14,Tammy Reed,2,4
2020-04-15,Connie Lawson,1,3
2020-04-15,Howard Greninger,1,4
2020-04-15,Jeff Hauser,1,5
2020-04-15,John Schoffstall,1,6
2020-04-15,Nan,1,7
2020-04-15,Todd Young,1,8
2020-04-15,Duke Bennett,2,1
2020-04-15,Eric Holcomb,2,2
2020-04-16,Deborah Mcmahan,1,1
2020-04-16,Joe Jordan,1,2
2020-04-16,Luther Whitfield,1,3
2020-04-16,Sharon Tucker,1,4
2020-04-17,Adam Baker,1,5
2020-04-17,Cris Johnston,1,6
2020-04-17,Dennis Costerison,1,7
2020-04-17,Larry Deboer,1,8
2020-04-17,Nathan Vooys,1,9
2020-04-17,Rob Haworth,1,10
2020-04-17,Terry Mcdaniel,1,11
2020-04-17,Terry Spradlin,1,12
2020-04-17,Tonya Pfaff,1,13
2020-04-17,Willie Reed,1,14
2020-04-17,David Broecker,2,4
2020-04-17,Eric Holcomb,3,2
2020-04-17,Michael Mirro,3,3
