date,person,count,rn
2020-02-05,Aramis Ayala,1,1
2020-02-05,Billie Wheeler,1,2
2020-02-05,Brad King,1,3
2020-02-05,Deb Denys,1,4
2020-02-05,Ed Kelley,1,5
2020-02-05,Emily Bonilla,1,6
2020-02-05,Fred Lowry,1,7
2020-02-05,Lee Pereksta,1,8
2020-02-05,Nicole Montalvo,1,9
2020-02-05,Ron Desantis,1,10
2020-02-05,Russ Gibson,1,11
2020-02-17,Barry Fox,1,2
2020-02-17,Benito Cerna,1,3
2020-02-17,David Shoar,1,4
2020-02-17,Gainesville Sun,1,5
2020-02-17,Gay Courter,1,6
2020-02-17,Katie Waldman,1,7
2020-02-17,Mary Barra,1,8
2020-02-17,Millhopper Montessori,1,9
2020-02-17,Rob Hardwick,1,10
2020-02-17,Robert Kraft,1,11
2020-02-17,Stephen Miller,1,12
2020-02-17,Tatanya Peterson,1,13
2020-02-17,Donald Trump,2,1
2020-02-21,Alka Seltzer,1,1
2020-02-21,Christian Edinger,1,2
2020-02-21,Denny Hamlin,1,3
2020-02-21,Jimmy Swaggart,1,4
2020-02-21,John Mina,1,5
2020-02-21,Marco Rubio,1,6
2020-02-21,Martin Truex Jr,1,7
2020-02-21,Rick Scott,1,8
2020-02-21,Ron Desantis,1,9
2020-02-25,Alex Brandon,1,1
2020-02-25,Andres Gutierrez,1,2
2020-02-25,Donald Trump,1,3
2020-02-25,Harry Collins,1,4
2020-02-25,Melania Trump,1,5
2020-02-25,Rachael Thomas,1,6
2020-02-25,Ralf Geithe,1,7
2020-02-25,Taj Mahal,1,8
2020-02-25,Thomas Lohnes,1,9
2020-02-25,Tobias Rathjen,1,10
2020-02-27,Jason Wheeler,1,1
2020-02-27,Lindsay Cashio,1,2
2020-02-27,Ron Desantis,1,3
2020-02-27,Scott Rivkees,1,4
2020-02-28,Frank Fitzgerald,1,1
2020-02-28,Katherine Allen,1,2
2020-02-28,Kevin Christian,1,3
2020-02-28,Michael Ollendorff,1,4
2020-02-28,Ron Desantis,1,5
2020-02-28,Sherri Owens,1,6
2020-03-02,Volusia Flagler,1,1
2020-03-03,Al Hadeed,1,7
2020-03-03,Alex Azar,1,8
2020-03-03,Bob Snyder,1,9
2020-03-03,Byron Dobson,1,10
2020-03-03,Dennis Schnittker,1,11
2020-03-03,Donald Obrien,1,12
2020-03-03,Ettore Palazzo,1,13
2020-03-03,Jeff Johnson,1,14
