date,person,count,rn
2020-02-29,Brereton Jone,1,1
2020-02-29,Bryan Magnus,1,2
2020-02-29,Dixie Demuth,1,3
2020-02-29,Effie Hagan,1,4
2020-02-29,Francele Armstrong,1,5
2020-02-29,Gregg Parker,1,6
2020-02-29,Henry Snow,1,7
2020-02-29,James Snow,1,8
2020-02-29,Martha Pitt,1,9
2020-02-29,Pauline Hagan,1,10
2020-03-17,Ashly Heath,1,1
2020-03-17,Clint Hoskins,1,2
2020-03-17,Eric Holcomb,1,3
2020-03-17,Jackie Weil,1,4
2020-03-17,Jon Webb,1,5
2020-03-17,Mike Reeder,1,6
2020-03-17,Steve Bennett,1,7
2020-03-24,Aaron Franz,1,1
2020-03-24,Andy Beshear,1,2
2020-03-24,Clay Horton,1,3
2020-03-24,Daviess Coujnty,1,4
2020-03-25,Aaron Franz,1,1
2020-03-25,Andy Beshear,1,2
2020-03-25,Clay Horton,1,3
2020-03-25,Daviess Coujnty,1,4
2020-03-26,Andy Chandler,1,1
2020-03-26,Eric Holcomb,1,2
2020-03-26,Nan,1,3
2020-03-26,Todd Ringle,1,4
2020-03-29,Asa Hutchinson,1,7
2020-03-29,Bill Campbell,1,8
2020-03-29,David Manning,1,9
2020-03-29,Jonesboro Sun,1,10
2020-03-29,Mark Porter,1,11
2020-03-29,Nathan Mosbey,1,12
2020-03-29,Quentin Winstine,1,13
2020-03-29,Tiffany Kirk,1,14
2020-03-29,Amanda Treiber,2,1
2020-03-29,Gino Izzi,2,2
2020-03-29,Jonathan Reinert,2,3
2020-03-29,Josh Funk,2,4
2020-03-29,Mike Wilder,2,5
2020-03-29,Sophia Tareen,2,6
2020-03-30,Augusta Waterville,1,6
2020-03-30,Bill Campbell,1,7
2020-03-30,Jonesboro Sun,1,8
2020-03-30,Josh Funk,1,9
2020-03-30,Ken Miller,1,10
2020-03-30,Quentin Winstine,1,11
2020-03-30,Sophia Tareen,1,12
2020-03-30,Amanda Treiber,2,1
2020-03-30,Asa Hutchinson,2,2
2020-03-30,Gino Izzi,2,3
2020-03-30,Jonathan Reinert,2,4
2020-03-30,Mike Wilder,2,5
2020-04-02,Brad Schneider,1,1
2020-04-02,Eric Holcomb,1,2
2020-04-02,Jason Woebkenberg,1,3
2020-04-02,Jennifer Mccormick,1,4
2020-04-06,Amanda Treiber,1,1
2020-04-06,Asa Hutchinson,1,2
2020-04-06,Bill Campbell,1,3
2020-04-06,Gino Izzi,1,4
2020-04-06,Jonathan Reinert,1,5
2020-04-06,Josh Funk,1,6
2020-04-06,Mike Wilder,1,7
2020-04-06,Sophia Tareen,1,8
2020-04-10,Ann Bowdan Wilder,1,1
2020-04-10,Dan Saylor,1,2
2020-04-16,Joe Gries,1,1
2020-04-19,Sarah Seaton,1,1
2020-04-19,Stanley Emerson Turner,1,2
2020-04-19,Stanley Turner,1,3
2020-04-19,Venu Madhav Chippa,1,4
2020-04-21,Eric Holcomb,1,1
2020-04-21,Sarah Seaton,1,2
2020-04-22,Aaron Franz,1,1
2020-04-22,Ann Bowdan Wilder,1,2
2020-04-22,Sarah Seaton,1,3
2020-05-02,Andy Eubank,1,1
2020-05-02,Corie Aiken,1,2
2020-05-02,Garry Eubank,1,3
2020-05-15,Beth Jones,1,1
2020-05-15,Billie Tumey,1,2
2020-05-15,Bloomington Herald,1,3
2020-05-15,Connie Lawson,1,4
2020-05-15,Debbie Hoskins,1,5
2020-05-15,Emily Hopkins,1,6
2020-05-15,Eric Holcomb,1,7
2020-05-15,Ernest Rollins,1,8
2020-05-15,Hal Turner,1,9
2020-05-15,Ian Hauer,1,10
2020-05-15,Jessica Fouts,1,11
2020-05-15,John Martin,1,12
2020-05-15,Julie Roush,1,13
2020-05-15,Kathy Williams,1,14
2020-05-15,Krystal Shetler,1,15
2020-05-15,Marc Toone,1,16
2020-05-15,Mike Emery,1,17
2020-05-15,Patty Perry,1,18
2020-05-15,Rita Glenn,1,19
2020-05-15,Russell Hollis,1,20
2020-05-15,Tara Pegg,1,21
2020-05-15,Tony Cook,1,22
2020-05-15,Trena Mclaughlin,1,23
2020-05-17,Beth Jones,1,1
2020-05-17,Billie Tumey,1,2
2020-05-17,Bloomington Herald,1,3
2020-05-17,Connie Lawson,1,4
2020-05-17,Debbie Hoskins,1,5
2020-05-17,Emily Hopkins,1,6
2020-05-17,Eric Holcomb,1,7
2020-05-17,Ernest Rollins,1,8
2020-05-17,Hal Turner,1,9
2020-05-17,Ian Hauer,1,10
2020-05-17,Jessica Fouts,1,11
2020-05-17,John Martin,1,12
2020-05-17,Julie Roushsaid,1,13
