date,person,count,rn
2020-02-02,Babcock Wilcox,1,6
2020-02-02,Babcock Wilson,1,7
2020-02-02,Jim Mackinnon,1,8
2020-02-02,Preventionist Ron Cook,1,9
2020-02-02,Robert Parker,1,10
2020-02-02,Sheridan Hendrix,1,11
2020-02-02,Diebold Nixdorf,2,2
2020-02-02,Doug Grassian,2,3
2020-02-02,Mike Jacobsen,2,4
2020-02-02,Scott Schroeder,2,5
2020-02-02,Kenny Mcdonald,3,1
2020-02-03,Andy Wong,1,5
2020-02-03,Diebold Nixdorf,1,6
2020-02-03,Mike Jacobsen,1,7
2020-02-03,Nancy Messonnier,1,8
2020-02-03,Scott Schroeder,1,9
2020-02-03,Stacey Blackburn,1,10
2020-02-03,Syed Ahmed,1,11
2020-02-03,Tarek Doghish,1,12
2020-02-03,Tim Cook,1,13
2020-02-03,Sheridan Hendrix,2,4
2020-02-03,Babcock Wilcox,4,2
2020-02-03,Babcock Wilson,4,3
2020-02-03,Kenny Mcdonald,5,1
2020-02-04,Alex Azar,1,6
2020-02-04,David Abney,1,7
2020-02-04,David Closs,1,8
2020-02-04,David Hsieh,1,9
2020-02-04,Debbie Dingell,1,10
2020-02-04,Fahrettin Koca,1,11
2020-02-04,Hong Hong,1,12
2020-02-04,John F Kennedy,1,13
2020-02-04,Joneigh Khaldun,1,14
2020-02-04,Louis Kuijs,1,15
2020-02-04,Steve Pasierb,1,16
2020-02-04,Tatiana Golikova,1,17
2020-02-04,Tim Cook,1,18
2020-02-04,Tommy Wu,1,19
2020-02-04,Virgin Atlantic,1,20
2020-02-04,Walt Disney,1,21
2020-02-04,David Mcnew,3,5
2020-02-04,Los Angeles,4,4
2020-02-04,Lynn Sutfin,6,3
2020-02-04,Nancy Messonnier,7,2
2020-02-04,Michael Mcelrath,8,1
2020-02-05,Ben Klayman,1,7
2020-02-05,Joseph White,1,8
2020-02-05,Mary Barra,1,9
2020-02-05,Nick Zieminski,1,10
2020-02-05,Jonathan Serrie,2,6
2020-02-05,Keith Hammond,3,4
2020-02-05,Nancy Messonnier,3,5
2020-02-05,Lynn Sutfin,4,2
2020-02-05,Michael Mcelrath,4,3
2020-02-05,Lisa Gass,5,1
2020-02-06,Alex Azar,1,1
2020-02-06,Brian Gao,1,2
2020-02-06,Debbie Dingell,1,3
2020-02-06,Donald Trump,1,4
2020-02-07,Amanda Ulmen,1,1
2020-02-07,Amesh Adalja,1,2
2020-02-07,Eric Toner,1,3
2020-02-08,Lynn Sutfin,2,1
2020-02-11,Abraham Darwish,1,1
2020-02-11,Amanda Ulmen,1,2
2020-02-11,Brian Burns,1,3
2020-02-11,Nan,1,4
2020-02-11,Terry Jaber,1,5
2020-02-11,Zhizhen Zhou,1,6
2020-02-13,Debbie Dingell,1,1
2020-02-13,Marci Wulfmeier,1,2
2020-02-13,Myra Larouche,1,3
2020-02-13,Nancy Messonnier,1,4
2020-02-13,Rai Caluori,1,5
2020-02-14,Amanda Ulmen,1,1
2020-02-14,Audie Maxwell,1,2
2020-02-14,Jake Dunning,1,3
2020-02-14,Khadijah Morrison,1,4
2020-02-14,Mario Marco Nikprelaj,1,5
2020-02-15,Nan,1,1
2020-02-17,Anthony Fauci,1,1
2020-02-17,Cheryl Molesky,1,2
2020-02-17,Emily Wang,1,3
2020-02-17,Mari Yamaguchi,1,4
2020-02-17,Matthew Smith,1,5
2020-02-17,Paul Molesky,1,6
2020-02-17,Taro Kono,1,7
2020-02-17,Yuri Kageyama,1,8
2020-02-18,Anthony Artis,1,2
2020-02-18,Craig Mauger,1,3
2020-02-18,Dan Gilbert,1,4
2020-02-18,Ethan Babkiewicz,1,5
2020-02-18,Gary Peters,1,6
2020-02-18,George Nnamdi,1,7
2020-02-18,Harris Howard,1,8
2020-02-18,Kaneisha Williams,1,9
2020-02-18,Mary Lackamp,1,10
2020-02-18,Mike Duggan,1,11
2020-02-18,Steve Muth,2,1
2020-02-19,Steve Muth,1,6
2020-02-19,Dan Gilbert,2,1
2020-02-19,Fred Mcleod,2,2
2020-02-19,James Craig,2,3
2020-02-19,Reggie Jackson,2,4
2020-02-19,Shawn Randall,2,5
2020-02-21,Achmad Ibrahim,1,1
2020-02-21,Elijah Daniel,1,2
2020-02-21,Hassan Rouhani,1,3
2020-02-21,Hubei Provence,1,4
2020-02-21,Katheryn Aberlich,1,5
2020-02-21,Kathryn Aberlich,1,6
2020-02-21,Maha Shivaratri,1,7
2020-02-21,Michael Kern,1,8
2020-02-21,Michael Lahey,1,9
2020-02-21,Nada Rivani,1,10
2020-02-21,Patrick Anderson,1,11
2020-02-21,Rodrigo Duterte,1,12
