date,person,count,rn
2020-03-18,Bill Lee,1,1
2020-03-18,Briley Coffey,1,2
2020-03-18,Mike Hutchens,1,3
2020-03-19,Anne Spaulding,1,1
2020-03-19,Blake Anderson,1,2
2020-03-19,Brian Duke,1,3
2020-03-19,Jackson Sun,1,4
2020-03-19,John Doolen,1,5
2020-03-19,Paul Thomas,1,6
2020-03-19,Roy Morgan,1,7
2020-03-19,Tom Mapes,1,8
2020-03-24,Jake Bynum,1,1
2020-03-24,Shelley Walker,1,2
2020-04-08,Brittany Bargery,2,1
2020-04-08,Elisabeth Tompkins,2,2
2020-04-08,Joan Pritchett,2,3
2020-04-08,Nicki Moore,2,4
2020-04-08,Randy Frazier,2,5
2020-04-08,Sabrina Bates,2,6
2020-04-08,Samantha Vaughn,2,7
2020-04-08,Steve Douglas,2,8
2020-04-08,Steve Stigall,2,9
2020-04-08,Steve Vantrease,2,10
2020-04-18,Jack Vincent,1,1
2020-04-18,Randy Cavin,1,2
2020-04-23,Eddie Bray,1,1
2020-04-23,Jake Bynum,1,2
2020-04-23,Tamika Dobbins,1,3
2020-04-29,Abby Angel,1,1
2020-05-08,Abby Milton,1,1
2020-05-08,Emma Carter,1,2
2020-05-08,Hays Clark,1,3
2020-05-08,Joe Clift,1,4
2020-05-08,Miller Jr,1,5
