date,person,count,rn
2020-03-17,Andy Blouin,1,1
2020-03-17,Jim Urdiales,1,2
2020-03-17,John Bel Edwards,1,3
2020-03-17,Joshua Duke,1,4
2020-03-17,Michael Boudreaux,1,5
2020-03-17,Ross Cook,1,6
2020-03-17,Sami Kobrossi,1,7
2020-03-17,Todd Graves,1,8
2020-03-18,Ashley Mendoza,1,1
2020-03-18,Billy Nungesser,1,2
2020-03-18,John Bel Edwards,1,3
2020-03-18,Meghan Parrish,1,4
2020-03-18,Sharon Weston Broome,1,5
2020-03-19,Billy Nungesser,1,1
2020-03-21,Charlotte Minnie,1,1
2020-03-21,John Bel Edward,1,2
2020-03-21,Latoya Cantrell,1,3
2020-03-21,Mardi Gras,1,4
2020-03-21,Mardi Gras Indian,1,5
2020-03-21,Rachel Breunlin,1,6
2020-03-21,Rashad Lewis,1,7
2020-03-21,Ricky Gettridge,1,8
2020-03-22,Charlotte Minnie,1,1
2020-03-22,John Bel Edward,1,2
2020-03-22,Latoya Cantrell,1,3
2020-03-22,Mardi Gras,1,4
2020-03-22,Mardi Gras Indian,1,5
2020-03-22,Rachel Breunlin,1,6
2020-03-22,Rashad Lewis,1,7
2020-03-22,Ricky Gettridge,1,8
2020-03-31,Anna Nowogrodzki,1,1
2020-03-31,Brian Bock,1,2
2020-03-31,Giuliano Grignaschi,1,3
2020-03-31,Jessica Rene Bock,1,4
2020-03-31,Maria Cramer,1,5
2020-03-31,Maria Eug,1,6
2020-03-31,Rob Taft,1,7
2020-03-31,Sally Thompson-Iritani,1,8
2020-03-31,Thea Brabb,1,9
2020-04-03,Arjeane Thompson,1,1
2020-04-03,Christina Stephens,1,2
2020-04-03,Jeff Landry,1,3
2020-04-03,John Bel Edwards,1,4
2020-04-03,Wendy Matherne,1,5
2020-04-05,Carla Parrie,1,1
2020-04-05,Cheramie Kerth,1,2
2020-04-05,Eleanor Wharton,1,3
2020-04-05,Jackie Tisdell,1,4
2020-04-05,John Bel Edwards,1,5
2020-04-05,Kay Rone Wilson,1,6
2020-04-05,Sydni Dunn,1,7
2020-04-13,Dennis Mersereau,1,1
2020-04-13,John Knox,1,2
2020-04-15,Ashley Ellis,1,1
2020-04-15,Beth Scioneaux,1,2
2020-04-15,David Alexander,1,3
2020-04-15,John Bel Edwards,1,4
2020-04-15,Kim Canezaro,1,5
2020-04-15,Preston Castille,1,6
2020-04-15,Sandy Holloway,1,7
2020-04-22,Andrew Scheer,1,1
2020-04-22,Bobby Jindal,1,2
2020-04-22,Brenda Lucki,1,3
2020-04-22,Debbie Berkowitz,1,4
2020-04-22,Donald Trump,1,5
2020-04-22,Heidi Stevenson,1,6
2020-04-22,Hillary Clinton,1,7
2020-04-22,Jeff Bezos,1,8
2020-04-22,Jimmy Kimmel,1,9
2020-04-22,Justin Trudeau,1,10
2020-04-22,Kayleigh Mcenany,1,11
2020-04-22,Lenore Zann,1,12
2020-04-22,Marc Perrone,1,13
2020-05-04,John Bel Edwards,1,1
2020-05-05,John Bel Edwards,1,1
2020-05-06,Naomi Oleary,1,1
2020-05-06,Naomi Oleary Naomiohreally,1,2
2020-05-08,Broderick Bagert,1,1
2020-05-08,Earl Benjamin-Robinson,1,2
2020-05-08,John Bel Edwards,1,3
2020-05-08,Sharon Weston Broome,1,4
2020-05-08,Shelina Davis,1,5
2020-05-10,Amy Giarusso,2,1
2020-05-10,Clare Manor,2,2
2020-05-10,Meagan Landry,2,3
2020-05-10,Our Lady,2,4
2020-05-10,Ralph Dauterive,2,5
2020-05-10,Sharon Faulkner,2,6
2020-05-10,Venkat Banda,2,7
2020-05-11,Mark Abdelmalek,2,11
2020-05-11,Ann Reynolds,3,1
2020-05-11,Caitlin Pedati,3,2
2020-05-11,Danny Avula,3,3
2020-05-11,Fran Phillips,3,4
2020-05-11,John Auerbach,3,5
2020-05-11,Marc Perrone,3,6
2020-05-11,Mark Gloth,3,7
2020-05-11,Patrick Jones,3,8
2020-05-11,Ronald Morris,3,9
2020-05-11,William Barr,3,10
2020-05-12,Bill Young,1,1
2020-05-12,Irene Sanders,1,2
2020-05-12,Judy Simoneaux,1,3
2020-05-12,Lenora Truxillo Leblanc,1,4
2020-05-12,William Hankins,1,5
2020-05-13,Ann Reynolds,1,1
2020-05-13,Caitlin Pedati,1,2
2020-05-13,Danny Avula,1,3
2020-05-13,Ed Chervenak,1,4
2020-05-13,Fran Phillips,1,5
2020-05-13,Greg Albrecht,1,6
2020-05-13,John Auerbach,1,7
2020-05-13,Marc Perrone,1,8
2020-05-13,Mark Abdelmalek,1,9
2020-05-13,Mark Gloth,1,10
2020-05-13,Patrick Jones,1,11
2020-05-13,Ronald Morris,1,12
2020-05-13,Stephen Barnes,1,13
2020-05-13,William Barr,1,14
2020-05-19,Alana Percy,1,1
2020-05-19,Catherine Mckinney,1,2
2020-05-19,Eddie Ballard,1,3
2020-05-19,Huey Long,1,4
2020-05-19,Kyle Ardoin,1,5
2020-05-19,Mandie Landry,1,6
2020-05-19,Myles Holyfield,1,7
2020-05-19,Our Lady,1,8
2020-05-19,Pentral Ross,1,9
2020-05-19,Shenetta White-Ballard,1,10
2020-05-22,Sharon Weston Broome,1,1
2020-05-22,Susan Hassig,1,2
2020-05-26,Wes Watts,2,1
2020-05-27,Wes Watts,2,1
2020-06-06,Greg Albrecht,1,1
2020-06-06,John Bel Edwards,1,2
2020-06-12,Colleen Temple,1,1
2020-06-12,Derek Chauvin,1,2
2020-06-12,Galvez Plaza,1,3
