date,person,count,rn
2020-02-03,Darryl Falzarano,1,1
2020-02-03,Samira Mubareka,1,2
2020-02-05,John Schuler,1,1
2020-02-05,Lee Lysiak,1,2
2020-02-05,Luke Lysiak,1,3
2020-02-06,Sherlita Amler,1,1
2020-02-07,Brian Caswell,1,1
2020-02-07,Leana Wen,1,2
2020-02-07,Nikole Benders,1,3
2020-02-10,Alan Kadish,1,1
2020-02-10,Brian Caswell,1,2
2020-02-10,Edward Halperin,1,3
2020-02-10,Leana Wen,1,4
2020-02-10,Mark Levine,1,5
2020-02-10,Nikole Benders,1,6
2020-02-10,Robert Amler,1,7
2020-02-10,Sherlita Amler,1,8
2020-02-11,David Propper,1,1
2020-02-11,Geoffrey Berman,1,2
2020-02-11,Lawrence Ray,1,3
2020-02-11,Matt Spillane Mattspillane,1,4
2020-02-11,Sarah Lawrence,1,5
2020-02-11,William Sweeney,1,6
2020-02-11,William Sweeney Jr,1,7
2020-02-12,Bernard Kerik,1,1
2020-02-12,David Propper,1,2
2020-02-12,Ezra Marcu,1,3
2020-02-12,Geoffrey Berman,1,4
2020-02-12,Lawrence Grecco,1,5
2020-02-12,Lawrence Ray,1,6
2020-02-12,Matt Spillane Mattspillane,1,7
2020-02-12,Rudy Giuliani,1,8
2020-02-12,Sarah Lawrence,1,9
2020-02-12,William Sweeney,1,10
2020-02-12,William Sweeney Jr,1,11
2020-02-13,Alex Vindman,1,1
2020-02-13,Donald Trump,1,2
2020-02-13,El Paso Walmart,1,3
2020-02-13,Holland America,1,4
2020-02-13,John Mitchell,1,5
2020-02-13,Juan Guaid,1,6
2020-02-13,Lenin Moreno,1,7
2020-02-13,Marie Yovanovitch,1,8
2020-02-13,Patrick Crusius,1,9
2020-02-13,Pope Francis,1,10
2020-02-13,William Barr,1,11
2020-02-18,David Oliver,1,1
2020-02-18,George Latimer,1,2
2020-02-18,John Bacon,1,3
2020-02-18,Sherlita Amler,1,4
2020-02-19,David Oliver,1,3
2020-02-19,John Bacon,1,4
2020-02-19,George Latimer,2,1
2020-02-19,Sherlita Amler,2,2
2020-02-23,Harriet Tubman,1,1
2020-02-23,Malcolm Byrd,1,2
2020-02-23,Sherlita Amler,1,3
2020-02-23,Sojourner Truth,1,4
2020-02-24,David Cay Johnston Dcreport,1,6
2020-02-24,Bernie Sanders,3,1
2020-02-24,Dan Alpert,3,2
2020-02-24,Joe Biden,3,3
2020-02-24,Lloyd Blankfein,3,4
2020-02-24,Pete Buttigieg,3,5
2020-02-26,Alex Azar,1,3
2020-02-26,Anne Schuchat,1,4
2020-02-26,Gabriella Borter,1,5
2020-02-26,George Latimer,1,6
2020-02-26,Jonathan Allen,1,7
2020-02-26,Kenneth Raske,1,8
2020-02-26,Lawrence Eisenstein,1,9
2020-02-26,Peter Szekely,1,10
2020-02-26,Sonya Hepinstall,1,11
2020-02-26,Andrew Cuomo,2,2
2020-02-26,Jill Montag,3,1
2020-02-27,Brendan Murphy,1,8
2020-02-27,Gabriella Borter,1,9
2020-02-27,Greg Hunt,1,10
2020-02-27,Jacinda Ardern,1,11
2020-02-27,Jonathan Allen,1,12
2020-02-27,Mike Pence,1,13
2020-02-27,Nancy Messonnier,1,14
2020-02-27,Oxiris Barbot,1,15
2020-02-27,Peter Szekely,1,16
2020-02-27,Sonya Hepinstall,1,17
2020-02-27,Zealand Herald,1,18
2020-02-27,Alex Azar,2,3
2020-02-27,Anne Schuchat,2,4
2020-02-27,Jill Montag,2,5
2020-02-27,Kenneth Raske,2,6
2020-02-27,Lawrence Eisenstein,2,7
2020-02-27,Andrew Cuomo,3,1
2020-02-27,George Latimer,3,2
2020-03-02,Alice Trappler,1,16
2020-03-02,Amber Brockway,1,17
2020-03-02,Ashraf Ghani,1,18
2020-03-02,Ben Kew,1,19
2020-03-02,Bernie Sanders,1,20
