date,person,count,rn
2020-03-27,Steve Sisolak,1,7
2020-03-27,Ben Jenkins,2,1
2020-03-27,George Togliatti,2,2
2020-03-27,John Dabritz,2,3
2020-03-27,Kay Lynn Roberts-Mcmurray,2,4
2020-03-27,Kerry Lee,2,5
2020-03-27,Las Vegas,2,6
2020-03-28,Charles Stringham,1,7
2020-03-28,George Togliatti,1,8
2020-03-28,Kara Kelly-Borgognone,1,9
2020-03-28,Kay Lynn Roberts-Mcmurray,1,10
2020-03-28,Kerry Lee,1,11
2020-03-28,Nawal Khoury,1,12
2020-03-28,Randy Mauldin,1,13
2020-03-28,Rhonda Morfin,1,14
2020-03-28,Haydee Dabritz,2,5
2020-03-28,Steve Sisolak,2,6
2020-03-28,Daniel Solow,3,4
2020-03-28,Ben Jenkins,4,1
2020-03-28,John Dabritz,4,2
2020-03-28,Las Vegas,4,3
2020-04-01,Pamela Ren Larson,1,15
2020-04-01,Jonathan Manwaring,3,12
2020-04-01,Paula Dement,3,13
2020-04-01,Timaree Koscik,3,14
2020-04-01,Aitor Narvaiza,4,1
2020-04-01,Jonathan Nez,4,2
2020-04-01,Karmin Greber,4,3
2020-04-01,Las Vegas,4,4
2020-04-01,Loretta Christensen,4,5
2020-04-01,Nicole Baldwin,4,6
2020-04-01,Ophelia Watahomigie-Corliss,4,7
2020-04-01,Scott Henriod,4,8
2020-04-01,Scott Lewis,4,9
2020-04-01,Steve Sisolak,4,10
2020-04-01,Tohono Oodham,4,11
2020-04-02,Cory Macnulty,1,27
2020-04-02,David Bernhardt,1,28
2020-04-02,David Vela,1,29
2020-04-02,Pam Leach,1,30
2020-04-02,Pamela Ren Larson,1,31
2020-04-02,Phil Francis,1,32
2020-04-02,Raul Grijalva,1,33
2020-04-02,Theresa Pierno,1,34
2020-04-02,Vanessa Lacayo,1,35
2020-04-02,Anamarie Lopategui,2,15
2020-04-02,Ben Jenkins,2,16
2020-04-02,Delmo Andreozzi,2,17
2020-04-02,Donald Trump,2,18
2020-04-02,Elko Justice,2,19
2020-04-02,Ely Justice,2,20
2020-04-02,John Leonard Dabritz,2,21
2020-04-02,Kathy Rodgers,2,22
2020-04-02,Mason Simons,2,23
2020-04-02,Richard Sears,2,24
2020-04-02,Sheldon Mudd,2,25
2020-04-02,Stephen Bishop,2,26
2020-04-02,Aitor Narvaiza,3,2
2020-04-02,Jonathan Manwaring,3,3
2020-04-02,Jonathan Nez,3,4
2020-04-02,Karmin Greber,3,5
2020-04-02,Las Vegas,3,6
2020-04-02,Loretta Christensen,3,7
2020-04-02,Nicole Baldwin,3,8
2020-04-02,Ophelia Watahomigie-Corliss,3,9
2020-04-02,Paula Dement,3,10
2020-04-02,Scott Henriod,3,11
2020-04-02,Scott Lewis,3,12
2020-04-02,Timaree Koscik,3,13
2020-04-02,Tohono Oodham,3,14
2020-04-02,Steve Sisolak,5,1
2020-04-03,Amy Garcia,1,3
2020-04-03,Daniel Solow,1,4
2020-04-03,George Togliatti,1,5
2020-04-03,Haydee Dabritz,1,6
2020-04-03,John Dabritz,1,7
2020-04-03,John Leonard Dabritz,1,8
2020-04-03,Kara Kelly-Borgognone,1,9
2020-04-03,Kay Lynn Roberts-Mcmurray,1,10
2020-04-03,Kerry Lee,1,11
2020-04-03,Michael Wheable,1,12
2020-04-03,Richard Sears,1,13
2020-04-03,Steve Sisolak,1,14
2020-04-03,Ben Jenkins,2,1
2020-04-03,Las Vegas,2,2
2020-04-10,Bruce Patterson,1,1
2020-04-10,Bryan Hamilton,1,2
2020-04-10,Kevin Olival,1,3
2020-04-10,Samantha Gibbs,1,4
2020-04-10,Winifred Frick,1,5
2020-04-14,Las Vegas,1,2
2020-04-14,Steve Sisolak,1,3
2020-04-14,Nan,2,1
2020-04-15,Aaron Allan,1,1
2020-04-15,Ben Jenkins,1,2
2020-04-15,Breann Leath,1,3
2020-04-15,Chris Bailey,1,4
2020-04-15,Dan Wilson,1,5
2020-04-15,Darren Wright,1,6
2020-04-15,Elliahs Dorsey,1,7
2020-04-15,Greg Carnicle,1,8
2020-04-15,Hannah Degoey,1,9
2020-04-15,Justin Schaffer,1,10
2020-04-15,Las Vegas,1,11
2020-04-15,Perry Renn,1,12
2020-04-15,Ryan Mears,1,13
2020-04-15,Sheri Bradway,1,14
2020-04-15,Thomas Wells,1,15
2020-04-16,Bob Bhakta,1,1
2020-04-16,Bryce Putnam,1,2
2020-04-16,Curtis Calder,1,3
2020-04-16,David Stanton,1,4
2020-04-16,Delmo Andreozzi,1,5
2020-04-16,Gavin Newsom,1,6
2020-04-16,Ishver Bhakta,1,7
2020-04-16,Jon Karr,1,8
2020-04-16,Katie Neddenriep,1,9
2020-04-16,Kimberly Gaa,1,10
2020-04-16,Pete Patel,1,11
2020-04-16,Pranev Bhakta,1,12
2020-04-16,Robert Schmidtlein,1,13
2020-04-16,Steve Sisolak,1,14
2020-06-17,April Heather Zavala,1,1
2020-06-17,Belinda Harris,1,2
2020-06-17,Ben Jenkins,1,3
2020-06-17,Bryce Dickey,1,4
2020-06-17,Gabrielle Britney Ujlaky,1,5
2020-06-17,George Floyd,1,6
2020-06-17,Joe Lombardo,1,7
2020-06-17,John Leonard Dabritz,1,8
2020-06-17,John Piro,1,9
2020-06-17,Judith Irene Zavala,1,10
2020-06-17,Judith Zavala,1,11
2020-06-17,Las Vegas,1,12
2020-06-17,Marianne Mckown,1,13
2020-06-17,Steve Sisolak,1,14
2020-06-25,Amy Taxin,1,1
2020-06-25,Annelies Bouwhuis,1,2
2020-06-25,Ashish Jha,1,3
2020-06-25,Delcia Lopez,1,4
2020-06-25,Donald Trump,1,5
2020-06-25,Greg Abbott,1,6
2020-06-25,Johns Hopkin,1,7
2020-06-25,Las Vegas,1,8
2020-06-25,Rick Bowmer,1,9
2020-06-25,Robert Jackson,1,10
2020-06-25,Steve Sisolak,1,11
2020-06-25,Tedros Adhanom Ghebreyesus,1,12
