date,person,count,rn
2020-03-18,Demetrius Quin,1,1
2020-03-20,Nan,1,1
2020-03-26,Nan,1,1
2020-04-07,Dedra Edwards,1,1
2020-04-07,Eugene Thompson,1,2
2020-04-24,David Young,1,1
2020-04-24,Heather Burton,1,2
2020-04-24,Linnon Mcclendon,1,3
2020-04-30,Brian Kemp,1,1
2020-04-30,Donald Trump,1,2
2020-04-30,Joyce Denson,1,3
2020-04-30,Kathleen Toomey,1,4
2020-04-30,Michael Thurmond,1,5
2020-04-30,Nikema Williams,1,6
2020-05-06,Ray Crocker,1,1
2020-05-06,Thomas Gregory,1,2
2020-06-23,Martin Luther King,4,22
2020-06-23,Kate Brumback,6,21
2020-06-23,John Bazemore,7,20
2020-06-23,Curtis Compton,16,19
2020-06-23,Curtis Compton Atlanta,32,18
2020-06-23,Ebenezer Baptist,34,17
2020-06-23,Natalie White,41,16
2020-06-23,Tyrone Harvey,60,15
2020-06-23,Tyler Perry,65,14
2020-06-23,Martin Luther King Jr,66,13
2020-06-23,Bernice King,69,1
2020-06-23,Devin Brosnan,69,2
2020-06-23,Garrett Rolfe,69,3
2020-06-23,George Floyd,69,4
2020-06-23,Joe Biden,69,5
2020-06-23,Medgar Evers,69,6
2020-06-23,Michael Brown,69,7
2020-06-23,Nelson Mandela,69,8
2020-06-23,Philando Castile,69,9
2020-06-23,Raphael Warnock,69,10
2020-06-23,Stacey Abrams,69,11
2020-06-23,Tomika Miller,69,12
2020-06-24,Medgar Evans,2,18
2020-06-24,Susan Gregg,2,19
2020-06-24,Ebenezer Baptist,8,17
2020-06-24,Natalie White,10,16
2020-06-24,Tyler Perry,12,14
2020-06-24,Tyrone Harvey,12,15
2020-06-24,Devin Brosnan,16,11
2020-06-24,Garrett Rolfe,16,12
2020-06-24,Medgar Evers,16,13
2020-06-24,Bernice King,18,1
2020-06-24,George Floyd,18,2
2020-06-24,Joe Biden,18,3
2020-06-24,Martin Luther King Jr,18,4
2020-06-24,Michael Brown,18,5
2020-06-24,Nelson Mandela,18,6
2020-06-24,Philando Castile,18,7
2020-06-24,Raphael Warnock,18,8
2020-06-24,Stacey Abrams,18,9
2020-06-24,Tomika Miller,18,10
