date,person,count,rn
2020-03-04,Aimee Sisson,1,3
2020-03-04,Augusta Waterville,1,4
2020-03-04,Jeff Duchin,1,5
2020-03-04,Johannes Eisele,1,6
2020-03-04,Kaiser Permanente,1,7
2020-03-04,Ken Cuccinelli,1,8
2020-03-04,Los Angeles,1,9
2020-03-04,Ron Desantis,1,10
2020-03-04,Mark Levine,2,1
2020-03-04,Nan,2,2
2020-03-05,Ann Mclane Kuster,1,14
2020-03-05,Dan French,1,15
2020-03-05,Keely Marie,1,16
2020-03-05,Nan,1,17
2020-03-05,Steve Clancy,1,18
2020-03-05,Annie Kuster,2,7
2020-03-05,Barbara Ferrer,2,8
2020-03-05,Holly Ramer,2,9
2020-03-05,Jeanne Shaheen,2,10
2020-03-05,Maggie Hassan,2,11
2020-03-05,Mark Levine,2,12
2020-03-05,Phil Scott,2,13
2020-03-05,Chris Pappas,3,5
2020-03-05,Chris Sununu,3,6
2020-03-05,Benjamin Chan,6,1
2020-03-05,Christie Harrison,6,2
2020-03-05,Gunnar Esiason,6,3
2020-03-05,Wendy Parmet,6,4
2020-03-06,Benjamin Chan,1,4
2020-03-06,Chris Sununu,1,5
2020-03-06,Christie Harrison,1,6
2020-03-06,Dan French,1,7
2020-03-06,Gunnar Esiason,1,8
2020-03-06,Mike Smith,1,9
2020-03-06,Nan,1,10
2020-03-06,Wendy Parmet,1,11
2020-03-06,Mark Levine,2,1
2020-03-06,Patsy Kelso,2,2
2020-03-06,Phil Scott,2,3
2020-03-07,Ed Merrens,1,1
2020-03-07,Joanne Conroy,1,2
2020-03-07,Shaun Mulholland,1,3
2020-03-08,Nan,2,1
2020-03-09,Nan,1,3
2020-03-09,Benjamin Chan,2,1
2020-03-09,Beth Daly,2,2
2020-03-10,Benjamin Chan,1,1
2020-03-10,Brandon Fox,1,2
2020-03-10,Eric Francis,1,3
2020-03-10,Phil Scott,1,4
2020-03-11,Messer Hill,1,1
2020-03-11,Nancy Kerrigan,1,2
2020-03-11,Orford Rivendell,1,3
2020-03-11,Phil Scott,1,4
2020-03-11,Rebecca Holcombe,1,5
2020-03-11,Tonya Harding,1,6
2020-03-13,Benjamin Chan,1,1
2020-03-13,Christie Harrison,1,2
2020-03-13,Gunnar Esiason,1,3
2020-03-13,Wendy Parmet,1,4
2020-03-14,Mark Levine,1,1
2020-03-14,Nan,1,2
2020-03-14,Phil Scott,1,3
2020-03-15,Adam Hescock,1,1
2020-03-15,Brian Grearson,1,2
2020-03-15,Dick Sears,1,3
2020-03-15,Ed Tobin,1,4
2020-03-15,Jim Kenyon,1,5
2020-03-15,John Campbell,1,6
2020-03-15,Mark Levine,1,7
2020-03-15,Marshall Pahl,1,8
2020-03-15,Phil Scott,1,9
2020-03-16,Arthur Unobskey,1,1
2020-03-16,Cara Murtagh,1,2
2020-03-16,Dan Richards,1,3
2020-03-16,Ethan Forman,1,4
2020-03-16,Glenn Koocher,1,5
2020-03-16,Josh Vadala,1,6
2020-03-16,Julie Kukenberger,1,7
2020-03-16,Marc Kerble,1,8
2020-03-16,Mary Beth Banios,1,9
2020-03-16,Melissa Eakins-Ryan,1,10
2020-03-16,Omar Easy,1,11
2020-03-16,Philip Conrad,1,12
2020-03-16,Thomas Flanagan,1,13
2020-03-17,Brendan Minnihan,1,1
2020-03-17,Brett Rusch,1,2
2020-03-17,Chris Sununu,1,3
2020-03-17,Edward Brown,1,4
2020-03-17,Elaine Brown,1,5
2020-03-17,Jay Badams,1,6
2020-03-17,Laurie Smith,1,7
2020-03-17,Mike Tempesta,1,8
2020-03-17,Phil Scott,1,9
2020-03-17,Rube Goldberg,1,10
2020-03-17,Tom Fitzgerald,1,11
2020-03-17,Willy Walker,1,12
2020-03-18,Ashley Higgins,1,1
2020-03-18,Bernie Sanders,1,2
2020-03-18,Chris Sununu,1,3
2020-03-18,Donald Trump,1,4
2020-03-18,Edward Brown,1,5
2020-03-18,Elaine Brown,1,6
2020-03-18,Joe Biden,1,7
2020-03-18,Josh Tuohy,1,8
2020-03-18,Kaleigh Magar,1,9
2020-03-18,Phil Scott,1,10
2020-03-18,Shyrl Rafus,1,11
2020-03-18,Tony Barnett,1,12
2020-03-19,Kevin Mullin,1,1
2020-03-19,Tim Ashe,1,2
2020-03-20,Mark Levine,1,1
2020-03-20,Phil Scott,1,2
2020-03-20,Remington Nevin,1,3
2020-03-21,Holly Ramer,1,8
2020-03-21,Annie Kuster,3,1
2020-03-21,Chris Pappas,3,2
2020-03-21,Chris Sununu,3,3
2020-03-21,Donald Trump,3,4
2020-03-21,Jeanne Shaheen,3,5
2020-03-21,Kristin Roth,3,6
2020-03-21,Maggie Hassan,3,7
2020-03-22,Alicia Porter,1,9
2020-03-22,Brendan Minnihan,1,10
2020-03-22,Craig Suttie,1,11
2020-03-22,Erin Bell,1,12
2020-03-22,Frank Edelblut,1,13
2020-03-22,Geoffrey Clark,1,14
2020-03-22,Jason Broughton,1,15
2020-03-22,Jim Masland,1,16
2020-03-22,Kristopher Radder,1,17
2020-03-22,Larry Dougher,1,18
2020-03-22,Liza Bernard,1,19
2020-03-22,Martha Fuller Clark,1,20
2020-03-22,Melissa Strayton,1,21
2020-03-22,Tom Sherman,1,22
2020-03-22,Annie Kuster,2,1
2020-03-22,Chris Pappas,2,2
2020-03-22,Chris Sununu,2,3
2020-03-22,Donald Trump,2,4
2020-03-22,Jeanne Shaheen,2,5
2020-03-22,Kristin Roth,2,6
2020-03-22,Maggie Hassan,2,7
2020-03-22,Mark Levine,2,8
2020-03-23,Mark Levine,1,1
2020-03-23,Phil Scott,1,2
2020-03-23,Remington Nevin,1,3
2020-03-23,Robert Kirkbride,1,4
2020-03-23,Roland Oneill,1,5
2020-03-24,Alan Lind,1,1
2020-03-24,Bernard Hebda,1,2
2020-03-24,Charles Untz,1,3
2020-03-24,Charles Untz Steve,1,4
2020-03-24,Christina Capecchi,1,5
2020-03-24,Ellen Untz,1,6
2020-03-24,Harry Flynn,1,7
2020-03-24,Karen Theisen,1,8
2020-03-24,Mike Carney,1,9
2020-03-24,Our Lady,1,10
2020-03-24,Philippe Roux,1,11
2020-03-24,Remington Nevin,1,12
2020-03-24,Steve Hansen,1,13
2020-03-24,Steve Untz,1,14
2020-03-24,Tom Wilson,1,15
2020-03-24,Untz Charles Untz,1,16
2020-03-24,Wesley Mckeller,1,17
2020-03-24,William Baer,1,18
2020-03-26,Mark Levine,1,1
2020-03-27,Brandon Fox,1,2
2020-03-27,Jeff Paul,1,3
2020-03-27,Joseph Perras,1,4
2020-03-27,Mark Levine,1,5
2020-03-27,Vural Oktay,1,6
2020-03-27,Phil Scott,2,1
2020-03-31,Bryce Larrabee,1,1
2020-03-31,Carl Thibodeau,1,2
2020-03-31,Dave Scanlon,1,3
2020-04-04,Donald Trump,1,1
2020-04-04,Stephen Jordan,1,2
2020-04-06,Patrick Leahy,1,1
2020-04-06,Thomas Mchenry,1,2
2020-04-06,Timothy Laplante,1,3
2020-04-08,Olga Peters,1,1
2020-04-08,Steve Barrett,1,2
2020-04-09,Henry Epp,1,26
2020-04-09,Howard Weiss-Tisman,1,27
2020-04-09,Anson Tebbetts,2,4
2020-04-09,Bernie Sanders,2,5
2020-04-09,Bobby Kennedy,2,6
2020-04-09,David Wells,2,7
2020-04-09,David Zuckerman,2,8
2020-04-09,Donald Trump,2,9
2020-04-09,Donald Van Nostrand,2,10
2020-04-09,Elizabeth Warren,2,11
2020-04-09,Hillary Clinton,2,12
2020-04-09,Jim Clyburn,2,13
2020-04-09,Joe Biden,2,14
2020-04-09,John Pandolfo,2,15
2020-04-09,Kristen Coady,2,16
2020-04-09,Las Vegas,2,17
2020-04-09,Melissa Pierce,2,18
2020-04-09,Patrick Leahy,2,19
2020-04-09,Paul Malone,2,20
2020-04-09,Peter Welch,2,21
2020-04-09,Sonny Perdue,2,22
2020-04-09,Tabitha Moore,2,23
2020-04-09,Tim Ashe,2,24
2020-04-09,Van Nostrand,2,25
2020-04-09,Mark Levine,3,2
2020-04-09,Phil Scott,3,3
2020-04-09,Mike Smith,4,1
2020-04-12,David Ahern,1,1
2020-04-12,David Polli,1,2
2020-04-12,Greg Camp,1,3
2020-04-12,Harold Bell,1,4
2020-04-12,Jeff Knight,1,5
2020-04-12,John Wilson,1,6
2020-04-12,Joseph Perras,1,7
2020-04-12,Mark Levine,1,8
2020-04-12,Norbert Whitman,1,9
2020-04-12,Paula Maville,1,10
2020-04-12,Phil Scott,1,11
2020-04-12,Robert Burke,1,12
2020-04-12,Rosemary Whitman,1,13
2020-04-12,Vernona Bell,1,14
2020-04-14,Danielle Devost,1,1
2020-04-14,Mark Levine,1,2
2020-04-14,Michael Harrington,1,3
2020-04-14,Phil Scott,1,4
2020-04-15,George Karabakakis,1,1
2020-04-16,Jeanne Shaheen,1,1
2020-04-16,Maggie Hassan,1,2
2020-04-16,Mary Coonradt,1,3
2020-04-16,Robert Wilkie,1,4
2020-04-19,Eric Lang,1,1
2020-04-19,Jesse Pacht,1,2
2020-04-19,Phil Scott,1,3
2020-04-19,Stephanie Brackin,1,4
2020-04-21,Nan,1,1
2020-04-25,Barack Obama,1,1
2020-04-25,Charles Colson,1,2
2020-04-25,Chris Sununu,1,3
2020-04-25,Cynthia Giles,1,4
2020-04-25,Donald Trump,1,5
2020-04-25,Joseph Mccarthy,1,6
2020-04-25,Joseph Welch,1,7
2020-04-25,Roger Stone,1,8
2020-04-26,Ben Vihstadt,1,1
2020-04-26,Chris Sununu,1,2
2020-04-26,Jennifer Tomlinson,1,3
2020-04-26,Nancy Kyle,1,4
2020-04-26,Vanessa Perron,1,5
2020-04-27,Aaron Yoo,1,1
2020-04-27,Carla Berno,1,2
2020-04-27,Chris Roy,1,3
2020-04-27,Chris Sununu,1,4
2020-04-27,Cynthia Trudeau,1,5
2020-04-27,Deb Wesley,1,6
2020-04-27,Emily Jenkins,1,7
2020-04-27,John Buonincontro,1,8
2020-04-27,Vanessa Perron,1,9
2020-04-28,Chris Sununu,1,6
2020-04-28,Janssen Willhoit,1,7
2020-04-28,Michael Beyor,1,8
2020-04-28,Vanessa Perron,1,9
2020-04-28,David Cahill,2,2
2020-04-28,Greg Hale,2,3
2020-04-28,Norah Quinn,2,4
2020-04-28,Robert Sussman,2,5
2020-04-28,Frank Sanville,3,1
2020-04-29,Chris Sununu,1,1
2020-04-29,Vanessa Perron,1,2
2020-04-30,Ben Vihstadt,1,1
2020-04-30,Chris Sununu,1,2
2020-04-30,Jennifer Tomlinson,1,3
2020-04-30,Nancy Kyle,1,4
2020-04-30,Vanessa Perron,1,5
2020-05-02,Caleb Lewis,1,1
2020-05-02,Daren Farnsworth,1,2
2020-05-02,Jessica Kingsbury,1,3
2020-05-02,Mark Seidner,1,4
2020-05-02,Mikel Arcovitch,1,5
2020-05-02,Nicole Whalen,1,6
2020-05-02,Tim Camerato,1,7
2020-05-05,Elaine Troxell,1,1
2020-05-05,Heather Landry,1,2
2020-05-05,Scott Milne,1,3
2020-05-05,Tom Malafronte,1,4
2020-05-06,Andrew Simon,1,6
2020-05-06,Catherine Rader,1,7
2020-05-06,Dave Shevchik,1,8
2020-05-06,Debora Steinerman,1,9
2020-05-06,Doug Friant,1,10
2020-05-06,Jim Cole,1,11
2020-05-06,John Treadwell,1,12
2020-05-06,June Tierney,1,13
2020-05-06,Edward Brown,2,3
2020-05-06,Elaine Brown,2,4
2020-05-06,Ross Cunningham,2,5
2020-05-06,Frank Sanville,3,1
2020-05-06,Wanda Sanville,3,2
2020-05-07,Brenda Markwell,1,6
2020-05-07,Kevin Mullin,1,7
2020-05-07,Mike Halstead,1,8
2020-05-07,Benjamin Falkner,2,4
2020-05-07,Jim Cole,2,5
2020-05-07,Ross Cunningham,4,3
2020-05-07,Edward Brown,6,1
2020-05-07,Elaine Brown,6,2
2020-05-10,Anthony Pollina P-Washington,1,1
2020-05-10,Brannon Godfrey,1,2
2020-05-10,Jim Kenyon,1,3
2020-05-10,Ruth Hardy D-Addison,1,4
2020-05-10,Xusana Davis,1,5
2020-05-11,Phil Scott,1,2
2020-05-11,Mark Levine,2,1
2020-05-12,Emily Amanna,1,3
2020-05-12,Kristopher Radder,1,4
2020-05-12,Phil Scott,2,2
2020-05-12,Mark Levine,3,1
2020-05-14,Barbara Kobak,1,1
2020-05-14,Edward Brown,1,2
2020-05-14,Elaine Brown,1,3
2020-05-14,Jim Curtis,1,4
2020-05-14,Laura Overton,1,5
2020-05-14,Lisa Barry,1,6
2020-05-14,Olivia Lyons,1,7
2020-05-14,Ross Cunningham,1,8
2020-05-15,Barbara Kobak,1,1
2020-05-15,Jim Curtis,1,2
2020-05-15,Laura Overton,1,3
2020-05-15,Lisa Barry,1,4
2020-05-15,Olivia Lyons,1,5
2020-05-18,Andrew Schain,1,1
2020-05-18,Jenny Williams,1,2
2020-05-22,Adam Sullivan,1,1
2020-05-22,Bill Wyman,1,2
2020-05-22,Fred Zink,1,3
2020-05-22,Terrell Martin,1,4
2020-05-22,Timothy Counihan,1,5
2020-05-24,John Lomanchinsky,1,12
2020-05-24,Justin Sauerwein,1,13
2020-05-24,Kacey Knight,1,14
2020-05-24,Leslie Ohara,1,15
2020-05-24,Peter Roy,1,16
2020-05-24,Tara Wraymay,1,17
2020-05-24,Anne Herz,3,1
2020-05-24,Betty Munro,3,2
2020-05-24,Don Munro,3,3
2020-05-24,Floyd Van Alstyne,3,4
2020-05-24,Gina Moore,3,5
2020-05-24,John Dibble,3,6
2020-05-24,Marjorie Van Alstyne,3,7
2020-05-24,Phil Scott,3,8
2020-05-24,Sarah Foss,3,9
2020-05-24,Tara Wray,3,10
2020-05-24,Van Alstynes,3,11
2020-05-25,John Lippman,1,1
2020-05-25,John Lomanchinsky,1,2
2020-05-25,Justin Sauerwein,1,3
2020-05-25,Kacey Knight,1,4
2020-05-25,Leslie Ohara,1,5
2020-05-25,Peter Roy,1,6
2020-05-29,Brock Coderre,1,1
2020-05-29,Dawnmarie Tomasi,1,2
2020-05-29,Jeannine Young,1,3
2020-05-29,John Klar,1,4
2020-05-29,Levar Cole,1,5
2020-05-29,Peter Briggs,1,6
2020-05-29,Phil Scott,1,7
2020-05-29,Randy Gray,1,8
2020-05-29,Shannara Johnson,1,9
2020-05-29,Zachary Lang,1,10
2020-05-30,John Lomanchinsky,1,1
2020-05-30,Justin Sauerwein,1,2
2020-05-30,Kacey Knight,1,3
2020-05-30,Leslie Ohara,1,4
2020-05-30,Peter Roy,1,5
