date,person,count,rn
2020-03-02,Joe Gow,1,1
2020-03-02,Scott Olson,1,2
2020-03-04,Annette Freiheit,1,1
2020-03-04,Ben Klinger,1,2
2020-03-04,Jan Malcolm,1,3
2020-03-04,Judith Schaefer,1,4
2020-03-04,Sara Gabrick,1,5
2020-03-04,Tim Walz,1,6
2020-03-07,Alyssa Bohm,1,1
2020-03-07,Brad Peterson,1,2
2020-03-07,Dave Sarna,1,3
2020-03-07,David Erickson,1,4
2020-03-07,Howard Snelson,1,5
2020-03-07,Jack Mcclure,1,6
2020-03-07,Jay Inslee,1,7
2020-03-07,Joe Gothard,1,8
2020-03-07,Kayla Higgins,1,9
2020-03-07,Kenneth Ray Miller,1,10
2020-03-07,Kurt Anderson,1,11
2020-03-07,Ky Rocketman Michaelson,1,12
2020-03-07,Kylie Mullen,1,13
2020-03-07,Manawa Snodeo,1,14
2020-03-07,Mark Inglett,1,15
2020-03-07,Mary Cathryn Ricker,1,16
2020-03-07,Mike Hughes,1,17
2020-03-07,Mike Pence,1,18
2020-03-07,Perry Richardson,1,19
2020-03-07,Phil Evans,1,20
2020-03-07,Rocketboys Mcclure,1,21
2020-03-07,Slamn Sammy,1,22
2020-03-07,Slamn Sammy Miller,1,23
2020-03-07,Warren Limmer,1,24
2020-03-12,Katryn Conlin,1,1
2020-03-20,Doug Schultz,1,1
2020-03-20,Karen Sanness,1,2
2020-03-20,Kris Ehresmann,1,3
2020-03-20,Rachelle Schultz,1,4
2020-03-25,Doug Schultz,1,1
2020-03-25,Karen Sanness,1,2
2020-03-25,Kris Ehresmann,1,3
2020-03-25,Nan,1,4
2020-03-25,Rachelle Schultz,1,5
2020-03-26,Karen Sanness,1,1
2020-03-26,Kris Ehresmann,1,2
2020-03-26,Tim Walz,1,3
2020-03-27,Annette Freiheit,1,1
2020-03-27,Craig Johnson,1,2
2020-03-27,Kurt Daudt,1,3
2020-03-27,Ryan Winkler,1,4
2020-03-27,Thomas Wall,1,5
2020-03-27,Tim Walz,1,6
2020-03-27,Tina Smith,1,7
2020-03-31,Nan,1,1
2020-04-01,Brian Schwartz,1,4
2020-04-01,Jan Malcom,1,5
2020-04-01,Kris Ehresmann,1,6
2020-04-01,Mark Peterson,1,7
2020-04-01,Tim Walz,1,8
2020-04-01,Bob Norland,2,1
2020-04-01,Orielle Norland,2,2
2020-04-01,Sarosh Ashraf Janjua,2,3
2020-04-02,Nan,1,1
2020-04-03,Jan Malcolm,1,1
2020-04-04,Nan,1,1
2020-04-07,Nan,1,1
2020-04-08,Alexa Shapiro,1,2
2020-04-08,Christina Gomez Schmidt,1,3
2020-04-08,Cinde Thomas-Jimenez,1,4
2020-04-08,Derek Barkeim,1,5
2020-04-08,Eric Barnard,1,6
2020-04-08,Harland Hiemstra,1,7
2020-04-08,Jennifer Cheatham,1,8
2020-04-08,Karen Sanness,1,9
2020-04-08,Kris Ehresmann,1,10
2020-04-08,Logan Wroge,1,11
2020-04-08,Maia Pearson,1,12
2020-04-08,Nicki Vander Meulen,1,13
2020-04-08,Nora Woodworth,1,14
2020-04-08,Savion Castro,1,15
2020-04-08,Tim Lemonds,1,16
2020-04-08,Tim Walz,1,17
2020-04-08,Tony Evers,1,18
2020-04-08,Winonan Alicia Lano,1,19
2020-04-08,Winonan Patrick Menton,1,20
2020-04-08,Jan Malcolm,2,1
2020-04-12,Nan,1,1
2020-04-15,Jan Malcolm,1,1
2020-04-15,Kristen Ehresmann,1,2
2020-04-15,Nan,1,3
2020-04-15,Rachelle Schultz,1,4
2020-04-16,Francisco Seco,1,1
2020-04-16,Kristen Ehresmann,1,2
2020-04-16,Kylie Mullen,1,3
2020-04-16,Marc Lipsitch,1,4
2020-04-16,Nan,1,5
2020-04-16,Paul Van Eijl,1,6
2020-04-16,Rachelle Schultz,1,7
2020-04-17,Nan,1,1
2020-04-18,Chris Meyer,1,1
2020-04-18,Greg Olson,1,2
2020-04-18,Ken Fritz,1,3
2020-04-18,Marie Kovecsi,1,4
2020-04-18,Sandra Suchla,1,5
2020-04-18,Steve Jacob,1,6
2020-04-21,Joseph Gaugler,1,1
2020-04-21,Karen Sanness,1,2
2020-04-21,Rachelle Schultz,1,3
2020-04-21,Winona Manor,1,4
2020-04-23,Dave Medernach,1,1
2020-04-23,Kim Pleticha,1,2
2020-04-23,Tim Walz,1,3
2020-04-23,Willard Munger,1,4
2020-04-24,Ben Daley,1,1
2020-04-24,Chuck Sheppard,1,2
2020-04-24,Katrina Kessler,1,3
2020-04-24,Laura Bishop,1,4
2020-04-24,Melissa Kuskie,1,5
2020-04-24,Nan,1,6
2020-04-24,Randy Hukriede,1,7
2020-04-24,Steve Schmidt,1,8
2020-04-27,Nan,1,1
2020-04-28,Arlette Preston,1,1
2020-04-28,Bradford Shaffer,1,2
