date,person,count,rn
2020-02-01,Amy Taxin,1,1
2020-02-01,Anne Zink,1,2
2020-02-01,Anya Russom,1,3
2020-02-01,Christina Larson,1,4
2020-02-01,Jane Kim,1,5
2020-02-01,Jen Maki,1,6
2020-02-01,Malik Peiris,1,7
2020-02-01,Maria Cheng,1,8
2020-02-01,Marilynn Marchione,1,9
2020-02-01,Mark Thiessen,1,10
2020-02-01,Mark Woolhouse,1,11
2020-02-01,Matt Hancock,1,12
2020-02-01,Michael Ryan,1,13
2020-02-01,Nan,1,14
2020-02-01,Nate Hecimovich,1,15
2020-02-01,Takeo Aoyama,1,16
2020-02-02,Abdul Sattar Khokhar,1,5
2020-02-02,Abu Dhabi,1,6
2020-02-02,Ajay Sethi,1,7
2020-02-02,Alexandra Odynova,1,8
2020-02-02,Andreas Zapf,1,9
2020-02-02,Anna Matranga,1,10
2020-02-02,Anna Noryskiewicz,1,11
2020-02-02,Anthony Fauci,1,12
2020-02-02,Bonnie Henry,1,13
2020-02-02,Chris Mitchell,1,14
2020-02-02,Chris Olsen,1,15
2020-02-02,Emily Kumlien,1,16
2020-02-02,Eric Ferguson,1,17
2020-02-02,Giuseppe Conte,1,18
2020-02-02,Indian Ocean,1,19
2020-02-02,Jens Spahn,1,20
2020-02-02,Jetstar Asia,1,21
2020-02-02,Jon Lapook,1,22
2020-02-02,Katsunobu Kato,1,23
2020-02-02,Kevin Johnson,1,24
2020-02-02,Los Angeles,1,25
2020-02-02,Ma Guoqiang,1,26
2020-02-02,Martin Cetron,1,27
2020-02-02,Marty Walsh,1,28
2020-02-02,Matt Hancock,1,29
2020-02-02,Melanie Huml,1,30
2020-02-02,Mike Pompeo,1,31
2020-02-02,Mikhail Mishustin,1,32
2020-02-02,Nancy Messonnier,1,33
2020-02-02,Oxiris Barbot,1,34
2020-02-02,Ramy Inocencio,1,35
2020-02-02,Rita Nieves,1,36
2020-02-02,Robert Redfield,1,37
2020-02-02,Rodong Sinmun,1,38
2020-02-02,Ryan Westergaard,1,39
2020-02-02,Sara Cody,1,40
2020-02-02,Sara Nelson,1,41
2020-02-02,Scott Morrison,1,42
2020-02-02,Tatiana Golikova,1,43
2020-02-02,Tatyana Golikova,1,44
2020-02-02,Ted Cruz,1,45
2020-02-02,Tedros Adhanom Ghebreyesus,1,46
2020-02-02,Tedros Adhonom Ghebreyesus,1,47
2020-02-02,Thomas Friedrich,1,48
2020-02-02,Todd Brown,1,49
2020-02-02,Triansyah Djani,1,50
2020-02-02,Robert Smiley,2,4
2020-02-02,Downton Abbey,3,1
2020-02-02,Michelle Bailey,3,2
2020-02-02,Sam Roth,3,3
2020-02-03,Anne Reeths,1,2
2020-02-03,King Lear,1,3
2020-02-03,Raul Mendoza,1,4
2020-02-03,Sam Roth,2,1
2020-02-04,Amy Klobuchar,1,4
2020-02-04,Andrew Yang,1,5
2020-02-04,Anne Reeths,1,6
2020-02-04,Bernie Sanders,1,7
2020-02-04,Elizabeth Warren,1,8
2020-02-04,Jane Omeara Sanders,1,9
2020-02-04,Jennifer Rombalski,1,10
2020-02-04,Joe Biden,1,11
2020-02-04,Pete Buttigieg,1,12
2020-02-04,Ryan Westergaard,1,13
2020-02-04,Xiao Yijiu Xinhua,2,3
2020-02-04,Adalynn Roth,3,2
2020-02-04,Samuel Roth,8,1
2020-02-05,Anna Fifield,2,38
2020-02-05,Chris Reese,2,39
2020-02-05,Diana Degette D-Colo,2,40
2020-02-05,Erica Werner,2,41
2020-02-05,Lena Sun,2,42
2020-02-05,Miriam Berger,2,43
2020-02-05,Nancy Pelosi,2,44
2020-02-05,Neil Gorsuch,2,45
2020-02-05,Newshour Marist,2,46
2020-02-05,Rosa Delauro D-Conn,2,47
2020-02-05,Scott Bauer,2,48
2020-02-05,Stephanie Fryer,2,49
2020-02-05,Steve Gorman,2,50
2020-02-05,George Diaz,3,27
2020-02-05,Jake Baggott,3,28
2020-02-05,Juan Guaid,3,29
2020-02-05,Los Angeles,3,30
2020-02-05,Martin Fenstersheib,3,31
2020-02-05,Martin Luther King,3,32
2020-02-05,Rachael Kagan,3,33
2020-02-05,Rocky Jones,3,34
2020-02-05,Rush Limbaugh,3,35
2020-02-05,Sara Cody,3,36
2020-02-05,Thom Tillis,3,37
2020-02-05,Anita Shroff,4,19
2020-02-05,Charles Mcgee,4,20
2020-02-05,Chuck Grassley,4,21
2020-02-05,Daisy Roth,4,22
2020-02-05,Donald Trump,4,23
2020-02-05,Iain Lanphier,4,24
2020-02-05,Janiyah Davis,4,25
2020-02-05,Tim Scott,4,26
2020-02-05,Amanda Kita Yarborough,5,14
2020-02-05,Ellie Schneider,5,15
2020-02-05,Joe Parisi,5,16
2020-02-05,Nan,5,17
2020-02-05,Satya Rhodes-Conway,5,18
2020-02-05,Christopher Olsen,6,13
2020-02-05,Patrick Kelly,7,12
2020-02-05,Sam Roth,8,11
2020-02-05,Nancy Messonnier,9,10
2020-02-05,Anthony Wallace,10,7
2020-02-05,Janel Heinrich,10,8
2020-02-05,Tom Haupt,10,9
2020-02-05,Alex Azar,12,3
2020-02-05,Allen Bateman,12,4
2020-02-05,Kristen Bernard,12,5
2020-02-05,Robert Kirchdoerfer,12,6
2020-02-05,Jeanne Ayers,29,2
2020-02-05,Ryan Westergaard,42,1
2020-02-06,Allen Bateman,2,49
2020-02-06,Christopher Olsen,2,50
2020-02-06,Bonnie Henry,3,39
2020-02-06,Christian Mitchell,3,40
2020-02-06,Henry Walke,3,41
2020-02-06,Kim Hyatt,3,42
2020-02-06,Mal Meyer,3,43
2020-02-06,Mark Suzman,3,44
2020-02-06,Mike Ryan,3,45
2020-02-06,Peter Lin,3,46
2020-02-06,Tarik Jasarevic,3,47
2020-02-06,Thomas Breuer,3,48
2020-02-06,Alex Azar,4,30
2020-02-06,Carrie Parker,4,31
2020-02-06,Hollianne Bruce,4,32
2020-02-06,Katie Curtis,4,33
2020-02-06,Martin Luther King Jr,4,34
2020-02-06,Michael Ryan,4,35
2020-02-06,Nancy Pelosi,4,36
2020-02-06,Robert Kirchdoerfer,4,37
2020-02-06,Satish Pillai,4,38
2020-02-06,Chris Whitty,5,19
2020-02-06,David Agus,5,20
2020-02-06,Francesca Torriani,5,21
2020-02-06,John Bradley,5,22
2020-02-06,Li Keqiang,5,23
2020-02-06,Liu Xiaoming,5,24
2020-02-06,Sam Roth,5,25
2020-02-06,Tedros Gebreyesus,5,26
2020-02-06,Thanarak Plipat,5,27
2020-02-06,William Timm,5,28
2020-02-06,Zeng Lingkong,5,29
2020-02-06,Anthony Wallace,6,15
2020-02-06,Donald Trump,6,16
2020-02-06,Jake Baggott,6,17
2020-02-06,Patrick Kelly,6,18
2020-02-06,Carrie Lam,7,13
2020-02-06,Li Wenliang,7,14
2020-02-06,Amanda Kita Yarborough,8,10
2020-02-06,Daisy Roth,8,11
2020-02-06,Samuel Roth,8,12
2020-02-06,Nancy Messonnier,9,8
2020-02-06,Tedros Adhanom Ghebreyesus,9,9
2020-02-06,Nan,10,7
2020-02-06,Tom Haupt,12,6
2020-02-06,Joe Parisi,15,5
2020-02-06,Janel Heinrich,16,4
2020-02-06,Satya Rhodes-Conway,18,3
2020-02-06,Jeanne Ayers,27,2
2020-02-06,Ryan Westergaard,31,1
2020-02-07,Amanda Kita Yarborough,1,43
2020-02-07,Arata Yamamoto,1,44
2020-02-07,Bob Kopitzke,1,45
2020-02-07,Bob Kopitzke Stevens,1,46
2020-02-07,Carrie Lam,1,47
2020-02-07,Daisy Roth,1,48
2020-02-07,Devin Jernigan,1,49
2020-02-07,Janel Heinrich,1,50
2020-02-07,Attila Kisbenedek,2,26
2020-02-07,Dana Hall,2,27
2020-02-07,Eric Kasowski,2,28
2020-02-07,Francois Mori,2,29
2020-02-07,George Diaz,2,30
2020-02-07,Gopi Adusumilli,2,31
2020-02-07,Lisa Crawford,2,32
2020-02-07,Los Angeles,2,33
2020-02-07,Martin Fenstersheib,2,34
2020-02-07,Maxim Slutsky,2,35
2020-02-07,Pete Ricketts,2,36
2020-02-07,Rachael Kagan,2,37
2020-02-07,Ron Johnson,2,38
2020-02-07,Sara Cody,2,39
2020-02-07,Shelly Schwedhelm,2,40
2020-02-07,Timothy Nelson,2,41
2020-02-07,Traci Desalvo,2,42
2020-02-07,Alex Azar,3,9
2020-02-07,Andrew Atterbury,3,10
2020-02-07,Betsy Devos,3,11
2020-02-07,Bianca Quilantan,3,12
2020-02-07,Catherine Boudreau,3,13
2020-02-07,Donald Payne,3,14
2020-02-07,Donald Trump,3,15
2020-02-07,Gregory Fenves,3,16
2020-02-07,Mary Sue Coleman,3,17
2020-02-07,Michael Melia,3,18
2020-02-07,Michael Stratford,3,19
2020-02-07,Nicole Gaudiano,3,20
2020-02-07,Pete Stauber R-Minn,3,21
2020-02-07,Rush Limbaugh,3,22
2020-02-07,Susie Lee D-Nev,3,23
2020-02-07,Tedros Adhanom Ghebreyesus,3,24
2020-02-07,Zach Pethan,3,25
2020-02-07,Amy Rowland,4,5
2020-02-07,Jennifer Mcquiston,4,6
2020-02-07,Nikhila Natarajan,4,7
2020-02-07,Tony Evers,4,8
2020-02-07,Jeanne Ayers,5,4
2020-02-07,Nan,6,2
2020-02-07,Tom Haupt,6,3
2020-02-07,Nancy Messonnier,8,1
2020-02-08,Alex Azar,1,17
2020-02-08,Allan Reese,1,18
2020-02-08,Andrew Hiatt,1,19
2020-02-08,Anthony Fauci,1,20
2020-02-08,Anthony Zurita,1,21
2020-02-08,Brandt Montour,1,22
2020-02-08,Christian Mitchell,1,23
2020-02-08,Cynthia Goldsmith,1,24
2020-02-08,David Allan,1,25
2020-02-08,Erika Edwards,1,26
2020-02-08,Gay Courter,1,27
2020-02-08,Jeanna Bryner,1,28
2020-02-08,Jeff Brown,1,29
2020-02-08,John Hausbeck,1,30
2020-02-08,Johns Hopkins,1,31
2020-02-08,Justin Trudeau,1,32
2020-02-08,Kevin Barrett,1,33
2020-02-08,Melinda Gates,1,34
2020-02-08,Mike Pompeo,1,35
2020-02-08,Morgan Ortagus,1,36
2020-02-08,Nicole Schreiner,1,37
2020-02-08,Pete Shult,1,38
2020-02-08,Rachael Rettner,1,39
2020-02-08,Robert Quigley,1,40
2020-02-08,Robert Redfield,1,41
2020-02-08,Scott Ingalsbe,1,42
2020-02-08,Sun Chunlan,1,43
2020-02-08,Tony Hall,1,44
2020-02-08,Xiaolu Chu Getty,1,45
2020-02-08,Yasemin Saplakoglu,1,46
2020-02-08,Yuliya Talmazan,1,47
2020-02-08,Allison Swanson,2,8
2020-02-08,Arata Yamamoto,2,9
2020-02-08,Dave Golden,2,10
2020-02-08,Erika Lee,2,11
2020-02-08,Jasmine Hak,2,12
2020-02-08,Joan Brzezinski,2,13
2020-02-08,Nancy Messonnier,2,14
2020-02-08,Phil Helsel,2,15
2020-02-08,Phil Murphy,2,16
2020-02-08,Andrew Thompson,3,3
2020-02-08,Kris Ehresmann,3,4
2020-02-08,Nan,3,5
2020-02-08,Tedros Adhanom Ghebreyesus,3,6
2020-02-08,Tom Haupt,3,7
2020-02-08,Rajesh Prabhu,4,2
2020-02-08,Jeanne Ayers,7,1
2020-02-09,Alissa Eckert,1,1
2020-02-09,Arata Yamamoto,1,2
2020-02-09,Carrie Lam,1,3
2020-02-09,Chris Kapenga,1,4
2020-02-09,Erika Edwards,1,5
2020-02-09,Gauden Galea,1,6
2020-02-09,Indian Ocean,1,7
2020-02-09,Jasmine Leung,1,8
2020-02-09,Jeanne Ayers,1,9
2020-02-09,Jennifer Miller,1,10
2020-02-09,Katy Sinnott,1,11
2020-02-09,Kristian Knutsen,1,12
2020-02-09,Mary Beth Graham,1,13
2020-02-09,Morgan Ortagus,1,14
2020-02-09,Msdan Higgins,1,15
2020-02-09,Nan,1,16
2020-02-09,Patrick Remington,1,17
2020-02-09,Phil Helsel,1,18
2020-02-09,Phil Mccausland,1,19
2020-02-10,David Foster,1,12
2020-02-10,Frank Wicinski,1,13
2020-02-10,Jeanne Ayers,1,14
2020-02-10,Katy Sinnott,1,15
2020-02-10,Li Qiong,1,16
2020-02-10,Matt Hancock,1,17
2020-02-10,Mike Ryan,1,18
2020-02-10,Milena Basso,1,19
2020-02-10,Miramar Airbasein,1,20
2020-02-10,Rebecca Frasure,1,21
2020-02-10,Stephanie Fryer,1,22
2020-02-10,Tedros Adhanom Ghebreyesus,1,23
2020-02-10,Arata Yamamoto,2,1
2020-02-10,Carrie Lam,2,2
2020-02-10,Erika Edwards,2,3
2020-02-10,Gail Scott,2,4
2020-02-10,Gauden Galea,2,5
2020-02-10,Jasmine Leung,2,6
2020-02-10,Morgan Ortagus,2,7
2020-02-10,Nan,2,8
2020-02-10,Phil Helsel,2,9
2020-02-10,Phil Mccausland,2,10
2020-02-10,Phil Murphy,2,11
2020-02-11,Alexandra Lin,1,23
2020-02-11,Alissa Eckert,1,24
2020-02-11,Amy Gunia,1,25
2020-02-11,Anne Schuchat,1,26
2020-02-11,Cote Divoire,1,27
2020-02-11,Dan Higgins,1,28
2020-02-11,David Oconnor,1,29
2020-02-11,David Oconnor Thomas Friedrich,1,30
2020-02-11,Donald Trump,1,31
2020-02-11,Frank Wicinski,1,32
2020-02-11,Hillary Leung,1,33
2020-02-11,Isaac Yee,1,34
2020-02-11,Jasmine Aguilera,1,35
2020-02-11,John Mackenzie,1,36
2020-02-11,Josiah Bates,1,37
2020-02-11,Li Qiong,1,38
2020-02-11,Li Wenliang,1,39
2020-02-11,Los Angeles,1,40
2020-02-11,Matt Hancock,1,41
2020-02-11,Mick Krever,1,42
2020-02-11,Mikhail Mishustin,1,43
2020-02-11,Milena Basso,1,44
2020-02-11,Miramar Airbasein,1,45
2020-02-11,Rebecca Frasure,1,46
2020-02-11,Rebecca Moritz,1,47
2020-02-11,Scott Morrison,1,48
2020-02-11,Thomas Friedrich,1,49
2020-02-11,Yoshihiro Kawaoka,1,50
2020-02-11,Arata Yamamoto,2,11
2020-02-11,Carrie Lam,2,12
2020-02-11,Erika Edwards,2,13
2020-02-11,Gail Scott,2,14
2020-02-11,Gauden Galea,2,15
2020-02-11,Jasmine Leung,2,16
2020-02-11,Mike Ryan,2,17
2020-02-11,Phil Helsel,2,18
2020-02-11,Phil Mccausland,2,19
2020-02-11,Phil Murphy,2,20
2020-02-11,Ryan Westergaard,2,21
2020-02-11,Traci Desalvo,2,22
2020-02-11,Alex Azar,3,4
2020-02-11,George Diaz,3,5
2020-02-11,Martin Fenstersheib,3,6
2020-02-11,Morgan Ortagus,3,7
2020-02-11,Rachael Kagan,3,8
2020-02-11,Tedros Adhanom Ghebreyesus,3,9
2020-02-11,Timothy Nelson,3,10
2020-02-11,Nancy Messonnier,4,3
2020-02-11,Jeanne Ayers,5,1
2020-02-11,Nan,5,2
2020-02-12,Alex Che,1,2
2020-02-12,Arata Yamamoto,1,3
2020-02-12,Carrie Lam,1,4
2020-02-12,Eric Cioe-Pena,1,5
2020-02-12,Erika Edwards,1,6
2020-02-12,Gauden Galea,1,7
2020-02-12,Holland America,1,8
2020-02-12,Hongchen Jiang,1,9
2020-02-12,Jasmine Leung,1,10
2020-02-12,Karey Maniscalco,1,11
2020-02-12,Katy Sinnott,1,12
2020-02-12,Kim Mueller,1,13
2020-02-12,Los Angeles,1,14
2020-02-12,Mark Stephenson,1,15
2020-02-12,Melanie Haering,1,16
2020-02-12,Milena Basso,1,17
2020-02-12,Morgan Ortagus,1,18
2020-02-12,Nancy Messonnier,1,19
2020-02-12,Phil Helsel,1,20
2020-02-12,Phil Mccausland,1,21
2020-02-12,Phil Murphy,1,22
2020-02-12,Steven Deller,1,23
2020-02-12,Tedros Adhanom Ghebreyesus,1,24
2020-02-12,Tomohiro Ohsumi Getty,1,25
2020-02-12,Nan,2,1
2020-02-13,Bill Cassidy,1,38
2020-02-13,Dave Abel,1,39
2020-02-13,Elizabeth Cohen,1,40
2020-02-13,Jacqueline Howard,1,41
2020-02-13,Jerry Moran,1,42
2020-02-13,John Bonifield,1,43
2020-02-13,Kan Sen,1,44
2020-02-13,Ken Hess,1,45
2020-02-13,Nan,1,46
2020-02-13,Peter Feaver,1,47
2020-02-13,Robert Bork,1,48
2020-02-13,Sara Cody,1,49
2020-02-13,Stephen Cohn,1,50
2020-02-13,Arata Yamamoto,2,9
2020-02-13,Bob Fredericks,2,10
2020-02-13,Byron Snellgrove,2,11
2020-02-13,Carrie Lam,2,12
2020-02-13,Elizabeth Warren,2,13
2020-02-13,Erika Edwards,2,14
2020-02-13,Faye Marie Swetlik,2,15
2020-02-13,Faye Swetlik,2,16
2020-02-13,Gauden Galea,2,17
2020-02-13,Hillary Clinton,2,18
2020-02-13,James Crowley,2,19
2020-02-13,James Wigderson,2,20
2020-02-13,Jasmine Leung,2,21
2020-02-13,Jennifer Culotta,2,22
2020-02-13,Joseph Williams,2,23
2020-02-13,Liz Pflum,2,24
2020-02-13,Los Angeles,2,25
2020-02-13,Maegan Vazquez,2,26
2020-02-13,Megan Schroeder,2,27
2020-02-13,Michael Walters,2,28
2020-02-13,Morgan Ortagus,2,29
2020-02-13,Phil Helsel,2,30
2020-02-13,Phil Mccausland,2,31
2020-02-13,Phil Murphy,2,32
2020-02-13,Priscilla Alvarez,2,33
2020-02-13,Rachel Maddow,2,34
2020-02-13,Rachel Swan,2,35
2020-02-13,Steve Lookner,2,36
2020-02-13,Veronika Kyrylenko,2,37
2020-02-13,Barack Obama,3,7
2020-02-13,Donald Trump,3,8
2020-02-13,Timothy Nelson,4,6
2020-02-13,Alex Azar,5,2
2020-02-13,George Diaz,5,3
2020-02-13,Martin Fenstersheib,5,4
2020-02-13,Rachael Kagan,5,5
2020-02-13,Nancy Messonnier,6,1
2020-02-14,Daisy Roth,1,4
2020-02-14,Jeanne Ayers,1,5
2020-02-14,Los Angeles,1,6
2020-02-14,Nan,1,7
2020-02-14,Nancy Messonnier,1,8
2020-02-14,Nick Bohr,1,9
2020-02-14,Sam Roth,1,10
2020-02-14,Tedros Adhanom Ghebreyesus,1,11
2020-02-14,Tom Haupt,1,12
2020-02-14,Traci Desalvo,1,13
2020-02-14,Mike Ryan,2,2
2020-02-14,Zeng Yixin,2,3
2020-02-14,Allen Bateman,3,1
2020-02-15,Alexander Vindman,1,1
2020-02-15,Andrew Brunson,1,2
2020-02-15,Barack Obama,1,3
2020-02-15,Bill Clinton,1,4
2020-02-15,Daniel Drezner,1,5
2020-02-15,David Pressman,1,6
2020-02-15,Donald Trump,1,7
2020-02-15,Jen Rombalski,1,8
2020-02-15,John Bolton,1,9
2020-02-15,Los Angeles,1,10
2020-02-15,Michael Flynn,1,11
2020-02-15,Peter Feaver,1,12
2020-02-15,Qasem Soleimani,1,13
2020-02-15,Robert Obrien,1,14
