date,person,count,rn
2020-03-23,Nan,1,1
2020-04-16,Kandice Allen,2,1
2020-06-01,Ines Polonius,1,5
2020-06-01,Travis Hogman,1,6
2020-06-01,Becky Mccray,2,1
2020-06-01,Johnathan Hladik,2,2
2020-06-01,Vandell Hampton Jr,2,3
2020-06-01,Waldo Smith,2,4
2020-06-03,Scott Olson Getty,1,7
2020-06-03,Becky Mccray,2,1
2020-06-03,Ines Polonius,2,2
2020-06-03,Johnathan Hladik,2,3
2020-06-03,Travis Hogman,2,4
2020-06-03,Vandell Hampton Jr,2,5
2020-06-03,Waldo Smith,2,6
2020-06-07,Becky Mccray,1,1
2020-06-07,Ines Polonius,1,2
2020-06-07,Johnathan Hladik,1,3
2020-06-07,Travis Hogman,1,4
2020-06-07,Vandell Hampton Jr,1,5
2020-06-07,Waldo Smith,1,6
2020-06-12,Collin Mason,1,1
2020-06-12,David Mason,1,2
2020-06-12,Deputy Dariel Momsen,1,3
2020-06-12,Jerry Niles,1,4
2020-06-12,Jim Inhofe,1,5
2020-06-12,Joe Biden,1,6
2020-06-12,Roland Pederson,1,7
2020-06-12,Roxanne Pollard,1,8
2020-06-12,Taylor Venus,1,9
