date,person,count,rn
2020-03-05,Alex Azar,1,1
2020-03-05,Amy Klobuchar,1,2
2020-03-05,Andrii Telizhenko,1,3
2020-03-05,Brian Dahle,1,4
2020-03-05,Burisma Biden,1,5
2020-03-05,Doug Lamalfa,1,6
2020-03-05,Harry Reid,1,7
2020-03-05,Harry Truman,1,8
2020-03-05,Harvey Nelson,1,9
2020-03-05,Hunter Biden,1,10
2020-03-05,James Clyburn,1,11
2020-03-05,Ken Carlsen,1,12
2020-03-05,Laxson Auditorum,1,13
2020-03-05,Megan Dahle,1,14
2020-03-05,Melissa Daugherty,1,15
2020-03-05,Mike Pence,1,16
2020-03-05,Nelson Kaiser,1,17
2020-03-05,Pete Buttigieg,1,18
2020-03-05,Pete Stiglich,1,19
2020-03-05,Ray Estes,1,20
2020-03-05,Richard Davis,1,21
2020-03-05,Robyn Engel,1,22
2020-03-05,Ron Johnson,1,23
2020-03-05,Rudy Gulliani,1,24
2020-03-05,Scott Huber,1,25
2020-03-05,Steve Breedlove,1,26
2020-03-05,Terese Barich,1,27
2020-03-10,Andy Abbott,1,1
2020-03-10,Doug Moore,1,2
2020-03-10,John Burroughs,1,3
2020-03-10,Kent Mccarty,1,4
2020-03-10,Marc Magliari,1,5
2020-03-10,Neil Bruntrager,1,6
2020-03-10,Villa Duchesne,1,7
2020-03-17,Kim Reynolds,1,1
2020-04-08,Jessica Reyerson,1,1
2020-04-16,Michael Fowler,1,1
2020-04-16,Scott Steiner,1,2
2020-04-21,Adam Wedmore,1,1
2020-04-21,Cerro Gordo,1,2
2020-04-21,Jacki Backhaus,1,3
2020-04-21,Karla Weiss,1,4
2020-04-29,Michael Fowler,1,1
2020-04-29,Scott Steiner,1,2
2020-05-21,Abby Finkenauer,1,1
2020-05-21,Melissa Moretz,1,2
2020-05-27,Phoebe Sumter,1,1
2020-05-27,Scott Steiner,1,2
