date,person,count,rn
2020-02-29,Leslie Horton,1,1
2020-03-05,Eric Roth,1,1
2020-03-05,Natasa Strbo,1,2
2020-03-11,Arun Lakshmipathy,1,1
2020-03-11,Cara Christ,1,2
2020-03-11,Steve Nielsen,1,3
2020-03-15,Franklin Graham,1,1
2020-03-20,Doug Ducey,1,1
2020-03-21,Nan,1,1
2020-03-22,Franklin Graham,1,1
2020-03-22,Ira Brown,1,2
2020-03-22,Jesus Christ,1,3
2020-03-22,Nan,1,4
2020-03-23,Amy Goodman,1,1
2020-03-23,Angelica Salas,1,2
2020-03-23,Gavin Newsom,1,3
2020-03-23,John Sandweg,1,4
2020-03-23,Leana Wen,1,5
2020-03-23,Los Angeles,1,6
2020-03-23,Phil Murphy,1,7
2020-03-24,Kyrsten Sinema,1,1
2020-03-24,Mark Brnovich,1,2
2020-03-27,Nan,1,1
2020-03-29,Doug Ducey,1,1
2020-03-29,Franklin Graham,1,2
2020-03-29,Greg Mitchell,1,3
2020-03-29,Ira Brown,1,4
2020-03-29,Jesus Christ,1,5
2020-03-29,Josh Micale,1,6
2020-03-29,Josh White,1,7
2020-03-29,Randy Irwin,1,8
2020-03-29,Tim Goeringer,1,9
2020-04-04,Christina Tsosie,1,1
2020-04-04,Derek Drake,1,2
2020-04-04,Jon Brambila,1,3
2020-04-04,Jonathan Nez,1,4
2020-04-04,Keith Brown,1,5
2020-04-04,Nan,1,6
2020-04-04,Phillip Francisco,1,7
2020-04-05,Calvary Prescott,1,3
2020-04-05,Carli Berry,1,4
2020-04-05,Doug Ducey,1,5
2020-04-05,Greg Mitchell,1,6
2020-04-05,Jesus Christ,1,7
2020-04-05,Josh Micale,1,8
2020-04-05,Josh White,1,9
2020-04-05,Nan,1,10
2020-04-05,Randy Irwin,1,11
2020-04-05,Tim Goeringer,1,12
2020-04-05,Jon Brambila,5,2
2020-04-05,Keith Brown,6,1
2020-04-06,Christian Siriano,1,4
2020-04-06,Jerome Adams,1,5
2020-04-06,Mitchell Mccluskey,2,3
2020-04-06,Theresa Waldrop,3,2
2020-04-06,Keith Brown,8,1
2020-04-07,Amanda Gunderson,1,1
2020-04-07,Clare Reichenbach,1,2
2020-04-07,Jon Brambila,1,3
2020-04-07,Kathryn Lott,1,4
2020-04-07,Keith Brown,1,5
2020-04-07,Michael Remaley,1,6
2020-04-07,Teofilo Reyes,1,7
2020-04-07,Yc Matt Mintzmyer,1,8
2020-04-08,Patrick Mcewen,1,1
2020-04-11,Calvary Prescott,1,1
2020-04-11,Ed Stetzer,1,2
2020-04-11,Jesus Christ,1,3
2020-04-11,Steve Carter,1,4
2020-04-12,Doug Ducey,1,1
2020-04-12,Ed Stetzer,1,2
2020-04-12,Greg Mitchell,1,3
2020-04-12,Jesus Christ,1,4
2020-04-12,Josh Micale,1,5
2020-04-12,Josh White,1,6
2020-04-12,Randy Irwin,1,7
2020-04-12,Tim Goeringer,1,8
2020-04-14,Aaron Pacheco,1,1
2020-04-14,Dana Marie Kennedy,1,2
2020-04-14,Holly Poynter,1,3
2020-04-14,Jeanine Lecuyer,1,4
2020-04-14,Patrick Ptak,1,5
2020-04-15,Cara Christ,1,1
2020-04-15,Cara Crist,1,2
2020-04-15,Countywebsite Facebook,1,3
2020-04-15,David Nez,1,4
2020-04-15,Graham Countywebsite Facebook,1,5
2020-04-15,Greenlee Countywebsite Facebook,1,6
2020-04-15,Jonathan Nez,1,7
2020-04-15,Pazwebsite Facebook,1,8
2020-04-15,Phillip Francisco,1,9
2020-04-16,Adrian Fontes,1,1
2020-04-16,Andrea Chiapella,1,2
2020-04-16,Bret Roberts,1,3
2020-04-16,Byron Bassett,1,4
2020-04-16,Derek Feuquay,1,5
2020-04-16,Donald Trump,1,6
2020-04-16,Doug Ducey,1,7
2020-04-16,Flo Spyrow,1,8
2020-04-16,Jen Marson,1,9
2020-04-16,John Mougin,1,10
2020-04-16,Justin Lee,1,11
2020-04-16,Katie Hobbs,1,12
2020-04-16,Kim Wyman,1,13
2020-04-16,Krista Allen,1,14
2020-04-16,Leslie Hoffman,1,15
